source_doc_id,cited_doc_id,type_of_reference,details
R1-2402723,38.212,Citation,NR Multiplexing and channel coding specification
R1-2408136,RP-241789,Revised WID,Non-Terrestrial Networks (NTN) for NR Phase 3
R1-2403882,Class 1 Generation 2 UHF Air Interface Protocol Standard Release 3.0,External Standard,"RFID preamble structure (delimiters, Tari calibration)."
R1-2403097,R1-2401842,Previous Meeting Summary,Summary#2 of discussion on SRS transmission occasion and power scaling from RAN1#116
R1-2403597,R1-2402171,Contribution,New H3C's input on transmission occasion definitions
R1-2408108,RAN1#117,Previous agreement,Chair's notes from RAN1#117 meeting (May 2024)
R1-2406779,RP-24XXXX,WID Proposal,Revised WID on NR NTN enhancements for Release 19.
R1-2410450,R1-2407385,Feature List,RAN1 NR UE features for Release 18.
R1-2404889,TR 38.869,Technical Report,Study on low-power wake-up receiver architectures
R1-2402174,RP-234078,Work Item Definition,NR NTN Phase 3 Work Item approval details
R1-2403729,R1-2401986,Contribution,Nokia's simulation results for Case A scenarios
R1-2409676,RP-242394,WID revision,Revised objectives for NR MIMO enhancements
R1-2406180,RP-234007,Related Work,NR MIMO Phase 5 work item description
R1-2401023,TR 38.869,Foundation Study,Rel-18 study item on low-power wake-up signal and receiver
R1-2403285,arXiv:2305.16616,Academic Paper,Survey on 6G channel measurement and modeling
R1-2404179,TR38.848,Design target reference,A-IoT user experience data rate requirements
R1-2406520,38.214,Technical Specification,Modification to Clause 5.2.2.5.1 for UE power ratio assumptions.
R1-2407393,38.214,Technical Specification,NR Physical layer procedures for data
R1-2409706,RP-231482,Work Plan,Way forward document for NR NTN enhancement work item
R1-2410559,R1-2408847,Contribution,Qualcomm's prior work on SBFD random access operation
R1-2410828,TR38.769,Citation,Technical report on ambient IoT solutions under study.
R1-2404363,38.331,Technical Specification,Referenced for reconfiguration with sync procedures
R1-2402842,TR 38.843,Technical Report,Rel-18 Study Item conclusions on AI/ML for air interface
R1-2410211,RAN1#118,Previous agreement,Agreements on PRACH configuration indices and DCI formats.
R1-2404625,38.864,Technical Specification,Study on network energy savings for NR
R1-2400847,RP-234039,Citation,WID on AI/ML for NR Air Interface from RAN#102
38.769,38.848,Previous Study,Rel-18 RAN-level SI on Ambient IoT foundational study
R1-2410592,R1-2407532,Meeting Summary,Final FL summary for Frame structure and timing aspects from RAN1#118
R1-2408487,RP-241667,Technical Report,Revised WID for Non-Terrestrial Networks Phase 3
R1-2410236,TR-38.901,Technical Report,3GPP channel model specifications for 0.5–100 GHz.
R1-2410037,3GPP TR 38.869,Technical Report,"Study on LP-WUS/WUR, covering evaluation assumptions and synchronization models."
R1-2406754,R1-2401844,RAN1 Summary,FL summary on NR-NTN DL coverage gaps.
R1-2404229,R1-2400950,Previous agreement,TP agreement from RAN1#116 on Release 18
R1-2402902,RP-234078,WID Citation,Release 19 NR NTN Work Item Description
R1-2406470,R1-2405425,Citation,Summary of SBFD TX/RX procedures
R1-2410428,Chair's notes RAN1_116,Previous Agreement,Base agreement on SBFD operations
R1-2410920,38.211,Normative,PDSCH reception timing definitions
R1-2406911,38.101-1,Test Specification,UE radio transmission and reception requirements
R1-2408889,38.211,Normative,NR Physical channels and modulation
R1-2404921,38.213,Technical Specification,NR physical layer procedures for control
R1-2400827,RP-234035,Work Item Description,New WID on Evolution of NR duplex operation
R1-2403439,R1-2402447,Contribution,Samsung proposal on CSI reporting with cell DTX
R1-2404106,RAN1#116bis,Meeting Agreement,Previous agreements on Event-2 handling and measurement configurations
R1-2401150,RP-234056,Work Item Description,New WID for LP-WUS/WUR specification
R1-2402612,RP-240801,Revised Work Item,Updated RAN4 work scope for LP-WUS
R1-2403533,R1-2402409,Change Request,Proposes corrections for SDT search space monitoring in RedCap UEs.
R1-2404826,R2-2403968,LS,RAN2 inquiry on Type 3 PH reporting for mTRP configurations.
R4-2403494,R4-2321362,Previous Agreement,RAN4#109 agreements on NTN RRM requirements
R1-2410516,3GPP TR38.848,Technical Report,Rel-18 Ambient IoT baseline specifications
R1-2406193,R1-2405867,Contribution,Huawei/HiSilicon's evaluation of ZC sequences for LP-WUS
R1-2408150,R1-2407544,Citation,Final FL summary on CW waveform characteristics.
R1-2403965,TR 38.901,Technical Report,Baseline channel model for frequency range 0.5-100GHz
R1-2402991,38.321,Normative Reference,MAC protocol specification referenced for RA procedure details
R1-2400357,RP-234078,Work Item Description,NTN Phase 3 Work Item approval details
R1-2406863,RP-241667,Revised WID,Non-Terrestrial Networks (NTN) for NR Phase 3
R1-2402241,R1-2401635,Contribution,Previous meeting proposal on CLI handling schemes
R1-2400810,3GPP TR 38.901,Baseline Model,GSCM framework for communication channels.
R1-2404156,38.214,Technical Specification,Base specification modified by this CR
R1-2405689,R1-2405407,Contribution,FL Summary #1 of maintenance on NR coverage enhancements
R1-2407465,38.331,Normative,Referenced for ra-OccasionList parameter definition
R1-2403807,38.213,Technical Specification,Main specification being modified by this CR
R1-2409715,TR 38.838,Technical Report,Study on XR Evaluations for NR (Release 17)
R1-2405021,R1-2310669,Previous Agreement,Rel-17 CR establishing baseline TCI state selection rules.
R1-2408324,RP-234077,Work Item Description,Rel-19 IoT NTN Phase 3 work item approval at RAN#102.
R1-2400985,R1-2400019,Citation,LS on SL-U RSSI measurement from Feb 2024
R1-2403660,R1-2402551,Contribution,Draft CR on TDRA table of multicast PDSCH in RRC INACTIVE state
R1-2405692,R1-2405353,Moderator Summary,FL summaries for SL-U channel access and resource allocation
R1-2405453,R1-2405309,Contribution,Huawei/HiSilicon CR on Type-2 HARQ codebook skipping during BWP switching
R1-2404872,RP-240826,Revised SID,Study on solutions for Ambient IoT in NR.
R1-2407888,R1-2407590,Citation,LS on common TA in regenerative payload scenarios
R1-2408705,TR 38.901,Methodology,Baseline channel model for spatial consistency and blockage.
R1-2404621,R1-2404622,Companion Document,Discusses downlink/uplink channel aspects for Ambient IoT
R1-2405767,38.331,Normative,RRC parameter configuration reference
R1-2402011,TR 38.901,Channel Model,3GPP channel model for frequencies 0.5-100 GHz
R1-2402503,R2-2313706,LS Reply,Reply on network assistant signaling for advanced receivers
R1-2403259,RP-240775,Related Work,Revised WID for NR-NTN Phase 3 defining RedCap/eRedCap objectives.
R1-246130,R1-2404214,Previous Contribution,ZTE's prior analysis on DL coverage enhancement in RAN1#117
R1-2404890,TR 38.848,Technical Report,Defines required functionalities for Ambient IoT physical layer design.
R1-2405821,R1-2401849,Related Work,Summary on frame structure and timing aspects.
R1-2404091,38.214,Technical Specification,TCI-State configuration procedures
R1-2405122,RAN1#116-bis,Meeting Notes,Previous agreements on beam reporting procedures
R1-2407068,RP-241614,Technical Report,Evolution of NR duplex operation: Sub-band full duplex (SBFD)
R1-2401981,3GPP TR 38.858 V1.0.0,Technical Report,Study on Evolution of NR Duplex Operation
R1-2401538,38.211,Technical Specification,OFDM symbol duration definitions
R1-2406353,RAN1#117,Meeting Notes,Previous agreements on beam management
R1-2409797,R1-2409341,Meeting Report,RAN1#118bis agreements on SBFD random access
R1-2404039,TR 37.885,Technical Report,Study on evaluation methodology for vehicular communication.
R1-2409566,RP-241614,Work Item Description,Revised WID for NR Duplex Operation Evolution
R1-2408072,RAN1#118 Chair Notes,Previous Agreement,Base agreements for on-demand SIB1 implementation
R1-2407096,RAN1 #117,Technical Observation,Analyzed challenges of large frequency shift implementation
R1-2405119,RP-240828,Work Item Description,UE RF enhancements WID including 6Rx requirements
R1-2410255,TR38.843,Technical Report,Study on AI/ML for NR air interface (v18.0.0)
R1-2402136,R1-2402137,Companion Contribution,Discusses deployment scenarios and evaluation assumptions for A-IoT.
R1-2401227,TR 38.858,Technical Report,3GPP TR on SBFD subband configuration agreements
R1-2405639,R1-2405189,Contribution,Discussion paper on Rel-17 RedCap remaining issues
R1-2410248,RP-242389,Liaison Statement,Data collection mechanisms for AI/ML training
R1-2404266,R1-2403837,Citation,LS on reference point for SSB-TimeOffset (Apr. 2024)
R1-2410028,RP-240826,Study Item Description,Revised SID on Ambient IoT solutions in NR
R1-2408895,ITU-R M.2135-1,Standard,Reference for suburban macro scenario parameters
R1-2405218,TR 38.848,Technical Report,Base document for Ambient IoT deployment scenarios and design targets
R1-2402311,RAN1#114bis,Previous Agreement,Agreement on HARQ process monitoring behavior
R1-2408434,TR 38.769,Technical Report,Study on Ambient IoT in RAN
R1-2410493,RP-234036,Work Item,New WID: NR mobility enhancement Phase 4
R1-2404348,RP-234035,Work Item Description,New WID on NR duplex evolution
R1-2404081,TS 38.321,Technical Specification,Medium Access Control (MAC) protocol specification
R1-2409942,TR 38.869,Technical Report,Low-power wake up signal specifications
R1-2403086,RP-234018,Citation,SID objectives for channel model validation
R1-2401920,38.213,Technical Specification,Base specification for physical layer procedures
R1-2402237,RP-234007,WID reference,NR MIMO Phase 5 work item description
R1-2410602,38.321,Technical Specification,NR Medium Access Control (MAC) protocol specification
R1-2402705,R1-2401857,Contribution,Summary on downlink/uplink channel aspects
R1-2407221,R2-2405769,Liaison Statement,RAN2 inquiry about Msg3 timing requirements
R1-2410003,R1-2407555,Previous Meeting Summary,Final summary from RAN1#118 on channel aspects
R1-2402323,RP-234007,Work Item,New WID: NR MIMO Phase 5 approving 3TX codebook enhancements
R1-2402952,TR 38.869,Technical Report,Study on low-power wake-up signal and receiver for NR.
R1-2410379,RP-242399,Revised WID,Revised work item on AI/ML for NR Air Interface (Rel-19).
R1-2400375,RP-232670,Work Item Description,Revised WID on Expanded and Improved NR Positioning
R1-2407752,38.214,Technical Specification,NR Physical layer procedures for data
R1-2408363,RP-242399,Normative,Revised WID on AI/ML for NR Air Interface
R1-2409996,RP-242399,Citation,"Revised WID on AI/ML for NR Air Interface, Qualcomm, RAN #105."
R1-2408882,RP-242354,Work Item Description,Revised WID for Enhancements of network energy savings
R1-2407432,R1-2406331,Contribution,Source document for discussion points
R1-2401763,R1-2400470,Contribution,NEC's proposal on HARQ feedback disablement
R1-2402357,38.214,Technical Specification,Physical layer procedures for data transmission
R1-2404937,RP-234058,Study Item Description,Original Ambient IoT SID proposal
R1-2400691,RP-234069,Citation,Rel-19 ISAC channel modelling study item description
R1-2404614,38.331,Technical Specification,3GPP NR Radio Resource Control protocol specification
R1-2406081,TS 38.133,Normative,Specifies UE requirements for measurement gap handling.
R1-2402175,RP-234078,Citation,New WID: Non-Terrestrial Networks (NTN) for NR Phase 3.
R1-2404504,R1-2404501,Companion Contribution,AIoT deployment scenario and co-existence analysis
R1-2408388,RP-234018,Study Item Description,Study on channel modelling enhancements for 7-24GHz for NR
R1-2408610,RP-234007,Related Work,New WID: NR MIMO Phase 5 (RAN#102)
R1-2400743,38.211,Technical Specification,NR physical channels and modulation specifications
R1-2403997,TR38.803,Technical Report,Reference for FR1 UE antenna modeling assumptions
R1-2410352,R1-2408599,Previous Contribution,Earlier submission on PSD limitation solutions
R1-2407618,R1-2401573,Feature Lead Summary,Summary of email discussions from RAN1 #116.
R1-2406950,RP-241667,Revised WID,NR-NTN Phase 3 Work Item Description update
R1-2404138,RAN1#116 Agreements,Previous Meeting Agreements,Channel measurement agreements for AI/ML positioning cases
R1-2410544,RAN1#118 chairman’s note,Meeting Document,Collision handling agreements for SBFD-aware UEs
R1-2401260,TR 38.848,Technical Report,RAN study on Ambient IoT system characteristics and topologies
R1-2405476,38.306,Technical Specification,UE radio access capabilities specification v18.0
R1-2406216,38.101-1,Technical Specification,User Equipment (UE) radio transmission and reception
R1-2401224,38.843,Technical Report,TR 38.843: Study on AI/ML for NR air interface (Release 18).
R1-2406771,RP-240826,Revised SID,Revised Study Item Description for Ambient IoT in NR
R1-2409470,RP-234065,Work Item,"New WID on network energy savings for NR, approved in RAN#102."
R1-2406936,R1-2406935,Companion Paper,Frame structure and timing aspects for Ambient IoT
R1-2403112,R1-2310645,Liaison Statement,Coherence between PUSCH and 8-port SRS with partial dropping
R1-2403245,R1-2403244,Companion Contribution,Study on evaluation assumptions for Ambient IoT by NTT DOCOMO
R1-2400859,RP-234058,Study Item,Study on solutions for Ambient IoT approved at RANP#102
R1-2404064,R1-2200002,RAN1 Conclusion,Rel-17 conclusion on 4T6R SRS antenna switching.
R1-2400882,RP-234069,SID,New SID on ISAC channel modeling for Release 19.
R1-2404201,TR 38.821,Technical Report,Reference satellite payload parameters and evaluation methodology.
R1-2409096,3GPP TS 38.213,Technical Specification,Base specification being amended (v18.4.0)
R1-2402130,RP-234018,Study Item,Original SID approval for 7-24 GHz channel modeling
R1-2400897,RP-232732,Citation,3GPP NTN deployment considerations
R1-2400055,TR 38.858,Technical Report,Study on Evolution of NR Duplex Operation (v2.0)
R1-2402685,R1-116-v0.3.0,Previous Agreement,Draft Report of 3GPP TSG RAN WG1 #116
R1-2403104,38.214,Technical Specification,Sidelink physical layer procedures updates (Proposal 2-3)
R1-2400715,R1-2312572,Appendix,Updated RAN1 UE features list for Rel-18 NR after RAN1#115.
R1-2410458,R4-2417117,Citation,LS from RAN4 on UE RF issues for Rel-19 MIMO enhancements
R1-2400943,R1-2310962,Proposal,ZTE's method for Po_pre inheritance from PCell to SCell
R1-2410516,R1-2408702,Previous Contribution,Source for energy harvesting solutions tables 6.2.1-19/6.2.2-19
R1-2400208,RP-234065,Work Item Description,New WID: Enhancements of network energy savings for NR.
R1-2402638,R1-2401944,Liaison Statement,Original LS from RAN2 regarding IUC/DRX coexistence
R1-2405597,R1-2404372,Change Request,CR correcting Resource reservation period field in SCI format 1-B
R1-2404189,TR 38.901,Channel Model Reference,3GPP channel model for frequencies 0.5-100 GHz
R1-2405301,R1-2403767,Previous Meeting Summary,FL summary on CW waveform characteristics for A-IoT
R1-2404448,TR 38.843,Technical Report,Study on AI/ML for NR air interface
R1-2410489,TR37.885,Technical Report,Channel model for vehicular communications
R1-2407394,38.211,Technical Specification,NR Physical channels and modulation specification
R1-2400765,R1-2312572,Citation,Updated RAN1 UE features list for Rel-18 NR after RAN1#115
R1-2405279,R2-2403915,Liaison Statement,RAN2 agreement on PRACH mask handling limitations
R1-2407735,RP-234058,Study Item Description,New SID on Ambient IoT in NR systems
R1-2404686,38.843,Technical Report,TR 38.843 on AI/ML for NR air interface
R1-2405893,RP-234065,Work Item,Approved Release 19 work item on network energy savings
R1-2400944,36.321,Citation,Referenced for E-UTRA Dual Connectivity PHR procedures
R1-2400702,38.213,Amendment Target,TS 38.213 NR: Physical layer procedures for control
R1-2403899,S2-2405833,LS,SA2 LS on data collection for AI/ML positioning model training/inference
R1-2400979,3GPP TR 38.864,Technical Report,Rel-18 study on network energy savings
R1-2400723,TR 38.843,Technical Report,Rel-18 Study on AI/ML for NR air interface
R1-2403409,R1-2401359,Positioning Summary,Summary of UE features for NR positioning
R1-2402604,R1-2402598,Joint Proposal,Sub-5MHz operation feature group refinements
R1-2410496,RAN1#118,Previous Agreement,Chair's notes from RAN1#118 meeting
R1-2410452,R1-2409345,Related contribution,Previous discussion on SL positioning parameters
R1-2405613,38.306,Technical Specification,UE radio access capabilities specification
R1-2407830,R1-2407590,Citation,RAN2 inquiry about TA-Common minimum values
R1-2402846,RP-234039,Work Item,Artificial Intelligence (AI)/Machine Learning (ML) for NR air interface work item approval
R1-241xxxx,TS 38.214,Normative,Reference for resource allocation rules in time domain
R1-2402996,RP-234039,Work Item,Rel-19 WI on AI/ML for NR Air Interface
R1-2404877,RP-213599,SI (Study Item),"New SI on AI/ML for NR air interface, Dec. 2021"
R1-2409421,R1-2409223,Session Notes,Contains agreement TR on large frequency shift feasibility
R1-2404631,TR 38.901,Base Document,"Channel model for 0.5-100 GHz, version V17.1.0"
R1-2406807,3GPP TR 38.864,Technical Report,Rel-18 study on NR network energy savings
R1-2404558,R1-2403749,Citation,3rd FL summary on downlink/uplink channel aspects.
R1-2405751,38.212,Technical Specification,Target specification for multi-carrier DCI enhancements.
R1-2410389,RP-240826,Revised SID,"Revised Study Item Description for Ambient IoT in NR, approved at RAN#103."
R1-2402714,R1-2403187,Contribution,Qualcomm's proposals on event triggering mechanisms
R1-2405108,TR 38.869,Technical Report,Study on low-power Wake-up Signal and Receiver for NR
R1-2400363,RP-234056,Citation,Work item on Low-power wake-up signal (LP-WUS) for NR.
R1-2402713,R1-2402017,Contribution,Huawei's views on UE-initiated beam management procedures
R1-2408127,TS 38.211,Technical Specification,Clauses 8.4.1.5.3 (CSI-RS scaling) and 8.3.1.5 (PSSCH scaling)
R1-2401838,36.321,Technical Specification,E-UTRA Medium Access Control (MAC) protocol specification
R1-2408473,R1-2407565,LS,LS on timeline for On-demand SSB operation on SCell
R1-2401695,TR 22.840,Technical Report,SA1 study on Ambient power-enabled IoT services.
R1-2408143,TS 38.321,Technical Specification,MAC protocol specifications.
R1-2407390,R1-2407388.zip,Attachment,Updated RAN1 LTE UE features list
R1-2403992,R1-2403991,Companion Contribution,Discussion on validation of channel model
R1-2401567,TR 38.869,Technical Report,References OOK-1/OOK-4 definitions for DL modulation
R1-2406423,R1-2401872,RAN1 Contribution,Summary on LP-WUS operation in idle mode
R1-2407733,RP-234058,Study Item,New SID approval for Ambient IoT solutions
R1-2400127,RP-234069,Study Item,Approved study on ISAC channel modeling at RAN#102.
R1-2406584,RP-241667,Technical Report,Revised WID for NTN Phase 3 enhancements
R1-2401817,38.214,Technical Specification,Physical layer procedures for data delivery
R1-2402818,RAN1#116 Chair notes,Meeting Report,Previous agreements on SBFD operation
R1-2410323,RP-234014,Work Item Description,Rel-19 XR Enhancement Work Item approval
R1-2410034,TS 38.331,Technical Specification,NR Radio Resource Control protocol specification
R1-2410702,38.212,Technical Specification,CRC polynomial reference
R1-2402611,RP-234056,Work Item,LP-WUS WID approval reference
R1-2400156,RP-234035,Technical Report,Evolution of NR duplex operation: Sub-band full duplex (SBFD)
R1-2402069,38.211,Technical Specification,Physical channels and modulation
R1-2408931,RAN1#116,Citation,Preamble inclusion agreements and PRDCH length determination.
R1-2406304,RAN1#117,Prior Agreement,Chair’s notes from RAN1 #117 meeting
R1-2407734,R1-2407249,Meeting Report,Feature Lead Summary from RAN1#118 meeting
R1-2404403,TR 38.848,Technical Report,Study on Ambient IoT in RAN (Release 19)
R1-2404003,TR 38.821,Technical Report,NTN solutions and performance characteristics
R1-2401773,R1-2401394,Citation,Discussion on mapping order of CSI report.
R1-2405121,RAN1#116-bis,Meeting Notes,Chairman notes from RAN1#116-bis meeting agreements
R1-2400798,38.331,3GPP Specification,NR Radio Resource Control protocol
R1-2408260,38.212,DCI format specifications,TDRA field encoding for multi-PUSCH/PDSCH
R1-2404304,RP-234018,Previous agreement,New SID on channel modelling enhancements for 7-24 GHz
R1-2403235,RP-234039,Work Item Description,Approved WID on AI/ML for NR Air Interface
R1-2410022,R1-2407305,Moderator Summary,Summary#4 for other aspects of AI/ML model and data
R1-2402754,38.101-1,Test Specification,User Equipment (UE) radio transmission requirements
R1-2410801,R1-2410455,Draft Change Request,Proposes timeline requirements for SRS bandwidth aggregation collision handling
R1-2404144,R1-2403703,Technical Report,Updated RAN1 UE features list for Rel-18 NR.
R1-2408633,RP-242399,Work Item Description,Revised WID on AI/ML for NR Air Interface defining Rel-19 objectives
R1-2405447,R1-2405321,Change Request,Huawei's CR to correct RTD provisions in SL positioning.
R1-2410023,R4-2417117/R1-2409353,Response to,Original LS on UE RF issues for Rel-19 MIMO
R1-2400975,R4-2305926,Liaison Statement,LS on system parameters for NTN above 10 GHz
R1-2400059,RP-2400060,Related work,Contribution on downlink/uplink channel aspects
R1-2410454,37.355,Technical Specification,Defines NR-PhaseQuality IE structure and semantics
R1-2408852,R1-2408853,Related Contribution,Discusses downlink/uplink channel aspects for A-IoT
R1-2403362,R1-2401948,Liaison Statement,Original LS on 2-step RACH for eRedCap addressed by this response
R1-2404813,RAN1#116b v0.3.0,Meeting Report,Contains previous agreements on beam management procedures
R1-2410227,RP-240826,Technical Report,Study on solutions for Ambient IoT in NR (Release 18)
R1-2406426,R2-2405769,Liaison Statement,LS on UL synchronization for contention-based Msg3 transmission without Msg1/Msg2.
R1-2405635,38.213,Technical Specification,Target specification for TRS configuration updates.
R1-2404435,RAN1#116-bis,Agreement,Chair’s Notes from RAN1#116-bis meeting on evaluation parameters.
R1-2402942,RP-234065,WID,New WID for Rel-19 Network Energy Savings enhancements
R1-2401218,38.211,Technical Specification,Physical channels and modulation specifications
R1-2409785,R1-2409343/R2-2409242,Liaison Statement,Inquiry on OCC applicability for CB-msg3 NPUSCH
R1-2405223,RP-234039,WID Citation,Rel-19 Work Item Description for AI/ML in NR Air Interface
R1-2403422,R1-2402594,Contribution,Ericsson's proposals on OCC evaluation methodology
R1-2403505,RP-234039,Work Item Description,New WID on AI/ML for NR Air Interface approved at RAN#102
R1-2400624,RP-234007,Rel-19 WID,Rel-19 MIMO Work Item Description.
R1-2409594,TR38.858,Citation,Rel-18 study on NR duplex operation.
R1-2410164,RP-242394,Working Item Description,NR MIMO Phase 5 WID revision
R1-2401885,38.331,Technical Specification,Clauses 5.9.1.3 and 5.10.1.3 (MCCH change notification procedures)
