contributor_name,doc_id,contribution_type
RUijie networks,R1-2403323,Technical Proposal
ZTE Corporation,R1-2406056,Source
Huawei,R1-2409400,Technical Analysis
Ericsson,R1-2407391,Technical Contribution
vivo,R1-2406170,Change Request
CATT,R1-2404358,Technical Analysis
Huawei,R1-2401851,Moderator/Feature Lead
Ericsson,R1-2400165,Technical Contribution
CATT,R1-2403743,Moderator
CATT,R1-2401652,Moderator Summary
Tejas Networks,R1-2409764,Contribution
Apple,R1-2407430,Comments
Nokia,R1-2401839,Change Request
Meta,R1-2410347,Source
Panasonic,R1-2404758,Technical Contribution
Indian Institute of Technology Kanpur,R1-2407130,Technical Analysis
Sanechips,R1-2408077,Contribution
CATT,R1-2409919,Technical Proposal
Huawei/HiSilicon,R1-2409291,Contributor
ZTE,R1-2400489,Discussion
CATT,R1-2401861,Moderator
"NTT DOCOMO, INC.",R1-2403781,Moderator Summary
Sony,R1-2406477,Technical Proposal
HiSilicon,R1-2406991,Change Request
Samsung,R1-2401894,Technical Contribution
Ericsson,R1-2408915,Reply LS
Panasonic,R1-2402543,Discussion/Decision
Tejas Networks Pvt. Ltd.,R1-2403894,Technical analysis and proposals
WILUS Inc.,R1-2407159,Discussion/Decision
CATT,R1-2406382,Technical Proposal
vivo,R1-2404165,Source
Nokia Shanghai Bell,R1-2400968,Discussion and Proposals
Huawei,R1-2409340,Discussion lead
"NTT DOCOMO, INC.",R1-2405026,Discussion and Decision
Qualcomm Incorporated,R1-2405150,Discussion/Decision
Xiaomi,R1-2409900,Technical Proposal
OPPO,R1-2410081,Technical Analysis & Proposals
KDDI,R1-2407126,Contribution
MediaTek,R1-2403421,Moderator Summary
Panasonic,R1-2403135,Discussion
Samsung,R1-2401596,Moderator Summary
NEC,R1-2406535,Discussion/Decision Proposal
MediaTek Inc.,R1-2406766,Technical Proposal
Futurewei,R1-2407611,Contribution Document
Samsung,CR-Form-v12.2 CHANGE REQUEST 4,Technical Contribution
Nokia,R1-2410318,Technical Proposal
vivo,R1-2402237,Discussion and Decision
ZTE,R1-2401834,Change Request Proposal
Nokia,R1-2400796,Source
Apple Inc.,R1-2404302,Discussion/Decision
CMCC,R1-2410875,Moderator Contribution
Xiaomi,R1-2406271,Technical Analysis
Spreadtrum Communications,R1-2407791,Technical Proposal on TB Sizing
Spreadtrum Communications,R1-2409238,Moderator Summary
OPPO,R1-2404843,Reply LS
vivo,R1-2409667,Source
Huawei,R1-2405705,Source to WG
Huawei,R1-2400123,Contribution
Intel Corporation,R1-2403984,Technical Proposal
Nokia,R1-2409715,Technical Proposal
Nokia Shanghai Bell,R1-2400938,Author
Huawei/HiSilicon,R1-2410857,Source
Intel Corporation,R1-2410144,Technical Contribution
Qualcomm,R1-2401682,Framework Lead (FL) Summary
OPPO,R1-2400579,Discussion and Decision
Samsung,R1-2409386,Technical Contribution
CATT,R1-2410706,Moderator
ZTE Corporation,R1-2408071,Technical Analysis
Huawei,R1-2405840,Technical Analysis
China Telecom,R1-2406094,Technical Analysis
Fraunhofer HHI,R1-2405886,System Design
vivo,R1-2406174,Technical contribution
Lenovo,R1-2406715,Contribution
China Mobile Communications Corporation (CMCC),R1-2400325,Source
Panasonic,R1-2410200,Discussion
HiSilicon,R1-2409232,Source
KDDI,R1-2408948,Discussion & Proposals
Apple Inc.,R1-2401016,Discussion/Decision
vivo,R1-2406163,Change Request
CATT,R1-2407219,Moderator Summary
HiSilicon,R1-2400132,Simulation Results
Nokia Shanghai Bell,R1-2400180,Contribution
MediaTek Inc.,R1-2404516,Discussion
vivo,R1-2405728,Co-proposer
TCL,R1-2405970,Source
Samsung,R1-2405488,Moderator
Samsung,R1-2409589,Technical Proposal
Intel Corporation,R1-2409001,Moderator Summary
Fraunhofer IIS,R1-2405207,Technical Analysis
MediaTek Inc.,R1-2400510,Discussion and Decision
"NTT DOCOMO, INC.",R1-2403737,Change Request
LG Electronics,R1-2401326,Discussion Document
CICTCI,R1-2403620,Source to WG
NSYSU,R1-2405115,Technical Analysis
OPPO,R1-2406243,Discussion and Decision
Sanechips,R1-2409557,Technical Proposal
Ericsson,R1-2403401,CR Proposal
Xiaomi,R1-2403531,Contribution on SSB/PRACH adaptation
NTT DOCOMO,R1-2407192,Moderator Summary
CATT,R1-2404362,CR Proposal
Ericsson,R1-2409975,Technical Proposal
CICTCI,R1-2406354,Technical Analysis
Quectel,R1-2404478,Discussion and decision
Apple Inc.,R1-2408456,Proposals for model management framework
"InterDigital, Inc.",R1-2409720,Technical Proposal
CATT,R1-2407557,Source
Huawei,R1-2403931,Source
"NTT DOCOMO, INC.",R1-2403733,Moderator
NEC,R1-2406537,Discussion and Decision
Huawei,R1-2403918,Technical Analysis
FUTUREWEI,R1-2407616,Discussion Paper
"InterDigital, Inc.",R1-2406751,Discussion and Decision
Indian Institute of Technology Madras (IITM),R1-2407096,Technical Proposal
QC,R1-2410750,Company Comments
Ericsson,R1-2408819,Discussion
"ZTE, Sanechips",R1-2400481,CR Author
Google,R1-2408880,Technical Contribution
Intel Corporation,R1-2409747,Discussion and Decision
Spreadtrum,R1-2410927,Moderator
HiSilicon,R1-2408974,CR Source
Samsung,R1-2409599,Technical Proposal
ZTE,R1-2406058,Discussion/Decision
"NTT DOCOMO, INC.",R1-2408784,Source
Huawei,R1-2409277,Moderator
AT&T,R1-240XXXX,Moderator Summary
Samsung,R1-2409572,Response Document
MediaTek Inc.,R1-2406773,Source
China Mobile,R4-2321609,Contact Person
Ericsson,R1-2401638,Moderator Summary
ZTE Corporation,R1-2408065,Technical Analysis
Samsung,R1-2400719,Discussion and Decision
Apple,R1-2407497,Moderator
OPPO,R1-2406875,Proposal on composite targets
Sharp,R1-2408542,Discussion
Huawei,R1-2402031,Technical Contribution
Nokia,R1-2403081,Technical Analysis
Sony,R1-2405494,Moderator
Google,R1-2402280,Discussion/Decision
Nokia,R1-2401669,Moderator
Interdigital,R1-2406648,Source
Ericsson,R1-2410792,Technical Feedback
Apple,R1-2409810,Discussion/Decision
Spreadtrum Communications,R1-2404044,Contribution
vivo,R1-2410797,Moderator
"NTT DOCOMO, INC.",R1-2410745,Moderator
Samsung,R1-2404131,Discussion and decision proposal
ZTE,R1-2405192,source
Langbo,R1-2404731,Change Request Proposal
Intel Corporation,R1-2409002,Moderator Summary
RAN WG1,R1-2403705,Editorial
Spreadtrum Communications,R1-2405438,Moderator Summary
Hang Yin,R1-2403750,Contact Person/Reply Author
Ericsson,R1-2409281,Moderator
Google,R1-2407992,Contribution
China Telecom,R1-2401761,Technical Contribution
LG Electronics,R1-2401251,Discussion and decision
ZTE,R1-2401757,CR proposals
OPPO,R1-2408139,Technical Analysis
"InterDigital, Inc.",R1-2405884,Discussion and Decision
Google,R1-2406967,Proposal
ZTE,R1-2405640,Moderator
vivo,R1-2407870,Technical Proposal
Sharp,R1-2403299,Discussion and Decision
Gongpu Wang,R1-2400385,Author
MediaTek Inc.,R1-2408704,Discussion & Decision
Huawei,R1-2401381,Technical Contribution
Xiaomi,R1-2402662,Contribution
vivo,R1-2409187,Moderator
CATT,R1-2404354,Source
Ericsson,R1-2409179,Liaison Statement
"Lenovo, ZTE, Qualcomm, Ericsson, Nokia, Nokia Shanghai Bell, Samsung, Huawei, HiSilicon",R1-2401833,Change Request
Samsung,R1-2402455,Discussion
Fraunhofer IIS,R1-2410205,Source
Xiaomi,R1-2404635,Moderator
Samsung,R1-2409596,Contribution
Ericsson,R1-2408820,Source
Sony,R1-2404490,Technical Proposal
Tejas Networks,R1-2406066,"Discussion, Decision"
CICTCI,R1-2405664,Technical Contribution
Transsion Holdings,R1-2408117,Source/Author
NICT,R1-2401078,Technical Contribution
Nokia,R1-2410138,Discussion and Decision
ASUSTeK,R1-2407141,Technical Proposal
NTT DOCOMO,R1-2409265,Moderator
Sanechips,R1-2406680,Change Request
Indian Institute of Technology Kanpur,R1-2410590,Technical Analysis
CATT,R1-2407535,Contributor
CEWiT,R1-2401269,Discussion
TCL,R1-2404001,Discussion and Decision
Lenovo,R1-2406757,Discussion
HiSilicon,R1-2409025,CR Submission
Sanechips,R1-2406116,Change Request Proposal
OPPO,R1-2401830,Source
NEC,R1-2400464,Technical Proposal
KDDI Corporation,R1-2410540,Contribution
Qualcomm Incorporated,R1-2410479,Technical Proposal
Qualcomm,R1-2401794,Moderator Summary
CMCC,R1-2406006,Discussion & Decision
ZTE,R1-2404246,Draft Reply LS
Xiaomi,R2-2401643,Reply LS
CICTCI,R1-2408059,Technical Contribution
Fujitsu,R1-2408111,Technical Proposal
Ericsson,R1-2405617,Change Request
Xiaoran Wen,R1-2407999,Contact Person
Nokia,R1-2401343,Change Request
Huawei,R1-2405725,Moderator
"NTT DOCOMO, INC.",R1-2405033,Technical Contribution
Sony,R1-2402980,Discussion and Decision
Sanechips,R1-2409559,Implementation considerations
HiSilicon,R1-2405837,Technical Contribution
Samsung,R1-2404117,Technical Contribution
Fraunhofer HHI,R1-2405595,Contribution
China Telecom,R1-2406100,Discussion Document
OPPO,R1-2406253,Discussion and Decision
CATT,R1-2406347,Change Request Proposal
ETRI,R1-2408566,Technical Contribution
Sanechips,R1-2409727,Contribution
"NTT DOCOMO, INC.",R1-2410381,Technical Contribution
ASUSTeK,R1-2410544,Discussion and Decision
Lenovo,R1-2408323,Discussion
SK Telecom,R1-2403096,Technical Analysis & Proposal
NEC,R1-2400869,CR Proposal
Apple Inc.,R1-2406861,Discussion/Decision Proposal
CICTCI,R1-2402367,Source
ZTE Corporation,R4-2416918,Editor
CMCC,R1-2405984,Technical Contribution
ZTE,R1-2409245,Moderator
Huawei,R1-2403341,Discussion and Decision
Samsung,R1-2405555,Source
LG Electronics,R1-2410293,Discussion and decision
TCL,R1-2410064,Source
Sony,R1-2400860,Source
MediaTek Inc.,R1-2406770,Discussion and Decision
Huawei,R1-2401385,CR Proposal
OPPO,R1-2404879,Discussion and Decision Document
HiSilicon,R1-2405840,Technical Analysis
Huawei,R1-2409275,Moderator
vivo,R1-2404144,Discussion
Sharp,R1-2410319,Source
Qualcomm Incorporated,R1-2405169,Submission
Tejas Networks Pvt. Ltd.,R1-2403044,Discussion and decision
Ericsson,R1-2410932,Change Proposal
Sony,R1-2407297,Moderator Summary
vivo,R1-2409657,Discussion
RAN2,R2-2407623,Technical Contribution
Transsion Holdings,R1-2402688,Discussion and decision
Lenovo,R1-2407062,Technical Contribution
"Huawei, HiSilicon",R1-2408981,CR Proposal
Google,R1-2408369,Discussion
Ericsson,R1-2405385,Moderator
Intel Corporation,R1-2409744,Discussion and Decision
ITL,R1-2405224,Source
NICT,R1-2407817,Contribution
Qualcomm Incorporated,R1-2405147,Discussion/Decision
MediaTek Inc.,R1-2401291,Contribution
Lekha Wireless Solutions Pvt Ltd,R1-2404347,Discussion/Decision
Intel Corporation,R1-2406008,Discussion Document
ZTE Corporation,R1-2407784,Draft CR
CMCC,R1-2400308,Discussion & Decision
CMCC,R1-2410827,Moderator
UNISOC,R1-2409632,Decision Proposal
ZTE,R1-2404217,Discussion
MediaTek,R1-2409014,Moderator Summary
Google,R1-2410155,Contribution
HiSilicon,R1-2403931,Source
ZTE Corporation,R1-2408517,Correction on DMRS port description
HiSilicon,R1-2403918,Technical Analysis
Apple Inc.,R1-2409795,Discussion/Decision
CMCC,R1-2405376,Moderator Summary
Panasonic,R1-2400901,Discussion/Decision
"InterDigital, Inc.",R1-2408314,Technical Analysis
Huawei,R1-2407681,Source
Lenovo,R1-2403087,Discussion and Decision
HiSilicon,R1-2403364,Technical Analysis
Min Zhu,R1-2410760,Moderator
OPPO,R1-2407304,Moderator Summary
Sony,R1-2406482,Technical Proposal
OPPO,R1-2408141,Reply LS
China Telecom,R1-2404428,Discussion Document
Apple,R1-2405622,Moderator Summary
OPPO,R1-2402297,Discussion input
NEC,R1-2402770,Technical Proposal
Mediatek,R1-2405701,CR Source
Nokia,R1-2400950,Source
CMCC,R1-2409496,Technical Analysis and Proposals
Xiaomi,R1-2407975,Discussion
Nokia,R1-2404906,Technical Analysis
NEC,R1-2404659,Contribution
NVIDIA,R1-2404540,Discussion Document
HiSilicon,R1-2405317,Technical Analysis
Huawei,R1-2404953,Technical Contribution
MediaTek Inc.,R1-2401471,Source
vivo,R1-2407825,LS Reply
CMCC,R1-2404462,Discussion
"Huawei Technologies Co., Ltd.",R4-2403852,Technical Contribution
ETRI,R1-2401230,Discussion
Lenovo,R1-2410015,Technical Contribution
Vodafone,R1-2408592,Discussion
vivo,R1-2402235,Discussion
Huawei,R1-2401764,Session Notes
Google,R1-2404692,Discussion/Decision
Sanechips,R1-2406128,Source
OPPO,R1-2407194,Moderator
vivo,R1-2406185,Source
Fraunhofer HHI,R1-2407109,Specification support for beam management
Company,Annex A,Technical Data
Viasat,R1-2408945,Source
vivo,R1-2402250,Contribution
Langbo,R1-2402528,Technical Correction
MediaTek Inc,R1-240nnnn,Moderator
MediaTek Inc.,R1-240XXXX,LS on data block sizes
MediaTek,R1-2410920,Moderator
Tiami Networks,R1-2400167,Proposal
Nokia Shanghai Bell,R1-2402600,Discussion and Decision
Samsung,R1-2404137,Discussion & Proposals
CMCC,R1-2407904,Discussion & Decision
ZTE,R1-2410768,Moderator
Lenovo,R1-2407819,Technical Proposal
"NTT DOCOMO, INC.",R1-2403220,Technical Proposal
NEC,R1-2408206,Discussion and Proposals
CMCC,R1-2410854,Moderator
Ericsson,R1-2403605,Contributor
Ericsson,R1-2409441,Technical Analysis
MediaTek Inc.,R1-2401304,Technical Contribution
ZTE Corporation,R1-2408069,Technical Analysis
vivo,R1-2400251,Source
HiSilicon,R1-2401381,Technical Contribution
Ericsson,R1-2410888,Moderator
ZTE Corporation,R1-2408074,Technical Contribution
Nokia,R1-2406675,Proposal
ZTE,R1-2404240,Discussion Document
OPPO,R1-2400599,Discussion and Decision
LG Electronics,R1-2408683,Discussion and decision
Ericsson,R1-2409200,Moderator
Samsung,R1-2403628,Proposal
Sony,R1-2406481,Technical Contribution
CATT,R1-2403410,Technical Proposal
Comba,R1-2401160,Technical Proposal
Ericsson,R1-2408813,Source
CATT,R1-2406336,Source
vivo,R1-2407861,Discussion and Decision
NTPU,R1-2401472,Contribution
Intel Corporation,R1-2400504,Discussion Document
HiSilicon,R1-2407683,Measurement Data
Sharp,R1-2401169,Discussion and Decision
Comba,R1-2408685,Discussion Proposals
Samsung,R1-2406659,Discussion and decision
Xiaomi,R1-2400562,Discussion and Decision
Samsung,R1-2405515,CR Proposal
ZTE,R1-2404993,Change Request Proposal
Qualcomm,R1-2407011,Change Request
Spreadtrum Communications,R1-2404016,Discussion and decision
NEC,R1-2402761,Discussion
Qualcomm Incorporated,R1-2401438,Discussion/Decision
CATT,R1-2400404,Source
Panasonic,R1-2404595,Technical Proposal
Futurewei,R1-2402040,Source
Xiaomi,R1-2400572,Technical Proposal
LG Electronics,R1-2405497,Moderator
Sony,R1-2404512,Discussion and Decision
Sharp,R1-2406573,Source
Ericsson,R1-2410143,Source
UNISOC,R1-2409650,Proposal Development
Xiaomi,R1-2400547,Discussion
"CATT, CICTCI",R1-2402347,Reply LS
MediaTek Inc.,R1-2410526,Technical Contribution
"InterDigital, Inc.",R1-2409566,Technical Contribution
Ericsson,R1-2409587,Simulation Results/Proposals
Samsung,R1-2407371,CR Support
Huawei,R1-2403668,Moderator
Google,R1-2410546,Technical Contribution
ZTE Corporation,R1-2408517,Technical Correction
MediaTek,R1-2403720,Moderator Summary
vivo,R1-2402198,Discussion
TCL,R1-2408256,Discussion and Decision
HiSilicon,R1-2401375,Source
Huawei,R1-241xxxx,Technical Comments
Samsung,R1-2404069,Change Request
"NTT DOCOMO, INC.",R1-2403234,Discussion and Decision
Nokia,R1-2401689,Source
Fei Dong,R2-2403968,Source
Indian Institute of Technology Kanpur,R1-2405304,Proposals and Analysis
Sharp,R1-2402740,Discussion and Decision
vivo,R1-240xxxx,Moderator Summary
China Mobile Communications Corporation,R1-2409511,Source
xiaomi,R1-2400565,Discussion and Decision
NEC,R1-2406559,Discussion/Decision Document
Sanechips,R1-2409483,Discussion/Decision
Ericsson,R1-2407638,Technical Contribution
Sharp,R1-2406973,Discussion and Decision
Futurewei,R1-2402053,Technical Discussion
Lenovo,R1-2406073,Discussion Document
CATT,R1-2408028,Source
Tejas Networks Ltd,R1-2403896,Source
OPPO,R1-2401573,Moderator Summary
Tejas Networks Ltd.,R1-2409759,Technical Proposal
Xiaomi,R1-2404602,Technical Contribution
Xiaomi,R1-07948,Technical Contribution
CATT,R1-2406378,Discussion and Decision
CATT,R1-2404413,Technical Contribution
Xiaomi,R1-2404610,Discussion and Decision
MediaTek Inc.,05270,Source
Google,R1-2403091,Discussion Document
Google,R1-2410835,Change Request
"InterDigital, Inc.",R1-2410043,Discussion and Decision
HiSilicon,R1-2403341,Discussion and Decision
Ericsson,R1-2401139,"Discussion, Decision"
Tejas Networks Ltd.,R1-2407763,Contribution
MediaTek Inc.,R1-2405088,Simulation analysis and proposals
BUPT,R1-2400784,Discussion Document
TCL,R1-2400188,Discussion document
Huawei,R1-2401522,Moderator Summary
Sharp,R1-2404962,Discussion and Decision
Xiaomi,R1-2402659,Discussion and Decision
CATT,R1-2409941,Technical Proposal
Qualcomm Incorporated,R1-2405167,Discussion
3GPP SA5,S5-240816,Standardization
HiSilicon,R1-2401385,CR Proposal
Spreadtrum Communications,R1-2405914,Discussion and decision
OPPO,R1-2402329,Discussion and Decision
Google,R1-2400400,Contribution
Lenovo,R1-2408091,Contribution
Intel Corporation,R1-2405358,Moderator Summary
ASUSTeK,R1-2402719,Discussion and Decision
LG Electronics,R1-2408682,Discussion and decision
KDDI,R1-2410504,Technical Contribution
"NTT DOCOMO, INC.",R1-2403230,Discussion document
Transsion Holdings,R1-2409960,Discussion and Decision
NVIDIA,R1-2402849,Contribution
CATT,R1-2402398,Discussion and Decision
ZTE Corporation,R1-2410880,Moderator
Qualcomm Incorporated,R1-2410500,Technical Proposal
vivo,R1-2400236,Discussion Document
MediaTek Inc.,R1-2402951,Technical Analysis and Proposals
NVIDIA,R1-2408391,Technical Contribution
Ericsson,CR 0498 rev 1,CR Proposal
Intel Corporation,R1-2408286,Technical Contribution
Ericsson,R1-2402290,Technical Analysis
ZTE,R1-24000352,Discussion
Nokia,R1-2402072,Technical Contribution
Sharp,R1-2408252,Technical Proposal
Samsung,R1-2401724,Moderator
Moderator (OPPO),R1-2403491,Summary
NEC,R1-2409857,Contribution
ETRI,R1-2408564,Discussion/Decision
NEC,R1-2406697,Discussion and Decision
Huawei,R1-2407510,Moderator
Sony,R1-2410217,Technical Contribution
HiSilicon,R1-2409420,Simulation Evaluation
ZTE Corporation,R1-2407410,Contributor
Qualcomm,R1-2407016,Change Request
CATT,R1-2404415,Contribution
Sanechips,R1-2406114,CR Proposal
TCL,R1-2402179,Discussion and Decision
CATT,R1-2406354,Technical Proposal
Huawei,R1-2403673,Moderator
Panasonic,R1-2403133,Discussion
Huawei,R1-2410879,Technical contribution
Huawei,R1-2410797,Moderator
LG Electronics,R1-2407332,Moderator Summary
OPPO,R1-2410110,Contribution
Google,R1-2410149,Technical Proposal
China Telecom,R1-2407729,Source
Qualcomm Incorporated,R1-2409038,Feature Lead Summary
MediaTek Inc.,R1-2408717,Technical Proposal
OPPO,R1-2405527,Moderator
Sanechips,R1-2404562,Discussion and decision
"NTT DOCOMO, INC.",R1-2401116,Discussion and Decision
Samsung,R1-2409577,Technical Contribution
"NTT DOCOMO, INC.",R1-2401100,Discussion/Decision Proposal
HiSilicon,R1-2410611,Technical Contribution
Ericsson,R1-2403557,Contributor
China Mobile,R1-2405972,Reply LS
MediaTek Inc.,R1-2402956,Source
China Telecom,R1-2410009,Discussion
Samsung,R1-2400740,Contribution
Spreadtrum Communications,R1-2400045,Source
BJTU,R1-2404437,Source
Google,R1-2402272,Change Request
IITM,R1-2405298,Technical Contribution
Apple,R1-2404294,Discussion/Decision
China Mobile Communications Corporation,R1-2404467,Discussion & Decision
Xiaomi,R1-2409898,Technical Proposal
Apple Inc.,R1-2408486,Technical Proposal
MediaTek Inc.,R1-2405890,Contribution
ZTE Corporation,R1-2408072,Discussion and Decision
Qualcomm Incorporated,R1-2405172,Technical Proposal
Qualcomm Incorporated,R1-2403173,Change Request Proposal
Nokia,R1-2401362,Proposal on PUCCH repetition
HiSilicon,R1-2407652,Technical Analysis
Sony,R1-2410222,Contribution
