name,aliases
Taesang Yoo,Qualcomm|qti.quallcomm.com
Docomo,
KPN N.V.,KPN
Google,Moderator (Google)
RAN1 Chair,RAN1 Chair
Google,Alex Liou
China Broadnet,China Broadcasting Network Corporation
ZTE,Wenfeng LIU|Xingguang WEI
Tejas Networks Ltd,Tejas Networks
David,
RAN2,3GPP TSG-RAN WG2
NEC,Moderator
"Huawei, HiSilicon, China Unicom, ZTE, Sanechips",
3GPP Organizational Partners,3GPP
Continental Automotive Technologies GmbH,
Samsung,Dalin Zhu|Sa Zhang
Fujitsu,Yosuke Akimoto
"Moderators (AT&T, NTT DOCOMO, INC.)",AT&T|NTT DOCOMO
Xiaomi,Xiaomi
Wiliot,Wiliot
QUECTEL,
InterDigital,Diana Pani
Qualcomm Incorporated,Qualcomm Inc
RAN WG1,
3GPP SA WG1,SA1
Intel Corporation,Moderator (Intel Corporation)
WILUS Inc.,
Google,RAN1
Deutsche Telekom,Deutsche Telekom
Langbo,
MediaTek,Rebecca Chen
InterDigital Inc.,
China Information Communication Technology Company (CICTCI),CICTCI
CMCC,Jiazhen Zhang
Ericsson,Ericsson Ltd.
vivo,Rakesh Tamrakar
NVIDIA,NVIDIA Corporation
NTT DoCoMo,
Apple,Moderator (Apple)
FUTUREWEI,Weimin Xiao|Zhigang Rong
3GPP - David,David
"NTT DOCOMO, INC.",DOCOMO
RAN WG4,
Ericsson,
3GPP RAN Working Group 2,RAN WG2|RAN2
China Telecom,[12]
University of Michigan,
"InterDigital, Inc",umer.salim@interdigital.com
Intel,Intel
ZTE corporation,ZTE
Oppo,
RAN1 Chair,
"Charter Communications, CableLabs",
BJTU,Beijing Jiaotong University
RUijie networks,RUijie
FW,Futurewei
ASUSTeK,
"Vivo Mobile Communication Co., Ltd.",VIVO
"Huawei, HiSilicon",HW/HiSi
Nokia,[RAN1]
Riki Okawa,NTT Docomo
Qualcomm,Qualcomm
Jiajun Chen,Chen.jiajun1(at)zte.com.cn
CATT/CICTCI,
LG Electronics,
Nokia/Nokia Shanghai Bell,Nokia/NSB
vivo,
Qualcomm,FL|QC
Spreadtrum,"Spreadtrum, UNISOC"
Lekha Wireless Solutions,
Moderator (ZTE),
Ziyi Li,
LG Electronics Inc.,LG
"Nokia, NSB",Nokia Shanghai Bell
Sanechips,
China Academy of Telecommunications Technology (CATT),Moderator (CATT)
Futurewei,Futurewei Technologies
"Huawei, Hisilicon",Huawei
Chi-Hsuan Hsieh,CH.Hsieh@mediatek.com
Huawei,Ad-Hoc Chair (Huawei)
Huawei,Ad-Hoc Chair
Futurewei,Futurewei
"ZTE, Sanechips",
MediaTek Inc,Moderator
OPPO,OPPO Electronics
Moderator (CATT),CATT
"Spreadtrum, UNISOC",Spreadtrum|UNISOC
Tejas Networks,Tejas
KRRI,
MediaTek,Moderator
3GPP,Third Generation Partnership Project
Deutsche Telekom,DT
Tejas,
"HiSilicon Semiconductor Co., Ltd",HiSilicon
TSG RAN2,RAN2
Spreadtrum Communication,
Apple,Hong He
xiaomi,
HiSilicon,HiSilicon Technologies
Lenovo/MotM,
Samsung,Moderator
Ericsson,Rapporteur
Rohde & Schwarz,R&S
Apple Inc.,Apple
InterDigital,interdigital.com
SageRan,
New H3C Technologies,New H3C
Moderator (LG Electronics),
ETRI,Electronics and Telecommunications Research Institute
IIT KANPUR,
WILUS,
Nokia,Nokia Siemens Networks
"Huawei, HiSilicon",[1]
DOCOMO,Haruhi (DOCOMO)
QC,QC
LG Electronics,LGE
Indian Institute of Technology Madras,
Google,Google Inc.|Google LLC
SK Telecom,
Google Inc,
Moderator (InterDigital),
NTT,NTT Docomo
CCL,
Thales,Thales Group
Xiaomi,BJTU|BUPT
TCL,Pu Yuan
vivo,Rapporteur
TCL,
CCU,CCU
"Orange, ZTE, BT",
Moderator (Nokia),Nokia
Huawei/HiSilicon,Huawei
NTT DOCOMO INC,DOCOMO
IIT Kanpur,Indian Institute of Technology Madras
DOCOMO,
ZTE,"ZTE, Sanechips"
vivo,Hao Wu
R1,RAN WG1
Huawei,HiSi
QC,
HiSilicon,"HiSilicon Semiconductor Co., Ltd"
Nokia,Nokia Corporation
"Moderator (Huawei), HiSilicon, Samsung, Ericsson, ZTE",
Thales,Moderator (Thales)
ITRI,Industrial Technology Research Institute
Lekha Wireless,
Panasonic,
RAN2,TSG-RAN WG2
Ericsson,Henrik Ryden
MediaTek,MediaTek
Huawei,Li Zhang
FirstNet,
Moderator (Nokia),Nokia Shanghai Bell
Beijing Jiaotong University,BJTU
NTT DOCOMO,Moderator (NTT DOCOMO)
Panasonic,Khalid Zeineddine
Debdeep Chatterjee,Intel
Indian Institute of Technology Madras (IITM),IITM
MediaTek,Mediatek Inc.
DENSO CORPORATION,
Quectel,Quectel
Hisilicon,
"ZTE Corporation, Sanechips",ZTE
5GAA,5G Automotive Association
Google,Moderator
MTK,MediaTek
Nokia Shanghai Bell,NSB
RAN1 Chair,ETSI MCC
RAN4,3GPP RAN WG4
RAN1,
"Xiaomi Communications Co., Ltd",Xiaomi
Beijing Jiaotong University (BJTU),BJTU
"ZTE, Samsung, Ericsson, vivo, Xiaomi, New H3C",
"Indian Institute of Tech (M), IIT Kanpur",
ZTE,Moderator
LG,
3GPP RAN Working Group 1,RAN WG1|RAN1
"Nokia, Nokia Shanghai Bell, Samsung",
Hyundai Motor Company,
ZTE,Zhongxing Telecom Equipment
KAIST,Korea Advanced Institute of Science and Technology
Sharp,Sharp Corporation
Jingzhou Wu,
MediaTek Inc.,Moderator
Ruijie Networks,
Spreadtrum Communications,Moderator
"Huawei, HiSilicon","Huawei Technologies Co., Ltd.|HiSilicon Semiconductor"
Charter Communications Inc,
LG,Hyungtae Kim
Rakuten,"Rakuten Group, Inc."
SA5,
CAICT,China Academy of Information and Communications Technology
3rd Generation Partnership Project (3GPP) Organizational Partners,ARIB|ATIS|CCSA|ETSI|TSDSI|TTA|TTC
China Telecom,
Sanechips,"Sanechips Technology Co., Ltd."
Transsion,
New H3C,
Nokia,Nokia|NSB
Tejas,Tejas Networks
3GPP TSG WG1,WG1
Mediatek Inc.,Mediatek
RAN2,3GPP RAN Working Group 2
BT,
Hyundai Motor Company,Hyundai
"Samsung Electronics Co., Ltd",
Nokia Corporation,
"InterDigital, Inc.",InterDigital
RAN1,3GPP RAN Working Group 1
New H3C,Lei Zhou
Beijing University of Posts and Telecommunications (BUPT),BUPT
H3C,New H3C
Intel Corporation,Daewon (Intel)
ZTE/Sanechks,
Toyota,
CMCC,Ad-hoc Chair (CMCC)
TSG RAN WG1,
Intel,Yi Guo
Semtech,Semtech Corporation
China Mobile Communications Corporation (CMCC),CMCC|RAN1
Huawei,Huawei
Fei Dong,Dong Fei
MediaTek,Darcy Tsai
"KRRI, Hanbat National University",KRRI|Hanbat
Alexandros Manolakos,Qualcomm
National Institute of Information and Communications Technology (NICT),NICT
Sony,Tingting Fan
Comba,
LG,LGE
China Academy of Telecommunication Technology,CATT
BUPT,Beijing University of Posts and Telecommunications
Orange,Orange
SGITG,
Nokia Corporation,Nokia
Electronics and Telecommunications Research Institute,ETRI
3GPP TSG-RAN Working Group,RAN WG
Ren Da,renda@catt.cn
NTT Docomo,Docomo
Tejas Networks Ltd.,
RAN2,
RAN WG4,Radio Access Network Working Group 4
TSG RAN2,RAN WG2
3GPP RAN Working Group 4,RAN WG4|RAN4
"Huawei, HiSilicon",Huawei Technologies|HiSilicon
Indian Institute of Technology Kanpur,IITK
Meta,
ESA,European Space Agency
EchoStar,
Nordic Semiconductor,Nordic
Lekha Wireless Solutions,Lekha Wireless
ZTE,ZTE Corporation
MediaTek Inc.,Moderator (MediaTek)
Google,Google LLC|Alphabet Inc.
Moderator (Fujitsu),Fujitsu
OPPO,OPPO/LG
Toyota InfoTechnology Center,Toyota
CEWiT,TSDSI
CICTCI,"CICT Mobile Communication Technology Co., Ltd"
LG Electronics,LG|LGE
Vodafone,
Venkatarao Gonuguntla,Ericsson
"ZTE Corporation, Sanechips",ZTE|Sanechips
LGE,LG Electronics
CATT,[11]
China Telecom,CT
3GPP RAN WG1,RAN1
ZTE,ZTE
ZTE,Sanechips
"vivo, BUPT",
UNISOC,UNISOC
Yanping Xing,xingyanping@catt.cn
ETSI MCC,
Xiang Gao,
Samsung,SS
Fraunhofer,
MediaTek Korea Inc.,MediaTek
Vivian Chong,Vivo
NEW H3C,
Indian Institute of Technology Kanpur,IIT Kanpur|IITK
Spark NZ Ltd,
"Huawei, HiSilicon",HW
NTPU,
Xiaomi,Xiaomi Corporation
Transsion Holdings,
NTT DOCOMO,syouhei.yoshioka.py@nttdocomo.com
RAN WG1,R1
Futurewei,FUTUREWEI
Panasonic,Panasonic Corporation
QC,Qualcomm
IIT KANPUR,IITK
Fujitsu,RAN1
Fraunhofer,Fraunhofer IIS|Fraunhofer HHI
Anritsu,
Younsun,
Huawei,Huawei Technologies
Huawei,Huawei|Moderator
CATT,CICTCI
SHARP,"SHARP, NYU WIRELESS"
Not specified,
Ericsson,RAN2
Toyota ITC,Toyota
Beijing University of Posts and Telecommunications (BUPT),
OPPO,Guo Li
Sony,
3GPP,
CMCC,CMCC
Fujitsu,WANG Guotong (David)
BT,British Telecom
KT Corp.,KT Corporation
Verizon,
Kookmin University,
CBN,CBN
NTT DOCOMO,Haruhi
Qualcomm Incorporated,[21]
Ad-hoc Chair (CMCC),CMCC
CICTCI,CICTCI
Qualcomm Inc.,Qualcomm|QTI
Vivo,Vivo
Rakuten,
"Huawei Technologies Co., Ltd.",Huawei|HiSilicon
RAN WG2,
TSG RAN,3GPP TSG RAN
Tejas Networks Pvt. Ltd.,Tejas Networks Ltd
Semtech,
Fraunhofer IIS,FhG IIS
"Huawei Technologies Co., Ltd",Huawei|HiSilicon
Anritsu,Anritsu Corporation
Continental Automotive,Continental
Xiaomi,Xiaomi|RAN1
"Xiaomi Communications Co., Ltd.",Xiaomi
Futurewei Technologies,FUTUREWEI
Na Li,vivo
"NTT DOCOMO, INC.",[19]
Moderator (Thales),Thales
AT&T,FirstNet
MTK,
Apple,Qiming Li
CEWiT,Pardh
Ericsson,Emre A. Yavuz
NVIDIA,Xingqin Lin
Nokia,Nokia RAN1
NSB,NSB
Qualcomm,QC
SK Telecom,SKT
Huawei/Hi Silicon,
Sven Fischer,sfischer@qti.qualcomm.com
Pei LIN,
RAN1,Radio Access Network Working Group 1
Tejas Networks Ltd.,Tejas Networks
Nokia/NSB,Nokia|Nokia Shanghai Bell
NTT DoCoMo,NTT Docomo
"Ericsson, Nokia, Google, Samsung",Moderator(Ericsson)|Nokia|Google|Samsung
Google,Alphabet
Interdigital,Interdigital
TCL,TCL Communication
Xiaomi,Yingyang
"Samsung Electronics Co., Ltd",Samsung
ZTE,ZTE|Sanechips
"CATT, CICTCI",CATT|CICTCI
"AT&T, NTT DOCOMO, INC.",Moderators
Nokia,NSB
Sony,Sony Group Corporation
NVIDIA,NVIDIA Corp
Hanbat National University,
Tejas Networks Pvt. Ltd.,Tejas Networks
vivo,Zichao Ji
RAN4,3GPP RAN Working Group 4
NVIDIA,NVIDIA
Kyocera,Kyocera Corporation
NIST,
Qualcomm,
InterDigital Inc.,InterDigital
FGI,
Tejas Network Limited,Tejas
ZTE,Zhongxing Telecommunications Equipment
KDDI,KDDI Corporation
NVIDIA Corporation,
ATIS’ Next G Alliance (NGA),NGA|Next G Alliance
NEC Corporation,NEC
CMCC,Yan LI
"NTT DOCOMO, INC",NTT DOCOMO
Qualcomm,"QTI|Qualcomm Technologies, Inc."
Qualcomm,Qualcomm [RAN1]
China Southern Power Grid,CSG
"NTT DOCOMO, INC.",DOCOMO|NTT DOCOMO
Apple,Source: Apple
Intel Corporation,
vivo,vivo Communication Technology Co. Ltd.
CMCC,[2]
Purple Mountain Laboratories,PML
ETSI MCC,ETSI MCC
Apple Inc.,Moderator (Apple Inc.)
Interdigital,Interdigital|IDC
Ericsson,Ericsson
Baicells,Baicells Technologies
ZTE Corporation,ZTE Corporation|Sanechips
Indian Institute of Technology Madras,IITM
Thales,Mohamed EL JAAFARI
OPPO,"Guangdong OPPO Mobile Telecommunications Corp., Ltd"
ZTE,ZTE Corporation|Sanechips
Qualcomm,Hamed Pezeshki
Moderator (ZTE),ZTE
"NTT DOCOMO, INC.",Haruhi (DOCOMO)
Spreadtrum Communications,
CEWiT,Ebin Chacko Shiv Shankar
Xiaomi,Xiaomi [RAN1]
NTT Docomo,NTTH
CATT,"CATT, CICTCI"
MediaTek Inc.,MTK
Sanechips,Sanechips
RUijie networks,
IIT Kharagpur,IIT-KGP
Spreadtrum Communications,SGITG
China Academy of Telecommunication Technology (CATT),CATT
CMCC,Ad-hoc Chair
CMCC,
RAN1 Chair,3GPP RAN1 Chair
Tejas Networks Ltd,Tejas Networks Ltd
HiSilicon,
Xiaomi,Moderator (Xiaomi)
Intel Corporation (Moderator),
EURECOM,
SEU,
"ZTE, Sanechips",ZTE
Qiming Li,<li_qiming@apple.com>
Panasonic,Henry Tran
CATT,Moderator (CATT)
Fujitsu,Moderator
Xiaomi,[10]
Ad-hoc Chair (CMCC),
NYU WIRELESS,NYU WIRELESS
Lockheed Martin,
Huawei,Frank Long|RAN WG1
Lekha Wireless Solutions Pvt Ltd,Lekha Wireless
Huawei Technologies,HiSilicon
CEWiT,Centre of Excellence in Wireless Technology
Spreadtrum,
3GPP RAN2,RAN2
"NTT DOCOMO, INC.",
Huawei,Hisilicon
"Moderator (InterDigital, Inc.)","InterDigital, Inc."
MediaTek Korea Inc.,
ESA,
Apple,Moderator
Hisilicon,"Hisilicon Semiconductor Co., Ltd."
Tejas Networks Pvt. Ltd.,Tejas Networks Ltd.
Thales,Thales
IIT Kanpur,Indian Institute of Technology Kanpur
AT&T,AT&T Inc.
3GPP RAN WG4,RAN4
ESA,stefano.cioni@esa.int
Moderator (Spreadtrum Communications),Spreadtrum Communications
SA2,
MediaTek Inc.,MediaTek Inc.
"Huawei, HiSilicon",Huawei|HiSilicon
UNISOC,"Shanghai UNISOC Communications Technology Co., Ltd"
"Samsung Electronics Co., Ltd.",Samsung
Jiayi Yang,
Frank Wu,frankwu@google.com
ZTE,Gao Bo
"Qualcomm Technologies, Inc.",Qualcomm
Sharp Corporation,Sharp
NSYSU,National Sun Yat-sen University
Kevin Wanuga,
Nokia,Nokia [RAN WG1]
Moderator (InterDigital),InterDigital
"KRRI, Hanbat National University",
Xiaomi,Xiaomi Communications Co Ltd
DENSO CORPORATION,DENSO
Rakuten Symphony Inc.,
Vodafone Group Plc,
Google Inc.,
NTT DOCOMO,Hiroki Harada
NTT CORPORATION,NTT
Xiaomi,Moderator
Tejas Networks Ltd.,Tejas Networks|Tejas
"Moderators (AT&T, NTT DOCOMO, INC.)",RAN WG1
China Telecom,Moderator (China Telecom)
Everactive,
FGI,FGI
Spreadtrum,Yu Yang
Fraunhofer HHI,HHI
3GPP RAN Working Group 1,RAN1
Marco Belleschi,Ericsson
Qualcomm,RAN WG1
3GPP RAN Working Group 1,RAN WG1
Interdigital,
"HiSilicon Technologies Co., Ltd",HiSilicon
Indian Institute of Technology Madras,IIT Madras
"Huawei, HiSilicon",Moderator
NEC,NEC Corporation
Rakuten Mobile Inc,Rakuten Mobile
Lenovo,Lenovo Group|Lenovo Inc.
Moderator (CATT),
Baicells,Baicells
HONOR,
LG Electronics,LGE|LG
Orange,"Orange, ZTE, BT"
NTT DOCOMO INC.,
KDDI,Taishi Watanabe
Motorola Mobility,
SONY,
Intel Corporation,Intel
Comba,Comba
Huawei,Moderator(Huawei)
Korea Testing Laboratory,
CBN,
DCM,Docomo
Chair,3GPP Chair
IDC,Afshin Haghighat
MediaTek,mtk
"Huawei, Tongji Univ",
Moderator (ASUSTeK),ASUSTeK
National Taiwan University,NTU
Xiaomi,Xiaomi Communications|Xiaomi Inc.
Thales,Mohamed (Thales)
"Fujitsu, Qualcomm, Ericsson, Nokia, Google, ZTE, Huawei, Lenovo, Apple",
CATT,RAN1
Apple Inc.,
"Huawei, Hisilicon",
Vodafone Group,Vodafone
Wiliot Ltd,
Iridium,Iridium
"ZTE, Sanechips",ZTE|Sanechips
"Nokia, Nokia Shanghai Bell, CATT, Ericsson",
"Huawei, HiSilicon, Samsung, Nokia, Nokia Shanghai Bell, New H3C, Ericsson, Vivo",
Vodafone,Vodafone Group
Terrestar,
Mediatek,Mediatek
Ad-Hoc Chair (AT&T),AT&T
LG,LGe
RAN WG1,RAN1|R1
Nokia,Nokia Networks
China Mobile Communications Corporation,CMCC|Moderator
"Huawei, Tongji Univ",Huawei
Spark NZ,
Sequans,
MediaTek Inc.,Moderator (MediaTek Inc.)
Huawei,Huawei/HiSilicon
3GPP RAN2 Working Group,RAN2
vivo,Moderator (vivo)
"New H3C Technologies Co., Ltd.",New H3C
Moderator (Apple),Apple
NYU Wireless,NYU WIRELESS
MediaTek,Moderator (Gilles)
AT&T,
Rakuten Mobile,Rakuten
NTT DOCOMO INC,
Huawei,"Moderator|Huawei, HiSilicon"
Ericsson,Moderator (Ericsson)
Thales,
Moderator (Qualcomm),
Nokia/NSB,
TCL,TCL
OPPO,[14]
"Moderator (Fujitsu), Huawei, Ericsson, Nokia, ZTE Corporation, Sanechips, HiSilicon, Lenovo, Apple",
InterDigital,Moderator
Viasat,
"Nokia, Ericsson",
"NTT DOCOMO, INC.",RAN WG1
Fujitsu,Moderator (Fujitsu)
TCL,[13]
Moderator (Fujitsu),
"Huawei, HiSilicon, China Unicom, ZTE, Sanechips, CATT",
NSB,
Vivo,
Eutelsat Group,
MediaTek. INC,Moderator
MediaTek,Mediatek
FirstNet,First Responder Network Authority
"Nokia, Nokia Shanghai Bell",Nokia|Nokia Shanghai Bell
DENSO Cooperation,DENSO
Thales,Thales Alenia Space
Indian Institute of Technology Madras,Sai Prasad Pirati
Nokia/NSB,Nokia
OPPO,OPPO
Huawei/HiSilicon,
Futurewei,Futurehuawei
Xiaomi Communications,Xiaomi
"IIT KANPUR, Indian Institute of Technology Madras (IITM)",IITK|IITM
Sanechips Technologies,Sanechips
Nokia,
Google,Google Inc.
Xiaomi,xiaomi
Intel,Yizhi Yao
BJTU,
Asustek,
Keysight Technologies,Keysight
BUPT,Spark NZ
Indian Institute of Technology Kanpur (IIT Kanpur),IITK
Huawei,Hw/HiSi
"InterDigital, Inc.",Moderator
China Telecommunications Corporation,China Telecom
Huawei,Huawei|Hisilicon
Eutelsat Group,Eutelsat
Quectel,
Samsung,Samsung (Moderator)
RAN WG1,RAN1
Lenovo,
Ad-Hoc Chair (Huawei),
Sony,Sony
Ruijie Networks,Ke Zhong
"Huawei, Samsung, ITL",Moderator (Huawei)|Samsung|ITL
Apple,[8]
RAN WG1,3GPP RAN WG1
Johannes Hejselbaek,Nokia
Nokia,Nokia
Wiliot Ltd,Wiliot
"Huawei Technologies Co., Ltd.",HiSilicon
"Fraunhofer IIS, Fraunhofer HHI",
AT&T,AT&T
IITKGP,
Ralf Bendlin,AT&T Labs
ZTE,Moderator(ZTE)
WILUS Inc.,WILUS
CATT,Moderator(CATT)
ASUSTeK,ASUSTeK
CATT,Jiayi Yang
MediaTek Inc,MediaTek
AT&T (Moderator),Moderator
Ericsson,RAN1
Southeast University (SEU),SEU
Spreadtrum,Unisoc
"Huawei Technologies Co., Ltd.",Huawei
TSG RAN WG4,RAN4
InterDigital,Youngwoo Kwak
Ad-Hoc Chair (Huawei),Huawei
Nokia,Nokia Shanghai Bell
xiaomi,Xiaomi Corporation
NTT DOCOMO,NTT DOCOMO
China Southern Power Grid,
China Academy of Telecommunications Technology,CATT|CICTCI
Qualcomm Incorporated,Moderator
Industrial Technology Research Institute (ITRI),ITRI
UNISOC,UNISOC Communications
NTT DOCOMO,"NTT DOCOMO, INC."
Ericsson,Florent Munier
vivo,Vivo Communication Technology Co. Ltd
Xiaoran Wen,
Futurewei,Moderator
T-Mobile USA,T-Mobile
vivo,RAN1
Nokia/NSB,Nokia|NSB
Viasat/Inmarsat,
"Moderator (NTT DOCOMO, INC.)",
CMCC,Moderator (CMCC)
Qualcomm,FL|Qualcomm
KDDI,Shunsuke Kamiwatari
CEWiT,CEWiT
TOYOTA InfoTechnology Center,
OPPO,Moderator
Xiaoran ZHANG,
Samsung,Eko Ong
Sharp Corporation,
Iridium Satellite LLC,Iridium
Huawei,"Huawei Technologies Co., Ltd"
Lenovo,Bingchao Liu
Huawei,Hu Dan
ETRI,
CATT,Moderator
OPPO,Li Guo
Ericsson,Ratheesh Kumar Mungara
Denso,DENSO CORPORATION
3GPP RAN1,RAN WG1
CCL,CCL
COMPANY – FirstName,LastName
"Nokia, Nokia Shanghai Bell",[24]
IDC,
Angelo Centonza,
Tejas Networks Ltd,Tejas
vivo,vivo [RAN1]
TOYOTA,TOYOTA InfoTechnology Center
"MediaTek, Inc",MediaTek
Huawei,
NTT DOCOMO,Moderator
Chuangxin Jiang,ZTE
vivo,vivo
Docomo,NTT DOCOMO
Huawei,Moderator (Huawei)
Ericsson,Ericsson RAN1|Florent Munier
NTT DOCOMO,Ad-Hoc Chair (NTT DOCOMO)
ZTE Corporation,Moderator (ZTE)
"Fraunhofer IIS, Fraunhofer HHI",Fraunhofer
Yu Pan,ZTE Corporation
Lenovo,Haipeng (Lenovo)
FUTUREWEI,Huawei
Ericsson AB,Ericsson
Nokia,RAN WG1
"InterDigital, Inc.",IDCC
Junqiang Cheng,MediaTek
Eutelsat,
Indian Institute of Technology Kanpur,IIT KANPUR
ZTE,Moderator (ZTE)
"Huawei, HiSilicon, Ericsson",Huawei|HiSilicon|Ericsson
Ralf Bendlin,
Viasat,Viasat
BUPT,
Moderator (Huawei),
CATT,CATT|China Academy of Telecommunications Technology
Charter Communications,
NEC,
Chair,
Sony,Sony Corporation
xiaomi,Yingyang
Ericsson,Ericsson AB
Xiaodong,
MediaTek,Yu-Jen Ku
Diana Pani,
MediaTek Inc.,MediaTek
Spark NZ Ltd,Spark New Zealand Limited
RAN1 Chair,Chair
"Nokia, Apple, Ericsson, MediaTek, NTT DOCOMO, Spreadtrum",
Huawei,jean.michel.cornily@huawei.com
Cybercore,
"NTT DOCOMO, INC",DOCOMO
FL,
DoCoMo,NTT DOCOMO
"Lenovo, ZTE, Qualcomm, Ericsson, Nokia, Nokia Shanghai Bell, Samsung, Huawei, HiSilicon",
Indian Institute of Technology Madras (IITM),IIT Madras
Fraunhofer IIS,Fraunhofer Institute for Integrated Circuits
MediaTek,CH.Hsieh@mediatek.com
RAN2,Radio Access Network Working Group 2
Panasonic,peter.klenner@eu.panasonic.com
Moderator (Huawei),Huawei
"IIT Kanpur, Indian Institute of Tech (M)",IIT Kanpur|IIT-M
China Information Communication Technology Group Corporation (CICT),CICTCI
Xiaomi,Xiaomi Communications
Samsung Electronics,Samsung
Qualcomm Incorporated,Qualcomm|QCOM
Unknown,
OPPO,Oppo
Spreadtrum,Shijia Shao
Jinhuan Xia,Huawei
Nokia,Nokia.1
Purple Mountain Laboratories (PML),PML
Hyundai Motor Company,HMC
Nanxi (China Telecom),China Telecom
Qualcomm,Qualcomm Incorporated
Moderator (OPPO),OPPO
3GPP SA5,
"Huawei, HiSilicon",Huawei
Intel Corporation,Intel Corp
3GPP,3rd Generation Partnership Project
Ericsson,Ericsson[RAN1]
Nokia,"Nokia, NSB"
NTT Docomo,
Continental Automotive,Continental Automotive
Mediatek,
Iridium,
Sony,Moderator (Sony)
Vivo,Qian Yang
Langbo,R1
Ericsson,Moderator
Moderator (Samsung),Samsung
IIT Kharagpur,IIT Kharagpur
LG Electronics,LG Electronics
