agenda_id,release,doc_id,page_range
9.5.1,NR Rel-19,R1-2403273,
9.1.2,Rel-19,R1-2408381,
9.2.4,Rel-19,R1-2404973,
NR_FeMIMO,Rel-17,05270,
8.6,Rel-18,R1-2401166,
9.8.2,Rel-18,R1-2409725,
9.5.1,Enhancements of network energy savings for NR,R1-2408376,
8.1,Rel-18,R1-2407841,
9.2.3,Rel-19,R1-2403110,
7.2,Rel-17,R1-2401465,
9.3.3,Release 19,R1-2410476,
9.1.4.2,Rel-19,R1-2408269,
9.4.2.4,Rel-19,R1-2407544,
NR_MIMO_evo_DL_UL-Core,Rel-18,R1-2406159,
9.4.2.1,Release 19,R19 A-IoT,
9.3.3,Rel-19,RAN1#119-Schedule,
9.2.1,Release 19,R1-2404611,
9.5.3,Rel-19,R1-2410158,
9.6.2,Release 19,R1-2400864,
7,Pre-R18,R1-2410683,
7,R17,R1-2402945,
9.8.2,Release 18,R1-2403086,
9.11.4,Rel-18,R1-2402583,
5,Release 19,R1-2409340,
9.11.4,Rel-19,R1-2407663,
,Release 18,R1-2403837,
9.6.2,Rel-18,R1-2400445,
9.11.2,Rel-18,R1-2400750,
9.4.2.4,Release 18/19,R1-2410482,
9.7.1,May 2024,R1-2404468,
9.4.1.1,Release 19,R1-2401156,
9.9.1,Rel-19,R1-2408360,
9.8.1,18,R1-2404415,
9.7.1,Rel-19,R1-2406867,
,Release 17,R1-2403760,
9.1.3.1,Release 18,R1-2402535,
9.5,Rel-19,R1-2408816,
9.2.4,Rel-19,R1-2408997,
9.1.3.3,Rel-19,R1-2400172,
6.2.1,Rel-18,R1-2407611,
9.2.2,Rel-19,R1-2407755,
9.4.1.2,Rel-19,R1-2407609,
9.5,Rel-19,R1-2407585,
9.4.2.1,Rel-19,R1-2403020,
9.8.1,Rel-19,R1-2402256,
8.3,Rel-18,R1-2401418,
9.2.2,Rel-19,R1-2408843,
9.3.1,Release 18,R1-2404317,
9.9,Rel-18/19,R1-2407585,
9.3.1,Rel-18,R1-2405240,
9.4.2.4,Rel-19,R1-2408790,
8.1,Rel-18,R1-2405597,
9.4.2.2,Rel-19,R1-2409057,
9.11.3,Release 19,R1-2410184,
8.9,Rel-17/Rel-18,R1-2401462,
9.3.1,Rel-19,R1-2403472,
8.1,Rel-18,R1-2407231,
9.4.2.2,Rel-19,R1-2405158,
9.8.2,Release 19,R1-2410769,
NR_MIMO_evo_DL_UL-Core,Rel-18,R1-2406158,
9.3.3,Rel-19,R1-2409454,
8.1,Rel-18,R1-2405883,
9.9.1,Rel-19,R1-2410212,
9.1.4.1,Release 19,R1-2409627,
9.1.2,Rel-18/19,RAN1#118bis,
9.6.3,Release 19,R1-2409906,
9.4.2.4,Release 19,R1-2404960,
9.11.2,Rel-19,R1-2409295,
9.10.1,Rel-19,R1-2408715,
9.6.2,Rel-19,R1-2401872,
9.4.2.3,Release 18/19,R1-2404288,
8.1,Rel-18,R1-2407263,
Topic 3,Rel-18,R1-2403704,
9.7.2,3GPP Rel-19,R1-2407200,
9.5.2,Rel-19,R1-2401086,
9.4.2.4,Rel-19,R1-2406245,
9.1.2,Rel-19,R1-2406587,
9.6.3,Release 18,R1-2403037,
9.6.1,Release 19,R1-2400863,
9.7.2,Rel-19,R1-2409908,
7,Rel-15/16/17/18,R1-2409211,
9.1.3,Rel-18/19,R1-2407952,
9.7.2,Rel-19,R1-2403107,
9.2.3,Rel-19,R1-2408110,
9.4.2.2,Rel-19,R1-2407646,
9.1.3.1,Rel-17/Rel-18,CR-Form-v12.2 (R1-2301743 follow-up),
9.11.4,3GPP Release 17+,R1-2400790,
8.1,Rel-18,R1-2404090,
9,"Pre-Rel-18, Rel-18, Rel-19",R1-2409340,
9.7.1,Rel-19,R1-2400648,
9.4,Rel-18,R1-2401935,
9.5.2,Rel-19,R1-2410229,
10,Rel-18/Rel-19,R1-2407585,
9.6.1,Release 19,R1-2402114,
8.4,Release 18,R1-2401186,
9.1.4.1,Rel-19,R1-2408291,
9.4.1.2,Release 19,R1-2405215,
9.1.1,Rel-19,R1-2404272,
9.3.3,Release 18,R1-2401219,
9.5.2,Release 19,R1-2402673,
9.1.3,Rel-19,R1-2409995,
8.10,Rel-18,R1-2401537,
9.2.3,Release 19,R1-2400850,
9.8.1,Rel-19,R1-2406139,
9.1.3.2,Release 19,R1-2405237,
9.11.2,Rel-19,R1-2410183,
9.1.1,Rel-19,R1-2406353,
9.4.1.1,Release 18,R1-2406089,
5,Rel18,R1-2403322,
9.11.1,Rel-19,R1-2410584,
7,Rel-18,R1-2405532,
NR_redcap_enh-Core,Rel-18,R1-2405617,
9.5.3,Rel-19,R1-2302518,
9.2.4,Rel-18,R1-2400626,
9.5.2,Release 18,R1-2403201,
9.11.3,Rel-19,R1-2405174,
9.3.2,Rel-19,R1-2402326,
9.1.4.2,Rel-19,R1-2408335,
9.1.3.1,Release 18,R1-2403379,
9.5.1,Release 18,R1-2409946,
9.2.4,Rel-19,RAN1_Meeting_Notes,
8.5.1,,R1-2402645,
9.6.1,Release 19,R1-2401863,
11.1.1,Rel-16,R1-2400703,
NR_Mob_enh2-Core,Rel-18,R1-2405007,
9.8.2,Rel-19,R1-2410237,
9.8.1,3GPP Release 18,R1-2405589,
8.12.5,Rel-18,R1-2400315,
NR_FR1_lessthan_5MHz_BW-Core,Rel-18,R1-2401833,
9.11.3,Rel-19,R1-2406757,
8.1,Release 18,R1-2406350,
9.5.1,Release 19,R1-2402111,
9.1.3.1,Rel-18,R1-2407545,
5,Rel-18,R1-2400350,
9.4.2.2,Rel-19,R1-2410288,
9.2.1,Rel-19,R1-2402079,
9.7.1,Rel-19,R1-2408303,
9.4.1.1,Rel-19,R1-2401874,
,Rel-18,CR-38.214-Clarification,
9.1.2,Rel-19,R1-2404583,
9.2.4,Rel-19,R1-2410111,
7,Rel-15,R1-2409148,
9.11.4,Rel-19,R1-2403032,
16.3.0,Rel-18,R1-2404833,
9.8.1,3GPP Release unspecified,R1-2410015,
9.11.2,Release 19,R1-2408299,
9.1.2,Rel-19,R1-2402145,
9.2.2,Rel-19,R1-2402460,
9.1.4.2,Rel-19,R1-2409996,
9.4.1.2,Rel-19,R1-2401703,
9.5.1,Rel-19,R1-2406515,
9.3.2,Release 18,R1-2404804,
NR_NTN_enh-Core,Rel-18,R1-2408905,
9.11.4,NTN IoT Phase 3,R1-2406006,
NR_demod_enh3-Core,Release 18,R2-2313706,
9.8.2,3GPP Release 18,R1-2402398,
9.2.2,Rel-19,R1-2405888,
9.2.1,Rel-19,R1-2401256,
9.3.3,Rel-19,R1-2405469,
4,"Pre-Rel-18, Rel-18, Rel-19",R1-2409340,
7,Rel-15,R1-2408011,
8.2.4,Rel-18,R1-2404998,
9.1.2,Rel-18,R1-2400544,
9.3.2,Rel-19,R1-2404517,
Rel-16 2-Step RACH,Pre-Rel-18 NR maintenance,R1-24xxxxx,
NR_pos_enh2-Core,Rel-18,R1-2405606,
9.11.4,Rel-19,R1-2410498,
9.1.3.1,,R1-2407339,
7,Rel-17 and Rel-18,R1-2404078,
5,Rel-18,R1-2410900,
9.2.2,Rel-19,R1-2405484,
9.2.3,3GPP NR MIMO Phase 5,R1-2406927,
9.4.2.2,Rel-19,R1-2410578,
,Rel-18,R1-2401694,
5,Rel-18,R1-2410662,
9.10.1,NR,R1-2408220,
Rel-17 UE Power Saving,Pre-Rel-18,R1-24xxxxx,
9.7.1,3GPP,R1-2407651,
9.1.1,Rel-19,R1-2402869,
7,3GPP Release 17+,R1-2405316,
7.1,Rel-5,R1-24xxxxx,
9.4.2.2,,R1-2408763,
9.6.3,Rel-19,RAN1#119-Schedule,
9.11.3,Release 19,R1-2410641,
9.3.3,Rel-19,R1-2404662,
9.3.2,Release 19,R1-2410676,
9.5.1,Rel-19,R1-2408830,
9.4.2.4,Rel-18,R1-2407764,
9.6.3,Rel-18,R1-2404467,
9.6.1,Rel-18,R1-2405655,
9.3.2,Rel-19,R1-2402755,
8.1,Rel-18,R1-2407244,
9.5.2,Rel-19,R1-2409557,
9.6.2,Release 18,R1-2404411,
9.7.2,Rel-19,R1-2406383,
9.6.3,Rel-19,R1-2410906,
R18 UE features,Release 19,RAN1#118bis Schedule,
7,Rel-17,R1-2410652,
9.2.3,Rel-19,R1-2409590,
9.2.1,Release 19,R1-2410427,
9.11.1,Release 19,R1-2401029,
9.1.3.1,Rel-19,R1-2404103,
9.4.1.2,Rel-19,R1-2406812,
RAN1#118bis,Rel-18,R1-2408176,
9.11.1,Release 18,R1-2406202,
9.2.3,Release 19,R1-2402085,
9.5.1,Rel-19,R1-2400335,
9.8.2,Release 19,R1-2410880,
9.2.2,Rel-19,R1-2404395,
9.3.3,Rel-19,R1-2410789,
9.4.2,Not specified,R1-2407579,
9.2.5,Rel-18,R1-2401875,
9.2.3,Rel-19,R1-2406747,
9.4.2.2,R19,R1-2401120,
9.6.3,Rel-18/19,R1-2409875,
9.6.3,Release 18,R1-2404565,
9.1.2,Rel-19,R1-2409500,
9.2.1,Rel-19,R1-2405122,
7.2,Rel-17,R1-2401866,
9.6.3,Rel-19,R1-2401236,
8.3,Unknown,R1-2401247,
9.3.2,Release 18,R1-2408044,
9.8,Rel-19,R1-2409225,
9.11.4,Rel-18,R1-2408529,
R1-2403829/R2-2403996,Rel-18,R1-2405671,
9.2.2,Rel-19,R1-2406832,
9.1.3.3,Rel-19,R1-2401060,
9.7.1,Rel-19,R1-2403133,
9.1.2,Rel-19,R1-2407989,
9.3.2,Rel-19,R1-2400326,
9.2.3,Rel-19,R1-2403852,
9.2.3,Rel-19,R1-2401077,
9.9.1,Rel-19,R1-2408062,
9.11.2,Release 18,R1-2406276,
9.4.1.2,Release 18+,R1-2409512,
9.3.1,Release 18,R1-2402824,
5,Release 18,R1-2410077,
9.1.2,Release 19,R1-2403233,
NR_Mob_enh2-Core,Rel-18,R1-2403684,
9.3.2,Release 18,R1-2406238,
8.2,Rel-18,R1-2409131,
9.6.2,Rel-19,R1-2400474,
