agenda_id,release,topic,description
9.6.1,Rel-19,LP-WUS and LP-SS design,"Discussion on waveform/modulation, numerology, channel structure, synchronization, and coverage enhancement for LP-WUS/LP-SS in Rel-19 NR."
7.3.1.1.4,,DCI Format 0_3 Modifications,Discussion of bit-width determination for Type-1B fields in uplink DCI
9.11.1,Release 19,Discussion on NR-NTN downlink coverage enhancement,Coverage enhancement techniques for satellite networks including power sharing between beams and physical channel improvements
NR_SL_enh-Core,,Parameter alignment for NR sidelink,Discussion on corrections to TS 38.211 for DMRS and CORESET parameter alignment in sidelink transmissions.
9.11.3,Rel-19,UL Capacity Enhancement for FR1-NTN,"Normative discussion on OCC schemes (inter-slot, inter-symbol, intra-symbol) for PUSCH repetitions, including TBS scaling, UCI handling, and signaling design."
9.3.2,Rel-19,SBFD random access operation,Discussion on enabling random access in SBFD symbols for RRC_CONNECTED and IDLE modes
9.2.2,Rel-19,Rel-19 CSI Enhancements,"Discussion on codebook refinements, CRI-based reporting, and CJT calibration mechanisms."
8.8,Rel-18,Rel-18 MC-DCI Scheduling,Discussion on remaining issues for multi-cell scheduling with single DCI in Multicarrier Enhancements WI
8.12.6,Rel-18,UE features for IoT NTN enhancements,"Discussion on HARQ feedback disabling mechanisms, GNSS enhancements, and GSO/NGSO scenario support for eMTC and NB-IoT UEs in NTN."
2,"Pre-Rel-18, Rel-18, Rel-19",Pre-Rel-18 E-UTRA Maintenance,Essential corrections for E-UTRA specifications; rejected CRs marked in red.
9.1.3.1,Rel-18,AI/ML for NR Air Interface,Study of AI/ML-based CSI prediction techniques for 5G NR
9.1.3.3,Release 18,AI/ML Model and Data Aspects,"Discussion on model identification procedures, data collection configurations, and lifecycle management for UE/NW AI models"
9.5.3,Rel-19,Adaptation of Common Signals,"Discussion on time-domain adaptation mechanisms for PRACH and SSB, including configuration index alternatives, DCI-based resource adaptation, and collision handling between SSB/PRACH resources"
7,Release 19,R19 MIMO & A-IoT,Discussions on MIMO enhancements and Ambient IoT under Release 19.
9.5.2,,Discussions on on-demand SIB1 for idle/inactive mode UEs,"Evaluation of network energy saving gains through on-demand SIB1 transmission triggered by UL WUS, including configuration design, use cases, and specification impacts."
9.1.1,Release 19,Specification support for beam management,"Discussion on AI/ML-based beam management enhancements for NR, including spatial/temporal prediction, performance monitoring, and configuration mechanisms"
9.3.2,Rel-19,Evolution of NR duplex operation,"Discussion on SBFD random access configurations including RACH configuration options, SSB-RO mapping rules, and PRACH resource allocation in SBFD symbols"
9.6.1,Rel-19,LP-WUS and LP-SS design,"Specification of LP-WUS designs for IDLE/INACTIVE and CONNECTED modes using OOK/OFDM waveforms, including synchronization mechanisms via LP-SS with 320ms periodicity. Coverage targets align with PUSCH Message 3 requirements."
5,Rel-18,FR2 Issues for Rel-18 NTN,"Discussion on PRACH configuration challenges in FR2-NTN including starting symbol optimization, propagation delay considerations for LEO systems, and beam-hopping impacts"
9.1.4.1,,BFD RS Set Determination Under Rel-18 TCI Framework,Discussion on clarifying UE behavior for implicit determination of BFD RS sets under unified TCI framework.
8.1,Rel-18,Rel-18 NR MIMO Evolution Maintenance,Discussion of enhancements for Unified TCI framework and CSI reporting for multi-TRP configurations
9.4.1.2,Rel-19,Ambient IoT Receiver Architecture,"Discussion on ultra-low power receiver architectures for energy-harvesting IoT devices, including clock management, frequency shifters, and power optimization strategies"
9.11.2,Rel-19,Support of RedCap/eRedCap UEs in NTN,Discussion on collision handling and TA enhancements for HD-FDD operation in satellite networks
9.6.1,Release 18,LP-WUS and LP-SS design framework,"Discussion on waveform selection, synchronization mechanisms, and coverage enhancement for low-power wake-up receivers."
9.1.3.3,Rel-18,AI/ML Model and Data Aspects,"Discussion of training data collection mechanisms, model identification requirements, and transfer/delivery methods for AI/ML in RAN"
9.4.2.3,Rel-19,Downlink/Uplink Transmission Aspects,Technical discussion on physical channel designs and transmission protocols for Ambient IoT
7.2,Rel-17/Rel-18,Positioning SRS in RRC_INACTIVE Mode,Discussion on collision handling rules and timeline specifications for SRS transmissions in RRC_INACTIVE state.
9.6.2,NR Release 19,LP-WUR Operation in Idle/Inactive Modes,"Discussion of monitoring occasion structure, UE subgrouping, RRM measurements, and integration with legacy paging procedures for low-power wake-up receiver operation"
9.5.2,Rel-19,On-demand SIB1 for idle/inactive mode UEs,Study of mechanisms for UE-triggered SIB1 transmission to improve network energy efficiency
8.11,Rel-18,FL summary #1 for Rel-18 NR eRedCap maintenance,"Discussion of maintenance items for Release 18 Enhanced RedCap features including random access procedures, SPS configurations, MBS handling, and capability indicator clarifications"
9.11.1,Rel-19,Discussion on downlink coverage enhancements for NR NTN,Evaluation of beam hopping techniques and SSB periodicity extension to improve coverage ratio in satellite footprints
5,18,DL Positioning Enhancements,Discussion on forwarding PRU measurement data for UE-based positioning
8.12.1,Rel-18,NR MIMO Evolution,"Discussion on UE features for NR MIMO evolution, including TCI framework extensions, CSI/DMRS/SRS enhancements, and 8Tx UL transmission."
9.11.1,Rel-19,NR NTN Downlink Coverage Enhancement,"Discussion of technical solutions for improving downlink coverage in NTN scenarios including SSB periodicity extension, beam management, and link-level enhancements"
16.2.3,,PSFCH Power Control Corrections,Discussion of power control formula corrections for PSFCH in NR sidelink
9.8.2,3GPP Release 19,Channel model adaptation and extension,Discussion on extending TR 38.901 channel model for 7-24 GHz including near-field propagation and spatial non-stationarity aspects
8.12.5,Rel-18,UE Features for Other Topics A,"Discussion of remaining issues for Rel-18 UE features including eRedCap, XR, Coverage Enhancement, sub-5MHz operation, eDSS, and TEI"
8.1,Rel-19,Positioning Enhancements,Handling CSI-RS/SRS spatial relation in RRC_INACTIVE state
9.10.1,Rel-18,Discussion on enabling TX/RX for XR during RRM measurements,"Specify enhancements to enable transmission/reception in gaps/restrictions caused by RRM measurements for XR services, considering RRM performance impact."
8.3,Rel-18,Expanded and Improved Positioning,"Discussion of remaining issues for Rel-18 positioning enhancements including sidelink PRS, measurements, carrier phase, bandwidth aggregation and RedCap support"
9.11.3,Rel-18,NR-NTN Uplink Capacity/Throughput Enhancement,"Study and specification of DFT-s-OFDM PUSCH enhancements via OCC for FR1-NTN, focusing on capacity improvements under realistic impairments."
8.1,Rel-18,Maintenance on Rel-18 work items – Multi-Carrier,"Endorsement of alignment CRs for DCI formats, HARQ-ACK codebooks, and multi-carrier enhancements in TS 38.213/212."
A-IoT,,Agricultural IoT,IoT advancements for agricultural applications.
9.2.2,Rel-19,CSI enhancements for Rel-19 MIMO,Discussion on Type-II codebook CBSR configurations and Type-I SP codebook refinements for high-port MIMO systems.
9.4.2.3,Release 18,Downlink/Uplink Channel/Signal Aspects for Ambient IoT,"Discussion on preamble structures, synchronization signals (start-indicator/clock-acquisition), control/data channel designs, and proximity determination methods for AIoT systems."
9.4.2.1,Rel-19,Physical layer design,"Discussion on CP handling, subcarrier orthogonality, repetition types, and waveform generation for A-IoT"
9.10.1,Release 18,Enabling TX/RX for XR during RRM measurements,"Specification of enhancements to enable transmission/reception during RRM measurement gaps/restrictions, focusing on DCI/MAC-CE signaling solutions."
9.2.1,Rel-18,UE-initiated/event-driven beam management,"Discussion on trigger conditions, RS configurations, reporting mechanisms, and content for UE-initiated beam management."
9.7.2,Release 18,ISAC Channel Modeling,Standardization of channel models for integrated sensing and communication systems
9.11.2,Rel-19,Support of RedCap and eRedCap UEs with NR NTN operating in FR1-NTN bands,"Defines requirements and enhancements for HD-FDD RedCap/eRedCap UEs in NTN, focusing on collision handling and TA reporting."
9.5.2,Release 18,On-demand SI delivery mechanisms,"Discussion on Case 2 (Option 1+B+X) and Case 3 (Option 2+B+Y) configurations for on-demand SIB1 transmission, including UL-WUS mechanisms and NES gain evaluations."
9.7.2,Rel-19,Channel modeling for ISAC in 5G-NR,"Study on defining channel models to support object detection/tracking (UAVs, humans, vehicles) across six sensing modes (e.g., TRP-TRP bistatic, UE monostatic). Focus on RCS modeling, polarization effects, and deployment scenarios."
NR_pos_enh2-Core,,SRS Positioning Enhancements,Discussion of corrections for SRS frequency hopping patterns in positioning
9.1.4.1,,gNB-to-gNB and UE-to-UE CLI Handling,"Discussion of interference mitigation schemes for SBFD operation including spatial domain coordination, measurement methods, and standardization proposals."
9.3.2,,On subband full duplex random access operation,"Discussion on PRACH configuration, CLI mitigation, and specifications for SBFD-aware random access in connected/idle modes."
9.14.2,Rel-19,UE features for NR MIMO Phase 5,"Discussion on CSI enhancements (Type I/II codebooks, hybrid beamforming, CJT calibration) and 3Tx UE capabilities."
NR_pos_enh2-Core,,SL Positioning Synchronization,Discussion on synchronization source handling for SL positioning in Rel-18
9.1.3.1,Rel-19,AI/ML for CSI Prediction,"Discussion on performance gains, specification impacts, and configuration requirements for AI/ML-based CSI prediction in Rel-19."
9.1.2,Release 19,AI/ML for Positioning Accuracy Enhancement,"Discussion on specification impacts for AI/ML-driven positioning enhancements, including data collection, model inference, and performance monitoring for 1st priority cases (UE-based and NG-RAN-assisted positioning)."
RAN1#118bis,Rel-18,Collision Rule Implementation for RedCap SRS,Discussion on implementing agreements from RAN1#114bis for collision handling between UL SRS with frequency hopping and other signals/channels.
8.3,Rel-18,Multi-Carrier Enhancements for NR,Discussion of remaining issues in multi-cell scheduling with single DCI
7,Rel-16/17/18,Intra-UE multiplexing and prioritization,"Discussion on unresolved issues related to intra-UE multiplexing procedures, including handling of CG/DG PUSCHs without transport blocks, timeline conditions, and prioritization conflicts between HP/LP transmissions."
9.7.2,Rel-19,ISAC Channel Modeling,Study on channel modeling aspects for integrated sensing and communication (ISAC) to support object detection/tracking in Rel-19
R1-116,Rel-17,38.212 Specification Maintenance,Discussion and approval of CR addressing common PUCCH/PUSCH configuration ambiguities and SUL handling in DCI 0_0
7,Pre-Rel18,SRS power scaling and transmission occasion,"Discussions on power allocation mechanisms for simultaneous SRS resources in non-codebook usage, focusing on power scaling approaches and implications for UE implementation and network operation."
9.5.1,3GPP Release 18,Discussion on LP-WUS operation in IDLE/INACTIVE modes,"Specification of LP-WUS procedures and configurations for paging monitoring in IDLE/INACTIVE states, including synchronization, RRM measurement relaxation, and entry/exit conditions."
9.13,Rel-19,TEI,"Email discussion and session coordination for Rel-19 TEI proposals, including updates on SRS beamforming, link adaptation, and CSI acquisition improvements."
9.11.1,Rel-19,Discussion of reply LS on DL coverage enhancements,"Addressing RAN2's questions on SSB patterns, common control signaling impacts, UL beam hopping, and beam status definitions for NTN scenarios."
NR_NTN_enh-Core,,NR NTN Enhancements,"Discussion on enhancements for Non-Terrestrial Networks in 5G NR, including HARQ process alignment."
9.2.1,Rel-19,UE-initiated/event-driven beam management,"Discussion on trigger events, measurement metrics, reporting procedures, and signaling mechanisms for UE-initiated beam management enhancements in Rel-19"
9.6.1,Rel-19,Discussion on LP-WUS and LP-SS Design,"Specification of low-power wake-up signals and synchronization signals for NR, including waveform design (OOK-1/OOK-4), encoding schemes, synchronization procedures, and RRM measurement relaxation."
9.1.3.2,Release 19,Study on CSI compression,"Discussion on AI/ML-based CSI compression enhancements, including TSF-domain methods, UCI feedback handling, and inter-vendor collaboration strategies."
5.1.5,,Antenna ports quasi co-location,Discussion of TCI state indication mechanisms for CJT schemes
8.1,Rel-18,FL Summary on Maintenance of 8TX; Second Round,Discussion of codebook enhancements and specification updates for 8Tx UL operation in Rel-18
9.3.3,Release 18,CLI handling mechanisms for Duplex Evolution,Discussion of interference mitigation techniques for SBFD and dynamic TDD deployments
9.3.3,Rel-19,CLI handling for Rel-19 duplex operation,Discussion on down-selection of gNB-to-gNB and UE-to-UE CLI handling schemes for SBFD operation
9.7.2,Release 19,Discussion on ISAC channel modelling,"Study on channel modelling for Integrated Sensing and Communications (ISAC), covering deployment scenarios, RCS modeling, scattering point configurations, and spatial consistency for frequencies up to 52.6 GHz."
9.3.2,Rel-18,SBFD random access operation,Discussion on enhancements for random access procedures in Sub-band Full Duplex operation
9.5.1,Rel-18,On-demand SSB SCell operation,"Discussion on signaling mechanisms, transmission scenarios, and configuration parameters for dynamic SSB transmission in SCells."
9.13,Rel-19,TEI,Email discussion and session coordination for Release-19 Technical Evolution and Innovation proposals
8.12.1,Rel-18,UE features for NR MIMO evolution,"Discussion on Rel-18 UE features including Multi-TRP enhancements, CSI codebook evolution, DMRS/SRS configuration, and 8Tx UL transmission capabilities."
9.1.2,Release 19,Specification support for AI/ML positioning,"Discussion on measurement enhancements, signaling mechanisms, and consistency maintenance for AI/ML-based positioning accuracy improvements"
9.5.1,Rel-19,Enhancements of network energy savings for NR,Discussion of on-demand SSB mechanisms for SCell operation optimization
9.1.4.1,,NR_SL_enh2-Core,Discussion of clarifications for COT sharing mechanisms in sidelink communication
9.3.1,Rel-19,Evolution of NR duplex operation,"Discussion on SBFD TX/RX/measurement procedures including configuration, collision handling, and transmission behaviors."
9.11.5,Rel-19,On TDD mode for IoT-NTN,"Discussion of technical aspects for implementing TDD mode in NB-IoT NTN systems including PHY-channel configuration, periodic pattern design, and synchronization procedures"
8.1,Rel-18,Maintenance of Rel-18 MIMO,"Discussion on maintenance issues for unified TCI extensions and UL power control in Rel-18 MIMO specifications, including text proposals and company assessments."
NR_Mob_enh2-Core,Rel-18,Inter-DU Early TA Acquisition,Discussion on F1AP signaling design for CFRA resource allocation in inter-DU mobility
9.2.4,Rel-19,NR MIMO Phase 5 Enhancements,Discussion of asymmetric DL sTRP/UL mTRP deployment enhancements including power control mechanisms and pathloss calculation improvements
8.4,3GPP,Beam Management,Discussion of beam-related procedures including LTM cell switching and TCI-state application timing
9.6.3,Release 19,LP-WUS Operation in Connected Mode,"Discussion on enhancements for LP-WUS operation during C-DRX active time, including configuration methods, wake-up delay considerations, and impacts on CSI reporting"
8.1,Rel-18,Maintenance on Rel-18 work items,"Discussion and decisions on maintenance updates for IoT-NTN and NR-NTN specifications including RRC parameter alignment, PUSCH/PUCCH scheduling corrections, and UE location verification mechanisms"
9.5.2,Rel-19,On-demand SIB1 for idle/inactive mode UEs,"Study of procedures and signaling methods to support UE-triggered SIB1 transmission for network energy savings, including UL WUS mechanisms and inter-gNB coordination"
9.4.1.2,3GPP,Ambient IoT device architectures,"Discussion on interference management, multi-band operation feasibility, and UL transmission requirements for ultra-low power Ambient IoT devices."
7,Rel-17,Joint TCI Configuration for SRS,Clarify SSB usage in joint TCI states for MAC-CE-based SRS spatial filter updates.
CR 0596,Rel-17,TS 38.214 Editorial Corrections,Discussion and approval of editorial corrections for NR physical layer procedures in Rel-17
9.1.2,Release 19,AI/ML for NR Positioning,"Framework development for AI/ML-based positioning enhancements including measurement definitions, model lifecycle management, and training data handling"
9,Rel-18,UE procedure for reporting control information,Discussion of HARQ-ACK codebook handling and PUSCH/PUCCH resource management
NR_pos_enh2-Core,,SRS BW aggregation impact mitigation,Discussion on solutions for handling SRS bandwidth aggregation impacts on other channels/signals.
8.5.3,Release 18,Expanded and Improved NR Positioning,"Discussion of UE features for Rel-18 Work Items including SL positioning enhancements, bandwidth aggregation capabilities, and RedCap positioning improvements."
9.1.4.2,Rel-19,Other aspects of AI/ML framework,"Discussion on AI/ML framework components including model identification, data collection mechanisms, and model transfer/delivery standardization"
9.5.3,Release 19,Adaptation of common signal/channel transmissions,Discussion on network energy saving through adaptation of SSB/PRACH/paging configurations while maintaining legacy compatibility
9.4.1.1,,AIoT Evaluation Assumptions,"Discussion of remaining evaluation assumptions and results for Ambient IoT technologies including deployment scenarios, link-level simulations, and coverage analysis"
9.11.1,Rel-19,Non-Terrestrial Networks (NTN) for NR Phase 3,Study of downlink coverage enhancements for NTN including power sharing strategies and evaluation methodologies
NR_LPWUS,,LP-WUS CONNECTED Mode Operation,Discussion on using MAC CEs to manage DRX timers and enable LP-WUS monitoring in connected mode.
NR_cov_enh2-Core,Rel-18,Maintenance of further NR coverage enhancements,Discussion of corrections and enhancements for NR coverage features in TS 38.213
9.1.3.3,Release 18/19,AI/ML Model and Data Aspects,"Discussion on model identification procedures, transfer mechanisms, and alignment of training/inference conditions for AI/ML in NR"
8.1,Rel-18,E-UTRAN Measurement in IoT-NTN,Clarification of supported E-UTRAN measurement quantities and reference points for IoT-NTN.
9.2.4,Rel-18,MIMO Enhancements,"Discussion on enhancements for asymmetric DL sTRP/UL mTRP deployment scenarios including TCI framework adaptation, power control mechanisms, and timing advance support"
9.1.3,Rel-19,Specification support for AI-enabled CSI prediction,"Discussion of AI/ML-based CSI prediction enhancements including training/inference consistency, gNB/UE-side model comparisons, and performance monitoring mechanisms"
9.5.1,Rel-19 NES,Enhancement to support on demand SSB SCell operation,"Discussion on procedures and signaling methods for on-demand SSB transmission on SCells, including UE triggering mechanisms (PRACH/PUSCH), gNB confirmation methods, and SSB transmission duration control."
7.1,Rel-17,Correction on DMRS bundling time windows,Discussion about terminology clarification between actual time domain window and transmission time window in DMRS bundling specifications
9.5.1,Rel-19,Discussion on on-demand SSB SCell operation,Discussion of mechanisms for gNB-controlled SSB transmission optimization in SCells
9.4.2.3,Rel-19,Downlink and uplink physical channel for Ambient IoT,"Discussion of physical layer design aspects for Ambient IoT including carrier wave transmission strategies, resource allocation, multiplexing techniques, and proximity determination methods"
9.1.4.2,Rel-18/Rel-19,Other aspects of AI/ML model and data,"Discussion on model identification procedures, UE data collection mechanisms, and standardized solutions for AI/ML model transfer/delivery"
9.3.3,,Duplex,Further discussions on duplex techniques.
8.4,Release 18,Maintenance on Further NR Mobility Enhancements,"Discussion on CRs for NR mobility enhancements, including power prioritization rules, TCI state application timing, PRACH handling, and alignment with RAN4 specifications."
8.1,Rel-18/19,Positioning,Handling LS on SL-TDOA/SL-TOA measurements and CBR range alignment between RAN1/RAN2 specifications
9.1.4.2,Rel-18/Rel-19,Discussion on other aspects of AI/ML in NR air interface,"Study on AI/ML framework for NR air interface, covering model identification, additional conditions, and LCM mechanisms."
10.1,Rel-18,UE procedure for determining PDCCH assignment,Clarification of TCI state application rules for CORESETs during LTM cell switching
Antenna Switching SRS Discussion,,3T6R/4T6R antenna switching SRS in Rel-19,Discussion on feasibility and specification of requirements for 3T6R/4T6R antenna switching SRS configurations in Release 19.
9.1.3.2,Release 18,AI/ML for CSI compression,"Discussion on AI/ML-based CSI feedback enhancements including complexity analysis, localized model performance, and interoperability solutions for two-sided models"
9.6.3,Rel-19,LP-WUS operation in CONNECTED mode,Discussion of low-power wake-up signal procedures for connected mode UEs
NR_NTN_solutions-Core,,NTN Timing Adjustments,Discussion of propagation delay compensation mechanisms for Non-Terrestrial Networks
9.7.1,Release 18,ISAC Deployment Scenarios,"Discussion on channel modeling and evaluation parameters for Integrated Sensing and Communication deployment scenarios including UAVs, vehicles, and AGVs"
5.1.5,,Antenna ports quasi co-location,Discussion of TCI state update mechanisms and clarifications for DCI format 1_3 operation
9.2.1,Rel-19,MIMO UE-initiated Beam Management,"Discussion on trigger mechanisms, RS configurations, and signaling protocols for UE-driven beam reporting in Rel-19."
9.2.2,Rel-19,CSI enhancements,"Discussion on CSI enhancements for Rel-19 including >32 port support, codebook refinements, and CJT calibration"
9.3.2,Rel-18/19,SBFD Random Access Operation,"Discussion on PRACH configuration, RO validation, and SSB-RO mapping for SBFD-aware UEs in RRC_CONNECTED/IDLE states."
9.1.3.1,Rel-19,CSI prediction,"Evaluation of AI/ML-based CSI prediction performance, complexity, and generalization compared to Rel-18 non-AI methods"
9.2.1,Rel-19,NR MIMO Enhancement,Discussion on UE-initiated beam management mechanisms for FR2 and sTRP scenarios
8.1,Rel-18,NR Physical layer enhancements,Discussion on physical layer procedures including random access channel optimization
9.6.3,Rel-19,LP-WUS operation in CONNECTED mode,"Discussion on procedures, configurations, and requirements for LP-WUS operation in RRC_CONNECTED mode, including activation/deactivation mechanisms, timeline constraints, and coexistence with legacy features."
8.4,Rel-18,Maintenance on other Rel-18 work items - RedCap,"Discussion on maintenance aspects for Release 18 Reduced Capability devices including 2-step RACH procedures, multicast support, and UE complexity reduction"
9.8.1,Release 19,Channel model validation of TR 38.901 for 7-24GHz,"Validation and enhancement of stochastic channel models for FR3 bands including suburban macro scenario development, pathloss model analysis, and antenna modeling improvements"
9.5.3,Release 19,Adaptation of common signal/channel transmissions,"Discussion on network energy saving through dynamic adaptation of SSB periodicity, PRACH resources, and paging occasion confinement while maintaining legacy compatibility"
9.4.1.1,Rel-19,Ambient IoT evaluations,Discussion on evaluation methodologies and results for Ambient IoT performance parameters including latency and coverage
9.4.1.2,Rel-19,Ambient IoT Solutions,Study on ultra-low power device architectures for Ambient IoT communication systems
9.2.4,Rel-19,Enhancement for asymmetric DL sTRP/UL mTRP,Discussion on power control mechanisms and pathloss offset configuration for uplink multi-TRP scenarios
9.11.1,Rel-19,Discussion on NR-NTN DL Coverage Enhancement,"Evaluation of system-level and link-level enhancements for downlink coverage in NTN, including SSB periodicity extension, beam hopping, and power sharing."
9.4.1.1,Rel-19,Evaluation Assumptions for Ambient IoT,"Discussion on coverage evaluation, coexistence analysis, link budget parameters, and design targets for Ambient IoT devices in Rel-19."
7,Rel-17/Rel-18,SDT Enhancements for RedCap,Discussion on search space configuration requirements for Small Data Transmission in Reduced Capability devices
9.1.3.3,Rel-19,Other aspects of AI/ML model and data,"Covers model identification procedures, UE-sided training data collection, and model transfer/delivery standardization needs"
9.10.1,NR Phase 3,Signaling control of scheduling restriction during measurement gap in support of XR services,"Enhancements to enable transmission/reception during RRM measurement gaps/restrictions, focusing on dynamic vs. semi-static signaling solutions."
9.4.1.1,3GPP Release 18,Evaluation assumptions for Ambient IoT,"Coverage evaluation parameters, pathloss models, and link budget analysis for Ambient IoT systems"
6.1.4.1,Rel-18,Modulation order determination,Clarification of modulation order selection for Msg3 PUSCH when tp-pi2BPSK is configured
8.1,Rel-18,Maintenance on Rel-18 NR MIMO Evolution,"Discussion of enhancements for MIMO features including TCI framework extensions, CSI improvements, and UL/DL reference signal configurations."
9.2.3,Rel-19,FL Summary Support for 3TX CB-based Uplink,"Discussion of 3-antenna-port codebook design, SRS configurations, and transmission mechanisms for NR MIMO Phase 5"
9.3.3,Rel-19,CLI Handling for NR duplex operation,Discussion on physical layer enhancements for cross-link interference mitigation in dynamic TDD and sub-band full duplex scenarios
9.5.2,Rel-19,On-demand SIB1 for Idle/Inactive mode UEs,Discussion of mechanisms for UE-triggered SIB1 transmission in energy-saving networks
9.8.2,3GPP Release 18+,Channel model adaptation/extension of TR38.901 for 7-24 GHz,Enhancements for near-field propagation modeling in 7-24 GHz frequency bands
6.2.7,,Data and Control Multiplexing Procedure,Discussion on clarifying UCI multiplexing applicability for configured grant PUSCH and editorial corrections in Section 6.2.7.
TEI18,Rel-18,NR_UE_pow_sav_enh-Core,Discussion on TRS configuration for idle/inactive UEs and alignment with RAN2 agreements.
9.6.2,Rel-18,LP-WUS Operation in IDLE/INACTIVE,Discussion of wake-up signal design and procedures for energy-efficient UE operation
9.5.1,Not Specified,On-demand SSB SCell Operation,"Discussion on procedures and signaling methods for on-demand SSB transmission in SCells, including scenarios, triggering mechanisms (RRC/MAC CE/DCI), parameter configuration, and transmission timelines."
6.2.1,,UE sounding procedure,Discussion on PUCCH/SRS transmission conflicts and cancellation timelines.
9.1.2,Release 18,Specification support for positioning accuracy enhancement,Discussion on AI/ML-based positioning enhancements including signaling for LCM operations and AI-enabled reference signal configurations
9.6.3,Rel-18,LP-WUS operation in CONNECTED mode,"Discussion on procedures for LP-WUS-triggered PDCCH monitoring in connected mode, including activation/deactivation mechanisms and compatibility with C-DRX."
R1-2410023_Agenda1,,UE RF issues for Rel-19 MIMO,Discussion of asymmetric DL sTRP/UL mTRP deployments and 3Tx UE power transmission capabilities
9.5.2,Rel-19,On-demand SIB1 for Idle/Inactive mode UEs,"Specification of procedures for Case 2 on-demand SIB1 transmission using UL WUS via PRACH, including UE identification of NES cells, PRACH resource allocation, and Type0-PDCCH monitoring configurations."
9.11.2,Rel-19,Support of RedCap/eRedCap UEs in FR1-NTN,"Discussion on essential changes required for HD-FDD RedCap operation in NTN environments, focusing on collision handling and TA management"
FS_Ambient_IoT_solutions,Rel-19,PHY Layer TB Size Specifications,Discussion on maximum/minimum transport block sizes for AIoT in D2R/R2D directions and their transmission conditions.
9.6.2,Release 18,LP-WUS Operation in RRC_IDLE/INACTIVE,"Specification of procedures and configurations for energy-efficient wake-up signaling including synchronization, UE grouping, and measurement relaxation"
9.1.3,Rel-19,AI/ML for CSI prediction,"Discussion on normative specifications for UE-side AI/ML models for CSI prediction, focusing on training/inference consistency and required enhancements"
9.7.1,Release 17,ISAC Deployment Scenarios,Discussion on deployment scenarios and channel modeling considerations for Integrated Sensing and Communication systems
9.1.4.1,,NR Sidelink Enhancements,Discussion on CBR range configuration and ASN.1 updates for NR sidelink.
9.1.3.1,Rel-19,AI/ML-based CSI prediction enhancements,"Further study on performance-complexity tradeoffs, configuration aspects, and monitoring mechanisms for AI/ML-based CSI prediction in Rel-19"
9.2.2,Rel-19,Rel-19 CSI Enhancements,"Discussion on NR MIMO Phase 5 WID objectives including CSI support for 128 ports, hybrid beamforming enhancements, and CJT calibration reporting"
