agenda_id,doc_id,page_range
9.1.1,RAN1#119,
9.4.2.3,R1-2408468,entire document
9.8.2,R1-2402900,
9.5.1,R1-2400740,
9.4.1.2,R1-2407733,
Rel-17 1024QAM,R1-24xxxxx,
8.4,R1-2403540,
5,R1-2402292,
9.1.1,R1-2405284,
9.3.2,R1-2409489,
9.2.2,R1-2405445,Full Document
,R1-2404989,
10.1,R1-2402401,
9.3.1,R1-2409843,Entire document
9.2.2,R1-2402497,Full document
5,R1-2409172,
NR_pos_enh2-Core,R1-2407380,
9.4.2.3,R1-2403967,
9.5.1,R1-2403063,
7.2,R1-2401692,
9.1.3.1,R1-2405032,
9.2.1,R1-2406044,
9.3.2,R1-2402879,
7,R1-2409368,Entire document
7,R1-2409132,
9.6.3,R1-2401698,
9.7.1,R1-2410125,
7,R1-2409056,
9.3.1,R1-2406059,
9.5.2,R1-2407038,
9.6.1,R1-2405996,
9.11.3,R1-2405265,
9.4.1.1,R1-2408785,
9.2.4,R1-2400384,
9.4.2.1,R1-2404556,Entire document
9.5.1,R1-2407910,
9.2.2,R1-2405487,
9.4.2.4,R1-2402247,
9.1.4.1,R1-2408560,
9.11.1,R1-2409958,
8.4,R1-2403660,
7.2,R1-2401593,
9.2.4,R1-2400052,entire document
9.11.1,R1-246130,1-23
S2-2405833,R1-2405018,
9.1.4.1,R1-2408393,Entire document
9.4.2.3,R1-2401121,
9.10.1,R1-2407289,
6.2.1.4.1,R1-2406351,
8.1,R1-2405024,
9.1.4.1,R1-2404232,1-3
9.2.1,R1-2400507,Entire document
9.1.2,R1-2405945,2-93
8.1,R1-2406535,
9.2.1,R1-2407145,
8.12.1,R1-2400996,3/226
9.8.1,R1-2410213,Entire document
9.9,RP-240858,Entire document
9.3.3,R1-2405469,
Unknown,R1-2405614,1-3
9.11.3,R1-2406204,
8.1,R1-2407503,
9.7.2,R1-2409908,1-34
9.4.1.1,R1-2407968,
9.1.3.1,R1-2402535,
9.2.2,R1-2410303,
9.2.1,R1-2403944,
9.3.3,RAN1#119-Schedule,
9.4.2.2,R1-2400954,
9.1.4.2,RAN1#118bis Schedule,
7.2,R1-240xxxx,
9.8.2,R1-2409725,1-25
9.11.4,R1-2400879,
9.1.3.2,R1-2401005,
9.1.3.2,R1-2401037,
9.8.2,R1-2410237,
9.3.3,R1-2401634,
9.6.1,R1-2400093,
9.1.2,R1-2408774,
8.6,R1-2401505,
9.8.2,R1-2405250,
8.1,R1-2404081,
NR_pos_enh2-Core,R1-2403986,
9.6.3,R1-2408495,1-5
9.8.1,R1-2409000,entire document
9.4.2.2,R1-2407130,
9.1.3.1,R1-2402555,1-9
9.4.1.1,R1-2402328,
9.11.1,R1-2405251,
,R1-2410935,
9.6.1,R1-2401317,
8.12.5,R1-2401644,1-14/16
9.8.2,R1-2410880,1-13
8.5.1,R1-2403614,
9.4.2.3,R1-2400461,
9.12.1,R1-2409716,
5,R1-2404352,
9.6.2,R1-2407978,1-3
8.1,R1-2410867,
9.6.1,R1-2407492,
9.8.1,R1-2407931,Entire document
9.1.3,R1-2408212,
9.12.1,R1-2410100,Entire document
9.4.2.1,R1-2405441,
9.1.3.1,R1-2406639,
10.4,R1-2409331,
9.5.2,R1-2400741,
9.11.1,R1-2401079,
R19 MIMO,RAN1#118bis_Schedule,Multiple schedule entries
9.4.2.1,R1-2404286,
9.4.2.2,R1-2300612,Entire document
9.7.2,R1-2408387,
8.1,R1-2404791,
9.11.5,R1-2408871,
9.8.1,R1-2402256,
8.5.1,R1-2402451,entire document
9.1.3.2,R1-2400464,Entire Document
8.1.3.2,R1-2408519,
9.4.2.3,R1-2407129,
NR_pos_enh2-Core,R4-2410352,
9.2.1,R1-2406543,
9.11.4,R1-2407563,
NR_NTN_enh-Core,R1-2407016,
8.1,R1-2405668,1-21
9.4.2.1,R1-2409072,Entire document
9.1.4.1,R2-2403810,
9.11.3,R1-2402345,
9.2.4,R1-2408339,
9.8.2,R1-2409779,1-5
8.1,R1-2409312,Entire document
9.11.4,R1-2404310,
8.4,R1-2403440,
9.8.1,R1-2408484,
9.1.3.2,R1-2404548,
9.1.3.3,R1-2401175,
9.4.1.2,R1-2407673,Entire document
9.3.1,R1-2408907,
7,R1-2405604,
9.7.2,R1-2409837,
9.11.5,R1-2409038,Entire Document
9.8.2,R1-2410881,
9.10.1,R1-2403676,Entire document
9.1.3.2,R1-2402556,Entire document
9.2.1,R1-2408911,
9.4.2.3,R1-2401018,Entire document
NR_redcap_enh-Core,R1-2405194,
9.11.3,R1-2410130,
,R2-2403807,
9.2.2,R1-2400624,
9.2.3,R1-2402876,
5,R1-2407795,
9.1.2,R1-2400101,
9.4.2.3,R1-2406730,
9.5.1,R1-2406938,1-5
9.4.2.3,R1-2405914,
9.12.1,R1-2408038,
9.5.3,R1-2401856,
XR_enhancements,R1-2401343,
9.9.1,R1-2406032,Entire document
9.4.2.3,R1-2406290,Entire document
9.2.1,R1-2407075,all
9.3.1,R1-2407219,1-28
9.6.2,R1-2409239,
8.11,R1-2401098,2/12
9.6.1,R1-2406815,1-7
9.4.2.1,R1-2405044,
9.7.1,R1-2410322,
7,R1-2402945,Entire document
8.1,R1-2405391,Entire document
9.3.1,R1-2404865,Entire document
6.2.1.4.1,R1-2405289,
9.2.1,R1-2407961,
9.1.1,RAN1#118bis,
,R1-2404846,
9.10.1,R1-2406862,1-6
9.7.1,R1-2410524,entire document
Rel-18_UE_Features,R1-2410665,
9.1.3.2,R1-2402053,Entire document
9.7.1,R1-2409393,
9.5.1,R1-2402516,
9.1.1,R1-2405223,
,R1-2401784,
RAN1-118bis,R1-2410922,
6.2.1.4.1,R1-2404993,1-2
9.5.2,R1-2406695,
9.7.2,R1-2400069,
5,R1-2408396,
9.3.1,R1-2405280,Entire Document
9.3.1,R1-2403904,1-28
9.7.1,R1-2400256,
R1-2404359_Agenda,R1-2404359,1-2
6.1.1.1,R1-2405624,
9.3.3,R1-2400179,
9.2.4,R1-2408294,1-7
9.4.1.2,R1-2409358,
RAN2-127-PowerControl,R2-2407655,1-4
NR_MBS_enh-Core,38.211 CR,
9.10.1,R1-2406415,all
9.11.3,R1-2407585,
RAN3-SL-PRS-01,R3-237860,1-2
9.1.1,R1-2408887,
11.5,R1-2409331,
9.1.4.1,R1-2407851,
7.1,R1-2401691,Full document
7,R1-2410683,
8.5,R1-2403748,
9.11.1,R1-2405057,1-12
9.5.1,R1-2408121,Entire document
9.3.3,R1-2402465,1-11
,R1-2401726,
9.6.1,R1-2410646,
9.3.3,R1-2404499,
9.11.1,R1-2404916,
9.1.4.1,R1-2410021,
9.2.4,R1-2402082,Entire document
9.1.4.2,R1-2409169,entire document
NR_MIMO_Ph5,R1-2410757,
9.11.3,R1-2400403,
9.2.3,R1-2400163,
8.12.5,R1-2401804,35-36
9.5.3,R1-2407082,
NR_FeMIMO,R1-2408198,1-3
8.1,R1-2404255,
9.1.3.2,R1-2404880,1-17
8.1,R1-2410689,Entire document
9.5.2,R1-2410301,
9.4.2.4,R1-2404873,
9.11.3,R1-2404786,
NR_duplex_evo-Core,R1-2409537,1-2
9.1.1,R1-2406440,
9.9.1,R1-2408714,
9.4.2.3,R1-2407864,
8.5,R1-2400221,
9.6.1,R1-2400904,
9.1.4.1,R1-2407539,
9.4.2.3,R1-2409360,
9.1.1,R1-2409925,
5,R1-2405647,
9.11.2,R1-2404042,
9.4.1.1,R1-2402383,
9.5.3,R1-2407713,1-6
9.5.3,R1-2409737,1-7
9.2.4,R1-2408584,Entire document
9.3.2,RAN1#118bis_Schedule,
9.5.3,R1-2410134,
9.1,R1-2407520,
9.11.4,R1-2408870,
8.3,R1-2401935,
7.2,R1-2400965,
9.7.2,R1-2401456,1-5
9.5.2,R1-2408312,
9.11.1,R1-2401059,Entire document
NR_pos_enh2-Core,R1-2405404,
9.1.1,R1-2401002,
9.5.2,R1-2405812,Entire Document
9.4.1.1,R1-2410827,
9.11.1,R1-2401988,entire document
9.8.2,R1-2409955,Entire document
9.3.3,R1-2406183,
9.2.4,R1-2407190,
9.8.2,R1-2405885,
9.3.1,R1-2401980,
9.2.1,R1-2407897,
9.11.2,R1-2409824,1-8
9.6.1,R1-2407869,Entire document
9.1.3.1,R1-2404274,
9.7.1,R1-2409907,
9.2.4,R1-2401489,
7.1.3,R1-XXXXXX,
9.10.1,R1-2406304,
R1-2400008,R1-2400967,
9.1.1,R1-2409855,Entire Document
9.11.1,R1-2401992,Entire document
9.2.3,R1-2408189,
9.1,R1-2409340,
9.3.1,R1-2409937,
8.1,R1-2405724,
5,R1-2407692,Entire document
9.5.1,R1-2406292,
9.5.2,R1-2402030,
9.1.3.3,R1-2402057,
0622,R1-2403710,
9.2.2,R1-2410667,
9.3.1,R1-2410428,
9.2.2,R1-2406746,Full document
9.1.4.1,R1-2409482,
9.2.3,R1-2407182,Entire document
9.3.3,R1-2400689,
8.1,R1-2409202,
9.1.2,R1-2402277,
9.9.1,R1-2408661,
9.2.3,R1-2408844,1/13
9.1.3.2,R1-2404104,
9.2.1,R1-2401007,
,R1-2406329,
9.1.3.1,R1-2401588,1-25
9.1.2,R1-2408267,1-10
9.7.1,R1-2407717,1-7
Rel-19_KI_2b3b,R1-2403835,
9.5.1,R1-2409735,1-12
8.1,R1-2407398,
9.6.1,R1-240xxxx,
9.11.1,R1-2406777,
9.6.3,R1-2409265,
9.3.1,R1-2400852,Entire document
9.2.3,R1-2402083,1-24
9.3.1,R1-2402239,
9.6.1,R1-2400670,
9.4.1.1,R1-2408849,
9.4.1.2,R1-2409941,Entire Document
8.6,R1-2400368,
9.2.1,R1-2406642,
9.4.2.3,R1-2400060,
9.4.2.1,R1-2402512,
NR_MC_enh-Core,R1-2401776,
9.2.4,R1-2408351,
8.1,R1-2405408,
9.5.1,R1-2403869,Entire Document
9.4.2.2,R1-2409244,
9.11.3,R1-2400751,Page 3
8.1,R1-2405845,
9.4.2.4,R1-2408469,1-6
9.1.2,R1-2408104,
9.3.2,R1-2409475,
9.4.2.3,R1-2408265,
9.2.1,R1-2400104,
45-1a,R2-2404014,
8.1,R1-2405454,1-33
9.10.1,R1-2400748,
9.3.1,R1-2410086,Entire Document
6.2.1.4.1,R1-2407434,
9.5.1,R1-2400062,
,DRAFT CHANGE REQUEST CR rev,
9.1.3.2,R1-2402495,Entire document
9.3.1,R1-2409086,
9,R1-2401920,Clause 9
9.7.1,R1-2408303,
9.2.4,R1-2409591,entire document
,R1-2401722,
9.11.3,R1-2405092,Entire document
8.8,R1-2401323,
9.5.1,R1-2403509,Entire document
9.7.1,R1-2400616,
9.2.4,R1-2408996,
9.2.3,R1-2403239,
NR_NTN_solutions-Core,R1-2405642,
8.12.5,R1-2401515,"Introduction, Discussion, Conclusions"
9.1.2,R1-2404763,
9.4.1.2,R1-2400187,
8.1,R1-2404090,
10.4B,R1-2405102,
9.4.2.2,R1-2402108,
9.3.1,R1-2405060,
9.7.2,R1-2402708,1-16
5,R1-2404755,Entire document
9.1.3.3,R1-2402234,1-16
9.1.2,R1-2402650,
9.1.1,R1-2400844,Entire document
9.1.1,R1-2408452,Entire document
4.5,R1-2406215,Clause 4.5
9.6.3,R1-2409266,Entire document
8.5.3,R1-2402868,3/226 - 5/226
9.8.2,R1-2406253,
9.7.1,R1-2400648,Entire document
9.2.1,R1-2404239,
9.4.1.2,R1-2405215,
9.8.2,R1-2402130,
8.5.3,R1-2402143,
NR_MC_enh-Core,R1-2405312,
9.2.2,R1-2404687,
9.4.2.4,R1-2409685,Entire document
9.1.2,R1-2406464,
9.5.3,R1-2400064,
9.3.2,R1-2406688,1-2
9.2.4,R1-2402238,
9.11.1,R1-2407766,
8.1,R1-2407295,
9.5.2,R1-2407911,1-8
9.2.1,R1-2407585,
9.10.1,R1-2405886,
9.5.2,R1-2409518,
9.8.2,RAN1#119 Offline Session Schedule,
FG 42-6,R1-2408814,
9.1.3.3,R1-2404549,
9.8.2,R1-2407201,
5,R1-2407886,
BM,R19 MIMO,
5,R1-2408331,
9.3.2,R1-2404048,
9.7.2,R1-2402679,
9.5.2,R1-2410679,Full document
9.4.2.3,R1-2408532,
,R1-2403728,
9.5.1,R1-2405723,
RAN1#116bis-Agenda,R1-2403808,1-13
9.3.2,R1-2403873,Entire document
9.4.1.2,R1-2410710,
,R1-2404639,
9.4.2.1,R1-2401567,1-28
9.2.4,R1-2409430,
8.5.2,R1-2403433,32/35
9.3.2,R1-2405375,
9.5.2,R1-2406293,1-12
9.2.1,R1-2400428,Entire document
8.12.2,R1-2400535,
9.11.3,R1-2406779,Entire document
9.2.4,R1-2410165,
9.3.3,R1-2409176,
9.6.3,R1-2402908,
NR_SL_enh2-Core,R1-2401916,
9.5.3,R1-2400494,
NR_pos_enh2-Core,R1-2405402,
9.3.2,R1-2401117,
R18 UE features,RAN1#118bis Schedule,
5,R1-2402199,
9.2.3,R1-2405317,
9.5.2,R1-2409013,
9.7.2,R1-2408094,
Positioning_MAC_Agreements,R1-2403151,1-7
9.1.4.2,R1-2410022,
9.6.1,R1-2402675,
7,R1-2403599,
9.4.2.4,R1-2401855,
8.1,R1-2405523,Entire document
9.2.2,R1-2405876,Entire document
11.1.1,R1-2400703,
NR_MIMO_evo_DL_UL,R1-2406629,
5.1/6.1,R1-2404075,
9.1.2,R1-2403233,Entire Document
9.11.1,R1-2408298,
7,R1-2402420,Page 5
7,R1-2402428,Entire document
9.1.4.1,R1-2409502,Entire document
9.8.1,R1-2408195,
9.13,R1-2409094,Full Document
9.1.3.1,R1-2403483,
9.4.1.2,R1-2404869,
9.1.1,R1-2403755,
9.3.1,R1-2409892,Entire document
7,R1-2403707,Entire document
9.7.2,R1-2405095,
5,R1-2407998,
9.6.3,R1-2405721,
9.5.2,R1-2404184,
9.2.2,R1-2404337,
9.4.2.1,R1-2406813,
9.3.1,R1-2406929,
8.6,R1-2400000,
8.4,R1-2403681,
9.6.1,R1-2403948,Full Document
9.4.2.2,R1-2403021,
NR_mob_enh2-Core,R1-2404162,
9.2.2,R1-2410752,
9.1.4.1,R1-2402208,
7,R1-2405560,1-5
CR-0590,R1-2401744,
TEI18,R1-2401929,
9.3.2,R1-2402509,
9.2.4,R1-2400510,
9.1.3.3,R1-2403491,
9.5.2,R1-2406705,
9.5.3,R1-2402113,Entire document
NR_redcap-Core,R1-2405191,1-3
8.11,R1-2400158,
9.9.1,R1-2406947,1-9
38.213 CR 0609,R1-2401907,
9.3.3,R1-2409177,1-27
9.4.2.4,R1-2407544,
9.12.1,R1-2410730,
RAN1-116,R1-2410922,
9.5.2,R1-2406191,
9.11.4,R1-2408555,
9.1.4.1,R1-2409007,1-3
8.4,R1-2403628,
7,R1-2407362,
9.7.2,R1-2407917,
9.1.3.2,R1-2402652,Full Document
9.4.2.2,R1-2402014,
NR_pos_enh2-Core,R1-2407400,
9.1.1,R1-2406254,
8.1,R1-2401091,Entire document
9.3.2,R1-2402533,
6.1.2.1,CR-merged-3GPP,
9.7.1,R1-2404468,Entire document
9.11.1,R1-2410169,
9.6.1,R1-2401150,
9.11.3,R1-2401031,1-8
9.2.3,R1-2410114,Section 9.2.3
9.6.3,R1-2407061,
9.5.3,R1-2406097,
9.4.2.4,R1-2407128,
9.7.1,R1-2406483,
9.1.1,R1-2401055,
9.11.3,R1-2410413,
9.3.3,R1-2403512,
NR_Mob_enh2-Core,R1-2409207,1-2
9.12.1,R1-2408805,1-4
9.6.3,R1-2401337,Entire document
9.1.4.1,R1-2403166,
NR_SL_enh2-Core,R1-2406915,4.5
9.1.2,R1-2400767,1-16
9.2.2,R1-2406926,1-9
9.11.4,R1-2409408,
9.11.3,R1-2403423,Entire document
9.2.4,R1-2408995,
9.3.2,R1-2403893,Entire document
9.6.2,R1-2406786,Entire document
NR_MIMO_evo_DL_UL-Core,R1-2404681,1-3
5,R1-2404206,
9.1.4.1,R1-2403588,1-2
9.2.4,R1-2408781,
9.5.2,R1-2403302,
9.4.1.2,R1-2402667,
9.1.1,R1-2402756,
9.12.1,R1-2410536,Entire document
9.11.2,R1-2409103,1-18
8.1.4,R1-2405527,
9.10.1,R1-2404131,Page 1
9.5.1,R1-2406708,
8.12.5,R1-2400716,Page 1
8.9,R1-2400586,
7,R1-2403167,
9.2.4,R1-2408042,
8.3,R1-2401680,
5,R1-2402293,
4.5.6.3,R1-2401755,
9.11.3,R1-2401301,
7,R1-2409073,
9.11.2,R1-2403004,1-4
9.1.3.3,R1-2406872,
9.4.2.3,R1-2400079,
IoT_NTN_Ph3-Core,R4-2414114,Annex A-B
8.1,R1-2403112,
NR_Mob_enh2-Core,R1-2406995,
9.4.2.4,R1-2402886,Full document
9.1.3.3,R1-2400466,
9.1.1,R1-2406492,
8.12.4,R1-2400451,
9.5.2,R1-2400902,
9.3.3,R1-2409376,
9.4.2.4,R1-2408266,
9.4.2.2,R1-2410179,
9.5.2,R1-2406659,
8.2.1,R1-2405611,95/103
9.11.3,R1-2409825,
9.11.2,R1-2410808,Full document
9.1.3.1,R1-2400463,
9.11,R1-2409564,
8.12.4,R1-2401641,45/53
9.9.1,R1-2408203,
8.1,R1-2409217,
9.1.4.1,R1-2409790,
9.11.5,R1-2407585,
8.3,R1-2400708,
9.5.3,R1-2400443,entire document
9.4.2.3,R1-2406581,
9.5.1,R1-2401085,
8.3.1.1,R1-2402440,
9.6.1,R1-2409534,
9.3.1,R1-2407624,Entire document
8.1,R1-2407243,Full Document
8.1,R1-2410697,
9.4.2.2,R1-2406475,Entire document
9.3.1,R1-2410241,1-7
5,R1-2408770,
9.4.2.4,R1-2402515,Entire Document
9.4.2.4,R1-2404938,
9.11.3,R1-2403077,
9.2.3,R1-2402378,Entire document
9.2.1,R1-2406574,
9.4.2.2,R1-2402386,entire document
38.214 CR draft rev,R1-2402644,
9.4.1.1,R1-2406932,1-9
6,R1-2409341,
9.2.2,R1-2406468,
9.1.3.3,R1-2405979,1-15
Rel-16 LTE NR DC/CA,R1-24xxxxx,
8.10,R1-2401539,Entire document
9.2.4,R1-2400324,
NR_pos_enh2-Core,R1-2402909,
8.1.4,R1-2405528,Section 8.1.4
8.1,R1-2407232,
9.7.1,R1-2402117,
5,R1-2400982,
5,R1-2401375,
9.5.2,R1-2406709,
9.1.4.1,R1-2401784,1-2
8.1,R1-2409219,
9.2.4,R1-2403240,
9.6.3,R1-2410399,
9.2.4,R1-2400958,
7,R1-2410607,
9.4.2.4,R1-2408070,
9.8.1,R1-2408421,1-9
9.7.2,R1-2404436,
9.2.4,R1-2405906,
9.11.3,R1-2406756,
9.1.3.3,R1-2401572,1-23
9.11.3,R1-2409529,
9.11.1,R1-2407049,1/1
9.6.3,R1-2403714,
21,3GPP TS 38.213,Clause 21
9.5.2,R1-2405213,
9.1.2,R1-2408178,
9.1.1,R1-2406172,
9.7.2,R1-2408341,
UNSPECIFIED,R1-2401823,
9.14.2,R1-2409829,5/226
9.2.4,R1-2408369,
9.2.4,R1-2404173,
8.1,R1-2405137,
9.7.1,R1-2408760,
9.3.1,R1-2409632,1-34
9.6.1,R1-2404563,
9.12.1,R1-2409541,Entire document
9.1.3.1,R1-2404069,Entire document
7,R1-2407264,
9.1.1,R1-2409877,
5,R1-2410611,Entire document
9.2.2,R1-2408109,
9.2.2,R1-2407280,Entire document
9.8.1,R1-2403878,
8.12.4,R1-2401427,3-226
9.3.1,R1-2408119,
9.2.2,R1-2403365,
38.214 CR 0607,R1-2407415,
9.6.1,R1-2406379,
9.1.2,R1-2402847,
,CR-38.214-Clarification,
9.9.1,R1-2409771,
9.11.2,R1-2404215,
9.9.1,R1-2405924,1-5
8.1,R1-2409216,
9.7.1,R1-2400167,
9.10.1,R1-2406770,Entire document
9.5.3,R1-2410523,
NR_SL_enh2-Core,R1-2406680,
7,R1-2407261,
9.6.1,R1-2407714,
9.11.4,R1-2404534,
8.1,R1-2410738,
9.2.2,R1-2407585,
9.5.2,R1-2400861,
9.4,R1-2409204,Entire Document
8.1,R1-2406039,
5,R1-2407885,1-8
9.1.3.3,R1-2404448,
9.1.4.1,R1-2401826,
9.1.3.1,R1-2401036,
9.9.1,R1-2408357,1-56
9.4.2.4,R1-2403863,
9.5.1,R1-2404183,
9.5.3,R1-2403202,1-9
9.11.3,R1-2409728,
9.2.2,R1-2403945,
9.4.2.2,R1-2405990,1-16
,R4-2410600,
9.12.1,R1-2409828,
8.12.6,R1-2401365,1-7
9.2.2,R1-2409793,
8.4,R1-2402993,
9.1.3,R1-2409397,
9.6.2,R1-2406855,
9.2.2,R1-2407824,Entire document
NR_Mob_enh2-Core,R1-2410879,1-5
9.5.1,R1-2402472,
9.3.2,R1-2404454,1-7
9.1.3,R1-2400501,
9.1.3.2,R1-2401434,
9.5.1,R1-2410521,
9.6.2,RAN1#118bis_Schedule,
9.1.1,R1-2407950,1-21
9.6.1,R1-2404705,1-16
9.2.2,R1-2407308,1-4
9.5.2,R1-2403870,Entire document
9.5.2,R1-2402572,
9.4.2.2,R1-2407107,
9.3.1,R1-2405815,
9.7.1,R1-246944,2/9
9.1.2,R1-2404650,
9.6.1,R1-2400813,
9.3.3,R1-2405641,Entire document
9.4.2.2,R1-2403776,
