contributor_name,doc_id,contribution_type
Xiaomi,R1-2409905,Technical Proposal
Nokia,R1-2403404,Source
vivo,R1-2400231,Discussion/Decision
Indian Institute of Technology Kanpur,R1-2407063,Technical Contribution
Chair,R1-2400000,Agenda Creation
Huawei,R1-2409394,Technical Proposal
Indian Institute of Technology Madras (IITM),R1-2405284,Technical Contribution
HONOR,R1-2410180,Discussion and Decision Proposal
FirstNet,R1-2403142,Source
"NTT DOCOMO, INC.",R1-2401106,Technical Proposal
Ericsson,R1-2407640,Technical Contribution
Huawei,R1-2410818,Technical Proposal
Spreadtrum Communications,R1-2400049,Technical Proposal
Huawei,R1-2405847,Discussion and Decision
CATT,R1-2408043,Source/Author
RAN1,R1-2401552,Reply LS
Sanechips,R1-2409479,Technical Analysis
"Huawei, HiSilicon",R1-2403949,Technical Proposal
"InterDigital, Inc.",R1-2406502,Source
Ericsson,R1-2405701,CR Source
RAN1 Chair,R1-2407585,Chair's Notes
"ZTE Corporation, Sanechips",R1-2410121,Source
vivo,R1-2410691,Moderator Summary
ZTE Corporation,R1-2407782,CR proposal
MediaTek,R1-2407208,Moderator Summary
Sanechips,R1-2407782,CR proposal
OPPO,R1-2400616,Discussion and Decision
Huawei,R1-2402001,Source
RAN3,R3-241183,Submitted by
OPPO,R1-2404871,Discussion Document
Nokia,R1-2404919,Technical Contribution
CICTCI,R1-2408031,Technical Analysis
China Mobile Communications Corporation,R1-2402581,Discussion & Decision
Sony,R1-2410231,Discussion and decision
Ericsson,R1-2407168,Source
Huawei,R1-2403339,Proposal
New H3C,R1-2409137,Source to WG/TSG
CMCC,R1-2407903,Discussion & Decision
"NTT DOCOMO, INC.",R1-2405020,Discussion and Decision Proposal
Thales,R1-2409439,Late Submission
NTT DOCOMO INC,R1-2407458,Contributor
LG Electronics,R1-2405723,Moderator
OPPO,R1-2402297,Discussion input
Huawei,R1-2400144,Source
Tejas Networks,R1-2407750,Contribution
CATT,R1-2407367,Moderator Summary
NEC,R1-2400891,Source
Apple,R1-2409810,Discussion/Decision
Sony,R1-2404507,Discussion Document
Sharp,R1-2400643,Source
RAN2,R2-2403915,Liaison Statement
"Huawei, HiSilicon",R1-2407656,Source
CMCC,R1-2405979,Technical Analysis
Lenovo,R1-2401706,Moderator Summary
NTT DOCOMO,R1-2401700,Contributor
vivo,R1-2409692,Discussion and Decision
ZTE Corporation,R1-2407937,Technical Analysis
Nokia,R1-2403889,Discussion and Decision
Ericsson,R1-2409391,Technical Contribution
ETRI,R1-2408576,Discussion
"NTT DOCOMO, INC.",R1-2410384,Discussion Contribution
"NTT DOCOMO, INC.",R1-2403254,Discussion
Ericsson,R1-2407154,Technical CR proposal
Sanechips,R1-2404555,Technical Analysis
HiSilicon,R1-2410606,Technical Analysis
"InterDigital, Inc.",R1-2405876,Technical Analysis
NTT DOCOMO,R1-2403714,Moderator Summary
Xiaomi,R1-2407963,Discussion and Decision
Nokia,R1-2409207,Contributor
Ericsson,R1-24nnnnn,Moderator Summary
Xiaomi,R1-2404977,CR Proposal
CATT,R1-2408000,Discussion and Decision
CEWiT,R1-2407084,Source
Indian Institute of Technology Kanpur,R1-2401340,Source
CATT,R1-2406385,Technical Proposal
Nokia Shanghai Bell,R1-2401344,Source
Jonas Sedin,R2-2405766,Contact Person
Ericsson,R1-2401779,Moderator
ZTE,R1-2400276,Source
Ericsson,S2-2403859,Contact Organization
OPPO,R1-2402089,Clarification request
Apple Inc.,R1-2401006,Discussion/Decision
Futurewei,R1-2403859,Source
Huawei,R1-2403337,Discussion and Decision
Qualcomm Incorporated,R1-2407018,Discussion and Decision
Sanechips,R1-2406114,CR Proposal
Nokia,R1-2403452,Discussion and Decision
Apple,R1-2406860,Source
Semtech,R1-2408742,Technical Contribution
Tejas Networks Ltd.,R1-2407764,Contribution
Huawei,R1-2408973,Draft CR
OPPO,R1-2403712,Liaison Statement
vivo,R1-2406168,Change Request
Spreadtrum Communications,R1-2407703,Discussion and Decision
Qualcomm,R1-2403179,Discussion and decision
Panasonic,R1-2406783,Discussion/Decision
BUPT,R1-2407696,Research collaboration
Intel Corporation,R1-2409746,Technical Proposal
Sharp,38.214 CR (Rel-18),Change Request
Apple Inc.,R1-2409822,Discussion/Decision
Huawei,R1-2405725,Moderator
Samsung,R1-2408643,Source
"InterDigital, Inc.",R1-2410017,Technical Contribution
Qualcomm,R1-2403586,Technical Contribution
MediaTek Inc.,R1-2408707,Contribution for discussion
Huawei,R1-2401376,Technical Analysis
Huawei,R1-2410640,Performance Analysis Contributions
OPPO,R1-2405554,Moderator
Samsung,R1-2404066,Change Request Proposal
Qualcomm Incorporated,R1-2405157,Technical Proposal
Sony,R1-2404503,Discussion and decision
Beijing Jiaotong University,R1-2400386,Primary Author
Intel Corporation,R1-2405449,CR Proposal
Huawei,R1-2401375,Source
CMCC,R1-2410675,Moderator
3GPP,R1-2407611,Technical Proposal
vivo,R1-2403640,Technical Feedback
Nokia,R1-2406745,Source
Huawei,R1-2401558,Technical contribution
Lenovo,R1-2410556,Discussion
Ericsson,R1-2408735,Technical Analysis
Sanechips,R1-2407774,Source
Samsung,R1-2405629,Contributor
Ericsson,R1-2402290,Technical Analysis
Samsung,R1-2409184,Participant
New H3C,R1-2402169,Technical Proposal
Honor,R1-2402721,Technical Contribution
NEC,R1-2409865,Technical Proposal
"Huawei, HiSilicon",R1-2401642,Technical Proposal
MediaTek Inc.,R1-2401302,Discussion Proposal
Panasonic,R1-2404745,Discussion
Rohde & Schwarz,CR-Form-v12.2,Technical Contribution
Apple,R1-240xxxx,Moderator Summary
Huawei,R1-2407686,Technical Analysis
Fujitsu,R1-2403709,Moderator
OPPO,R1-2410095,Discussion and Decision
Qualcomm,R1-2409172,Contribution
China Mobile Communications Corporation,R1-2400173,Co-Author
CAICT,R1-2408809,Source
IIT Kanpur,R1-2403386,Technical Contribution
Langbo,R1-2402534,Technical Contribution
NVIDIA,R1-2402851,Discussion
Ericsson,R1-2407179,CR Proposal
OPPO,R1-2404833,Change Request
Huawei,R1-2403488,Moderator/Feature Lead
Sony,R1-2410218,Technical analysis
vivo,R1-2409679,Discussion and Decision
OPPO,R1-2410108,Discussion Document
Huawei,R1-2407353,Moderator Summary
MediaTek,R1-2401661,Moderator Summary
MediaTek,R1-2410812,Moderator
ZTE,R1-2404555,Technical Analysis
ETRI,R1-2410260,Discussion
vivo,R1-2406145,Liaison Statement Reply
HiSilicon,R1-2408172,Discussion and Decision
Sharp,R1-2403110,Discussion and Decision
Tejas Networks,R1-2400177,Discussion and Decision
ZTE Corporation,R1-2410190,Draft CR on Type-1/2 HARQ-ACK
Nokia,R1-2405265,Technical Analysis and Proposals
LG Electronics,R1-2400919,Discussion and Decision
"NTT DOCOMO, INC.",R1-2406917,CR Proposal
Xiaomi,R1-2404621,Source
Xiaomi,R1-2402675,Technical Proposal
Ericsson,R1-2408605,Source
CATT,R1-2404362,CR Proposal
ZTE,R1-2404714,Moderator Summary
Thales,38.211,Technical Proposal
Samsung,R1-2409612,Technical Proposal
Panasonic,R1-2408364,Discussion
China Telecom,R1-2403584,Moderator
Samsung,R1-2409196,Source to WG
Samsung,R1-2410756,Moderator
Xiaomi,R1-2400545,Discussion and Decision
Fujitsu,R1-2410050,Discussion and Decision
IIT Madras,R1-2403397,Simulation Results
Fujitsu,R1-2403525,Feature Lead Summary
ZTE Corporation,R1-2406127,CR Submitter
Thales,R1-2405342,Discussion/Decision
Fujitsu,R1-2406314,Technical Proposal
Sanechips,R1-2404641,Technical Proposal
Xiaomi,R1-2406291,Source
Youjun Hu,R1-2401731,Contact Person
Ericsson,R1-2405636,Technical Proposal
3GPP RAN WG1,R1-2402410,Draft reply LS
HONOR,R1-2404576,Discussion and Decision
Semtech,R1-2406144,Source/Submission
Tongji University,R1-2402009,Source
Xiaomi,R1-2402656,Discussion
vivo,R1-2401849,Moderator Summary
Panasonic,R1-2410249,Discussion
China Telecom,R1-2400670,Discussion
Samsung,R1-2409615,Discussion and decision
Spreadtrum Communications,R1-2400051,Discussion and decision
Iridium Satellite LLC,R1-2409564,Work Plan
Huawei,R1-2405865,Main author
MediaTek,R1-2409015,Moderator
Sony,R1-2407175,Source
OPPO,R1-2410085,Reply LS
Samsung,R1-2400713,Discussion and Decision
Ericsson,CR rev,Source
"NTT DOCOMO, INC.",R1-2401091,Discussion and Decision
MediaTek Inc.,R1-2407299,Moderator Summary
vivo,R1-2400217,Contribution
vivo,R1-2400240,Discussion and Decision
ETRI,R1-2406721,Discussion
Ericsson,R1-2405788,Liaison Statement
Lenovo,R1-2404801,Discussion Document
OPPO,R1-2408996,Moderator Summary
Nokia Shanghai Bell,R1-2409766,Technical Proposal
Southeast University,R1-2400841,Source
SA5,S5-242198,LS Reply
Huawei,R1-2401676,Proposal
Sony,R1-2403560,Moderator Summary
BUTP,R1-2409695,Technical Proposal
Mavenir,R1-2401373,Discussion
ZTE,R1-2404987,Change Request Proposal
Sanechips,R1-2402183,Technical Contribution
Futurewei,R1-2407616,Discussion and decision
Qualcomm,R1-2401831,Source
Samsung,R1-2408664,Discussion Proposal
ZTE,R1-2405608,Technical Contribution
Futurewei,R1-2400087,Technical Proposal
New H3C,R1-2402171,Discussion and Decision
MediaTek Inc.,R1-2401466,Discussion Document
ETRI,R1-2403022,Technical Proposal
CATT,R1-2408049,Technical Proposal
ZTE,R1-2406044,Moderator
Spreadtrum Communications,R1-2402110,Technical Analysis
Nokia/NSB,R1-2401511,Proposal on FG 47-k1/k2
Nokia,R1-2401883,Change Proposal
Panasonic,R1-2406570,Technical Proposal
Qualcomm Incorporated,R1-2401443,Contribution
Nokia,R1-2403453,Technical Proposal
China Unicom,R1-2408264,Discussion and Decision
ZTE,R1-2405192,source
ZTE,R1-2407536,Moderator
"InterDigital, Inc.",R1-2406111,Discussion Document
Sharp,R1-2400645,Contribution Document
CATT,R1-2400448,Technical Proposal
OPPO,R1-2410783,Disagreement with CR rationale
Apple,R1-2408474,Technical Proposal
Ericsson,R1-2409975,Technical Proposal
Fraunhofer HHI,R1-2402836,Contribution
OPPO,R1-2407189,Moderator Summary
Tejas Networks Ltd,R1-2409761,Discussion and Decision
ZTE,R1-2409213,Comments
Ericsson,R1-2401147,Discussion
Panasonic,R1-2401051,Discussion
Panasonic,R1-2408498,Discussion
ITL,R1-2405223,Technical Proposal
CATT,R1-2407307,Moderator Summary
Nokia,R1-2406795,Technical Contribution
Apple,R1-2404307,Discussion/Decision
LG Electronics,R1-2401508,Moderator Summary
Nokia,R1-2408547,Technical Contribution
RAN4,R4-2406444,Source
Huawei,R1-2403505,Technical Proposals (6 proposals)
Huawei,R1-2403585,Change Request Proposal
OPPO,R1-2400626,Discussion Proposal
Samsung,R1-2407391,Technical Contribution
Nokia,R1-2408726,Discussion and Decision
vivo,R1-2404197,Source
"InterDigital, Inc.",R1-2402914,Discussion and Decision
ZTE,R1-2403034,Change Request
"Huawei, HiSilicon",R1-2400110,Technical Contribution
Ericsson,R1-2404755,Discussion
Apple Inc.,R1-2402880,Technical Proposal
OPPO,R1-2401571,Moderator Summary
CEWiT,R1-2403060,Source Organization
HiSilicon,R1-2408185,Source
Fujitsu,R1-2404585,Discussion and Decision Document
"NTT DOCOMO, INC.",R1-2408790,Proposal
vivo,R1-2407853,Discussion and Decision
MediaTek Inc.,R1-2404351,Moderator
CMCC,R1-2405978,Contribution
HiSilicon,R1-2409025,CR Submission
vivo,R1-2407328,Moderator
Qualcomm,R1-2401624,
TCL,R1-2400304,Discussion and Decision Proposal
Nokia,R1-2400962,Source
Lenovo,R1-2408966,Discussion
Fraunhofer IIS,R1-2407801,Technical Analysis
ETRI,R1-2401239,Discussion/Decision
Xiaomi,R1-2406283,Discussion
ZTE,R1-2410768,Moderator
FUTUREWEI,R1-2407616,Technical Discussion
Huawei,R1-2405840,Technical Analysis
Alexandros Manolakos,R1-2401827,Contact Person
vivo,R1-2409664,Reply Liaison Statement
Samsung,R1-2405705,Source to WG
Ericsson,R1-2401970,Technical Contribution
Lenovo,R1-2402919,Contribution
China Telecom,R1-2407776,Source
Apple,R1-2404266,Discussion/Decision
CATT,R1-2406384,Discussion and Decision
Lekha Wireless Solutions Pvt Ltd,R1-2405350,Source
LG Electronics,R1-2401324,Discussion/Decision
Fujitsu,R1-2404581,CR Submission
TCL,R1-2405968,Technical Contribution
Spreadtrum,R1-2409639,Technical Analysis
OPPO,R1-2407487,Proposer
Fraunhofer IIS,R1-2402836,Contribution
Apple,R1-2401857,Moderator Summary
Samsung,R1-2400702,CR Proposal
ZTE,R1-2402183,Technical Contribution
Fujitsu,R1-2410055,Discussion and Decision
HiSilicon,R1-2405849,Source
Huawei,R1-2407472,Ad-Hoc Chair
TCL,R1-2400511,Discussion
Xiaomi,R1-2400559,Discussion document
vivo,R1-2406159,CR Proposer
Lenovo,R1-2404526,Discussion
CATT,R1-2410708,Reply LS
CATT,R1-2406341,Draft CR
Ericsson,R1-2407150,Change Proposal
ZTE,R1-2400297,Change Request Proposal
vivo,R1-2409693,Contribution
OPPO,R1-2408143,Discussion & Proposals
Quectel,R1-2409470,Technical Proposal
Panasonic,R1-2410534,Discussion
Spreadtrum Communications,R1-2407710,Company Contribution
Sanechips,R1-2404560,Technical Analysis
Sony,R1-2410224,Contribution
KRRI,R1-2408241,Primary Contributor
Lenovo,R1-2401591,Moderator Summary
OPPO,R1-2406256,Technical Contribution
HONOR,R1-2404579,Technical Proposal
New H3C,R1-2407625,Technical Proposal
KDDI Corporation,R1-2405258,Discussion
ASUSTeK,R1-2401197,Discussion and Decision
Huawei,R1-2403355,CR Submission
HONOR,R1-2408231,Discussion and Decision
HiSilicon,R1-2403925,Measurement campaign execution
Huawei,R1-2405871,Source
OPPO,R1-2402335,Contribution
Sanechips,R1-2406041,Discussion and Decision
"Lenovo, ZTE, Qualcomm, Ericsson, Nokia, Nokia Shanghai Bell, Samsung, Huawei, HiSilicon",R1-2401818,Source
David,RAN1#118bis-Schedule,Session Chair
Futurewei,R1-2403868,Discussion
"NTT DOCOMO, INC.",R1-2403583,Technical Contributor
Ericsson,R1-2405009,"Discussion, Decision"
AT&T,R1-2401356,Source
"NTT DOCOMO, INC.",R1-2408775,Contribution
Hang Yin,R1-2403750,Contact Person/Reply Author
Huawei,R1-2405523,Moderator
CMCC,R1-2409521,Discussion & Decision
Huawei,R1-2406846,Proposal 4: R2D preamble design with fixed low-voltage start indicator
AT&T,R1-2401360,Moderator Summary
NTT DOCOMO,R1-2409010,Moderator
Nokia,R1-2401343,Change Request
ZTE Corporation,R1-2408071,Technical Analysis
MediaTek Inc.,R1-2401284,Technical Analysis
AT&T,R1-2408756,Source
Lenovo,R1-2400885,Discussion
Sanechips,R1-2409562,Discussion
vivo,R1-2410673,Discussion and Decision
Sanechips,R1-2400489,Discussion
MediaTek Inc.,R1-2406765,Discussion
"NTT DOCOMO, INC.",R1-2403434,Moderator Summary
vivo,R1-2404155,CR Proposal
Ericsson,R1-2405945,Technical Contribution
RAN2,R2-2405767,Liaison Statement
Nokia,R1-2405266,Moderator Summary
Apple,R1-2402885,Discussion/Decision
Huawei,R1-2401569,Proposals on functionality-based LCM
OPPO,R1-2408128,CR Proposal
CMCC,R1-2406648,Source
3GPP TSG-RAN WG1,R1-2402221,Technical Contribution
MediaTek Inc,R1-2408197,CR Proposal
HiSilicon,R1-2406980,Discussion and Decision
Huawei,R1-2405607,Change Request
ZTE Corporation,R1-2407775,Technical Proposal
Fujitsu,R1-2402791,Discussion
ZTE,R1-2404716,Discussion
Xiaomi,R1-2402670,Technical Proposal
vivo,R1-2403426,Modification Proposal
Vodafone,R1-2408591,Technical Analysis
OPPO,R1-2409181,Moderator/Proposer
ZTE Corporation,R1-2402700,Reply LS
TCL,R1-2408267,Discussion
Nokia,R1-2410622,CR Submission
WILUS Inc.,R1-2408901,Discussion
CATT,R1-2409952,Source
LG Electronics,R1-2409145,Moderator
Ericsson,R1-2405513,Source
H3C,R1-2409543,Discussion Document
OPPO,R1-2409254,Moderator Summary
vivo,R1-2403574,Contribution R1-2402206
Panasonic,R1-2402991,Discussion Document
Apple Inc.,R1-2405681,Moderator Summary
vivo,R1-2405447,Moderator Summary
ZTE,R1-2408177,Contributor
CMCC,R1-2403468,Moderator Summary
Samsung,R1-2403723,Source
vivo,R1-2409663,Draft Reply LS
ETRI,R1-2406740,Discussion/Decision
"NTT DOCOMO, INC.",R1-2410374,Technical Proposal
Ericsson,R1-2408610,Discussion
CATT,R1-2403540,Draft CR-2 (R1-2403045)
"NTT DOCOMO, INC.",R1-2410375,Source
CATT,R1-2404363,CR Proposal
NVIDIA,R1-2409776,Source
ETRI,R1-2408579,Discussion/Decision Proposal
NTT DOCOMO,R1-2409044,Moderator
ASUSTeK,R1-2402817,Discussion and Decision
HiSilicon,R1-2402026,Simulation Results
Qualcomm Incorporated,R1-2405142,Technical Proposal
vivo,R1-2402224,CR
Google,R1-2407412,Contributor
Jinhuan Xia,R1-2403536,Reply LS
ZTE Corporation,R1-2408517,Correction Proposal
MediaTek Inc.,R1-2405087,Technical Contribution
"InterDigital, Inc.",R1-2401504,Moderator/Editor
vivo,R1-24074894,Penetration Loss Proposals
CATT,R1-2400424,Technical Contribution
Spreadtrum Communications,R1-2407709,Technical Analysis
Nokia Shanghai Bell,R1-2400180,Contribution
Ericsson,R1-2401545,Moderator
FUTUREWEI,R1-2410024,Technical Contribution
Lenovo,R1-2410731,Moderator Summary
"NTT DOCOMO, INC.",R1-2403431,Moderator Summary
Apple Inc.,R1-2402872,Discussion/Decision
Ericsson,R1-2407552,Moderator Summary
LG Electronics,R1-2401584,Moderator
Nokia Shanghai Bell,R1-2400181,Technical Contribution
"NTT DOCOMO, INC.",R1-2406942,Discussion and decision proposal
vivo,R1-2409089,Moderator Summary
Sony,R1-2402981,Contribution
Huawei,R1-2407523,Co-author
RUijie networks,R1-2408382,Discussion and decision
Samsung,R1-2404110,Technical Proposal
Apple Inc.,R1-2406827,Discussion/Decision
vivo,R1-2401871,Rapporteur
Xiaodong,R1-2408010,Session Lead
Sharp,R1-2410421,Technical Contribution
vivo,R1-2400237,Discussion
HiSilicon,R1-2400126,Source
NEC,R1-2408225,Discussion and Decision
Lenovo,R1-2408200,Technical Proposal
"InterDigital, Inc.",R1-2406207,Discussion
NVIDIA,R1-2409778,Discussion Document
KDDI Corporation,R1-2401243,Technical Contribution
Huawei,R1-2410776,8 proposals on model identification limitations
Nokia Shanghai Bell,R1-2402925,Procedural Recommendations
Samsung,R1-2400714,Technical Proposal
TSG RAN WG2,R2-2401834,Liaison Statement
LG Electronics,R1-2408682,Discussion and decision
vivo,R1-2407827,Response
Futurewei,R1-2402050,Discussion and Decision Proposal
Samsung,R1-2402444,Draft CR
Sony,R1-2400850,Contribution
Samsung,R1-2406667,Source
HiSilicon,R1-2403346,CR Proposal
Samsung,R1-2402440,CR Submission
MediaTek Inc.,R1-2405817,Technical Proposal
Ericsson,R1-2405770,Change Request 0133
Sony,R1-2402972,Discussion and decision
Huawei,R1-2410596,Draft CR
ZTE,R1-2401072,Discussion and Decision
Sanechips,R1-2409559,Implementation considerations
Ericsson,R1-2405633,Source
CMCC,R1-2407426,Technical Analysis & Proposals
China Unicom,R1-2408266,Technical Proposal
Qualcomm Incorporated,R1-2405141,Technical Proposal
Sharp,R1-2404967,Technical Proposal
Unknown Contributor,CR-Form-v12.3,Change Request Proposal
Ericsson,R1-2409104,Proposals on DCI handling
Samsung,R1-2409235,Feedback Provider
Qualcomm Incorporated,R1-2408852,Technical Analysis and Proposals
OPPO,R1-2405347,Moderator Summary
Fujitsu,R1-2405676,Moderator
Sanechips,R1-2407936,Simulation Support
Ericsson,R1-2408915,Reply LS
ZTE Corporation,R1-2407936,Technical Analysis
Samsung,R1-2405763,Source
Lenovo,R1-2400836,Technical Contribution
CMCC,R1-2400324,Discussion and Decision
Nokia,R1-2400969,Discussion and Decision
"InterDigital, Inc.",R1-2400689,Discussion and Decision
Samsung,R1-2405359,Technical Proposal (TP#1-1)
Xiaomi,R1-2402679,Technical Proposal
Google,R1-2410168,Discussion
Google,R1-2407362,Technical Contribution
Fujitsu,R1-2408505,Discussion
"InterDigital, Inc.",R1-2404049,Source
Nokia,R1-2402599,Discussion and Decision
NTT DOCOMO,R1-2409197,Moderator
MediaTek,R1-2410678,Moderator
HiSilicon,R1-2403929,Source
"NTT DOCOMO, INC.",R1-2410398,Discussion and decision
vivo,R1-2402402,Change Request
vivo,R1-2406148,Technical Contribution
Fraunhofer HHI,R1-2410241,Discussion
Vivo,R2-2313951,Reply Liaison Statement
UNISOC,R1-2409634,Technical analysis
Sanechips,R1-2406124,Technical Contribution
Lenovo,R1-2409113,Moderator
Samsung,R1-2404118,Technical Analysis
SK Telecom,R1-2404571,Technical Analysis
ZTE,R1-2403436,Proposal Submission
Indian Institute of Technology Madras (IITM),R1-2403381,Discussion
ZTE,R1-2405198,Change Request
"Huawei, HiSilicon",R1-2403943,Technical Proposal
Spreadtrum Communications,R1-2400064,Technical contribution
WILUS Inc.,R1-2401216,Contribution
RAN2,R2-2403807,Technical Contribution
Sanechips,R1-2406040,CR Submission
ZTE,R1-2404242,Technical Analysis
vivo,R1-240xxxx,Proposal
EURECOM,R1-2403879,Technical Proposal
CICTCI,R1-2402396,Source
"InterDigital, Inc.",R1-2401042,Source
ASUSTeK,R1-2405199,Discussion and Decision
Qualcomm Incorporated,R1-2407006,Technical Proposal
Sharp,R1-2405339,Contribution
Ericsson,R1-2410616,Source
Samsung,R1-2404104,Technical Contribution
ZTE Corporation,R1-2406032,Technical Analysis
Sanechips,R1-2406032,Technical Analysis
Xiaomi,R1-2400533,Technical Proposal
Intel Corporation,R1-2408287,Discussion and Decision
vivo,R1-2407854,Technical Analysis and Proposals
Huawei,R1-2403920,Technical Contribution
Qualcomm Incorporated,R1-2401412,Change Request
Futurewei,R1-2410036,Technical Contribution
Lenovo,R1-2404337,Technical Contribution
Spreadtrum,R1-2409634,Technical analysis
Qualcomm Incorporated,R1-2401433,Source
Xiaomi,R1-2400566,Contribution
Spreadtrum Communications,R1-2404032,Source
Samsung,R1-2409302,Source
Ericsson,R1-2403004,Source
"InterDigital, Inc.",R1-2405878,Technical Proposal
Spreadtrum Communications,R1-2407718,Technical Proposal
OPPO,R1-2400600,Technical Proposal
Intel Corporation,R1-2409742,Source
Rohde & Schwarz,CR-Form-v12.2 (R1-2301743 follow-up),Technical Contribution
CMCC,R1-2401766,Session Notes
OPPO,R1-2401569,Moderator Summary
Huawei,R1-2405333,Technical Proposal
Samsung,R1-2402453,Technical Proposal
HiSilicon,R1-2403921,Contribution
Huawei,R1-2410330,Proposal
Ericsson,R1-2401800,Liaison Statement
Tejas Networks,R1-2406067,Technical Contribution
"NTT DOCOMO, INC.",R1-2405056,Technical Analysis and Proposals
Qualcomm Incorporated,R1-2403198,Technical proposal
"InterDigital, Inc.",R1-2409845,Technical Proposal
CATT,R1-2408035,Source
Samsung,CR-0599,Co-author
LG Electronics,R1-2404551,Discussion and Decision Proposal
Samsung,R1-2405661,Source
Huawei,R1-2402005,Source
Lenovo,R1-2406524,Technical Proposal
MediaTek Inc.,R1-2401308,Source
OPPO,R1-2404851,Technical Contribution
Google,R1-2403711,Source to WG
