meeting_id,venue,wg,topic
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,Rel-18 NR XR Enhancements
RAN WG1 #118-bis,"Hefei, China",RAN WG1,9.4.1.1
TSG-RAN WG1 Meeting #118,"Maastricht, NL",TSG-RAN WG1,NR MIMO Evolution for DL/UL
RAN WG1 #116,"Athens, Greece",RAN WG1,Radio Access Network Standards Development
3GPP TSG RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Frame structure and timing aspects for Ambient IoT
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,Ambient IoT in NR
RAN WG4 Meeting #110,"Athens, GR",RAN WG4,NR NTN enhancements
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,9.4.2.3: Physical channels/signals and proximity determination for AIoT
RAN WG1 #116,"Athens, Greece",RAN WG1,NR NTN UL Capacity Enhancement
RAN4#112b,"Hefei, Anhui, China",RAN WG4,RRM requirements
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,Ambient IoT Evaluation Framework Development
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,MIMO Phase 5 enhancements
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR FeMIMO enhancements
RAN WG1 #118,"Maastricht, Netherlands",TSG-RAN WG1,Physical Layer Enhancements
RAN WG1 #119,"Orlando, US",RAN WG1,9.11.4 IoT-NTN enhancements
RAN WG1 #116b,"Changsha, Hunan Province, China",RAN WG1,Enhancements to enable Tx/Rx for XR during RRM measurements
RAN WG1 #116bis,"Changsha, China",RAN WG1,SBFD TX/RX procedures and measurement enhancements
3GPP TSG RAN WG1 #116-bis,"Changsha, China",RAN WG1,IoT NTN Enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,Channel model validation for 7-24 GHz
RAN WG1 #118bis,"Hefei, China",RAN1,NR mobility enhancements
TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR Mobility Enhancement Features
RAN WG1 #118bis,"Hefei, China",RAN WG1,AI/ML based beam management
RAN WG1 #119,"Orlando, US",RAN WG1,AI/ML for NR Positioning
RAN WG1 #116-bis,"Changsha, China",RAN WG1,Enhancements for XR during RRM measurements
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,Ambient IoT frame structure standardization
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,LP-WUS and LP-SS design for NR power optimization
3GPP TSG RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,AI/ML for Air Interface Enhancements
3GPP TSG-RAN WG1 Meeting #116bis,"Changsha, China",RAN WG1,On-demand SSB SCell operation
TSG RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,CBSR for Rel-19 MIMO
RAN WG1 #119,"Orlando, US",RAN1,Channel model extensions for 7-24 GHz
RAN WG1 #118bis,"Hefei, China",RAN WG1,UE procedures for transform precoding on PUSCH
RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Ambient IoT Physical Layer Aspects
RAN WG1 #118bis,"Hefei, China",RAN WG1,Support of RedCap and eRedCap UEs with NR NTN
RAN WG1 #116,"Athens, Greece",RAN WG1,Frame structure and timing aspects for Rel-19 Ambient IoT
RAN WG1 #118bis,"Hefei, China",RAN WG1,Ambient IoT in NR
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,8.5.1: UE Features for Sidelink Evolution
RAN WG1 #118,"Maastricht, NL",RAN WG1,Ambient IoT Frame Structure
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Physical layer standardization for 5G NR
RAN WG1 #116,"Athens, Greece",RAN WG1,Release 19 Work Item Discussion
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR positioning enhancements
RAN WG1 #116,"Athens, Greece",RAN WG1,SL RSSI measurement procedures in SL-U
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,Discussion on A-IoT channel/signal aspects (Agenda Item 9.4.2.3)
TSG-RAN WG4 Meeting #111,"Fukuoka City, Fukuoka, Japan",RAN WG4,SSB-TimeOffset Reference Point Discussion
3GPP TSG RAN Meeting #116-bis,"Changsha, Hunan Province, China",TSG RAN,NR-MIMO Evolution
3GPP TSG RAN WG1 #118bis,"Hefei, China",RAN WG1,NR NTN Enhancements for Regenerative Payloads
RAN1#119,Palm Ballroom 2,RAN WG1,"RAN1 agenda finalization for Release 19 (A-IoT, ISAC, NTN)"
3GPP TSG-RAN 1 Meeting #7,"Fukuoka, Japan",TSG-RAN WG1,NR Sidelink Positioning Enhancements
3GPP TSG-RAN WG1 Meeting #117,"Maastricht, Netherlands",RAN WG1,ISAC Channel Modeling
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",TSG-RAN WG1,NR Physical Layer Specifications
RAN WG1 Meeting #118,"Maastricht, The Netherlands",RAN WG1,IoT NTN Uplink Enhancement
RAN WG1 #116,"Athens, Greece",RAN WG1,PRACH Coverage Enhancement
RAN WG1 #119,"Orlando, USA",RAN1,Physical Layer Standardization
RAN WG1 #118bis,"Hefei, China",RAN WG1,NR MIMO Enhancements
RAN WG1 #118b,"Hefei, China",RAN WG1,NR MIMO Phase 5 Enhancements
RAN WG1 #116,"Athens, Greece",RAN WG1,Waveform characteristics for Ambient IoT devices
RAN WG1 #118-bis,"Hefei, China",RAN WG1,NR Sidelink Enhancements
TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,PHR Mechanisms for mTRP/STx2P
RAN WG1 #116-bis,"Changsha, China",RAN WG1,Channel Model Validation for 7–24 GHz
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Ambient IoT Device Architectures
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,Physical Layer Standardization for NR and Ambient IoT
RAN WG1 #118bis,"Hefei, China",RAN WG1,On-demand SSB for NES in SCell operation
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Evolution of NR duplex operation
3GPP TSG RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Adaptation of Common Signal Channel Transmissions
3GPP TSG RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,Downlink and Uplink Channel/Signal Aspects for Ambient IoT
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,Further NR Mobility Enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,Channel model validation for 7-24GHz
RAN WG1 #119,"Orlando, US, November 18th – 22nd, 2024",RAN WG1,Positioning accuracy enhancement
3GPP TSG RAN WG1 Meeting #116-bis,"Changsha, China",RAN WG1,Channel model validation for 7-24 GHz
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,Ambient IoT Evaluation Framework
RAN WG1 #118-bis,"Hefei, China",RAN WG1,Physical layer protocol enhancements
RAN1#119,,RAN WG1,3GPP Release 19/20 NR Enhancements
3GPP TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,Evaluation assumptions for Ambient IoT
RAN WG1 #118bis,"Hefei, China",RAN WG1,3GPP TSG-RAN WG1 Meeting #118-bis
3GPP TSG RAN WG1 #119,"Orlando, US",RAN WG1,Channel modelling enhancements for 7-24GHz
RAN WG1 #118bis,"Hefei, China",RAN WG1,"October 14th – 18th, 2024"
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,NR MIMO Evolution
TSG-RAN WG1 Meeting #116bis,"Changsha, China",TSG-RAN WG1,Introduction of FR2-NTN
TSG-RAN WG2 Meeting #124,"Chicago, USA",RAN2,FrequencyInfo for NR SL RSRP Measurements
3GPP TSG-RAN WG1#118,"Maastricht, Nederland",RAN WG1,RAN1 Physical Layer Specifications
RAN WG1 #118bis,Hybrid (3F rooms + 2F Breakout #2),RAN1,5G NR Release 19 Feature Finalization
3GPP TSG-RAN WG1 #116bis,"Changsha, China",RAN WG1,Expanded and Improved NR Positioning
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,Pre-emption and re-evaluation procedures for MCSt in sidelink
RAN WG1 #116,"Athens, Greece",RAN WG1,UE Features for Other Rel-18 Work Items
3GPP TSG RAN WG1 Meeting #119,"Orlando, Florida, USA",RAN WG1,Channel modelling enhancements for 7-24 GHz
RAN WG1 #119,"Orlando, USA",RAN WG1,Positioning accuracy enhancement
TSG RAN WG1 #116,"Athens, Greece",RAN WG1,Rel-18 NR Positioning Enhancements
RAN WG1 #119,"Orlando, US",RAN WG1,9.2.4: Enhancement for asymmetric DL sTRP/UL mTRP scenarios
TSG-RAN WG1 #118,"Maastricht, The Netherlands",RAN1,Ambient IoT Physical Layer Considerations
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,NR MIMO Enhancements for Rel-19
RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,NR Physical Layer Enhancements for Ambient IoT
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,NR & A-IoT Physical Layer Design
RAN4#109,,RAN WG4,SL RSSI Congestion Control
3GPP TSG-RAN WG1 #117,"Fukuoka, Japan",RAN WG1,AI 9.5.3: Adaptation of common signalling for NES
3GPP TSG RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Maintenance of NR MIMO Evolution
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",TSG-RAN WG1,Unified TCI state correction
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,9.11.2: HD-FDD RedCap UEs in NTN
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,NR-NTN Uplink Capacity/Throughput Enhancement
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Rel-18 STxMP
RAN WG2 #125,"Athens, Greece",RAN2,Radio Interface Protocols
RAN WG1 #118,"Maastricht, NL",RAN WG1,Pre-Rel-18 NR Maintenance
RAN WG1 #118bis,"Hefei, China",RAN WG1,AI/ML for NR Air Interface Enhancements
RAN WG1 #118bis,"Hefei, Anhui, China",RAN WG1,CSI enhancements for 5G-Advanced
RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,ISAC deployment scenarios
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Further NR Coverage Enhancements
RAN WG1 #118bis,"Hefei, China",TSG-RAN WG1,NR MIMO Phase 5 Enhancements
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,NR NTN Enhancements
RAN WG1 #116-bis,"Changsha, China",RAN WG1,IOT-NTN uplink capacity/throughput enhancement
TSG-RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",TSG-RAN WG1,NR MIMO Evolution for DL/UL
RAN WG1 #118,"Maastricht, NL",RAN WG1,3GPP TSG RAN WG1 Meeting #118
RAN WG1 #118bis,"Hefei, China",RAN WG1,UE features for MC enhancements
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,UE-initiated/event-driven beam management
RAN WG1 #118,"Maastricht, NL",RAN WG1,Agenda Item 9.4.2.2: Frame Structure and Timing Aspects for Ambient IoT
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,Enabling TX/RX for XR During RRM Measurements
RAN WG1 #119,"Orlando, US",RAN WG1,Specification support for beam management
RAN WG1 #116,"Athens, Greece",RAN WG1,9.11.1: Downlink coverage enhancement for NR NTN
3GPP TSG RAN1 Meeting #116-bis,"Changsha, China",RAN WG1,Physical layer specifications for NR
3GPP TSG RAN WG1 #118bis,"Hefei, China",RAN WG1,ISAC Channel Modeling
RAN WG1 #119,"Orlando, US",RAN WG1,On-demand SSB for NES in SCell Activation
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Physical layer aspects of 5G NR
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,AI/ML Air Interface Enhancements
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,UE capability for asymmetric bandwidth configurations <5 MHz
RAN WG1 #118,"Maastricht, NL",RAN WG1,CSI compression with AI/ML
RAN WG1 #119,"Orlando, USA",RAN WG1,18-22 November 2024 meeting agenda items
RAN WG1 #116,"Athens, Greece",RAN WG1,NR over NTN enhancements
RAN WG1 #116,"Athens, Greece",RAN WG1,Agenda Item 7.2: Rel-17 RedCap enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,Evolution of NR duplex operation
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,AIoT Channel/Signal Design
RAN WG1 #118,"Maastricht, NL",RAN WG1,9.1.2 - AI/ML for NR Positioning
RAN WG1 #116,"Athens, Greece",RAN WG1,8.10 Uplink Coverage Enhancement
RAN WG1 #118bis,"Hefei, China",RAN WG1,NR-NTN uplink capacity enhancement
RAN WG1 #119,"Orlando, USA",RAN WG1,Partial PRG handling for SBFD
RAN WG1 #118bis,"Hefei, China",RAN WG1,Maintenance on Rel-18 work items
RAN WG1 #118bis,"Hefei, China",RAN WG1,AI/ML in Radio Access Networks
RAN WG1 #118bis,"Hefei, China",RAN WG1,9.11.1: DL Coverage Enhancements for NR NTN
RAN WG1 #119,"Orlando, US",RAN WG1,AI CSI Prediction Consistency
3GPP TSG-RAN WG1 Meeting #118bis,"Hefei, China",RAN WG1,NR Multi-Cell Enhancements
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,AI/ML for CSI compression
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Rel-17 RedCap remaining issues
RAN WG1 #119,"Orlando, US",RAN WG1,Rel-19 CSI enhancements
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,SRS Enhancements for NR Positioning
RAN WG1 #116bis,"Changsha, China",RAN WG1,SBFD operation and procedures
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,TRS occasions configuration for idle/inactive UEs
RAN WG1 #119,"Orlando, US",RAN WG1,9.5.3: Adaptation of common signal/channel transmissions
RAN WG1 #116,"Athens, Greece",RAN WG1,Rel-18 multi-carrier enhancement
RAN WG1 #118bis,"Hefei, China",RAN WG1,9.4.2.4: CW waveform characteristics for A-IoT
RAN WG1 #118bis,"Hefei, China",RAN WG1,Rel-19 XR Phase 3 Enhancements
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,UE features for eRedCap
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,NR-NTN Specification Updates
3GPP TSG RAN WG1 #119,"Orlando, US",RAN WG1,Physical layer protocol development for NR
RAN WG1 #118,"Maastricht, NL",RAN WG1,Rel-19 MIMO UEIBM enhancements
RAN WG1 #116,"Athens, Greece",RAN WG1,RACH-less handover in NTN
TSG RAN1#116bis,"Changsha, Hunan Province, China",RAN WG1,SRS Bandwidth Aggregation Impacts
RAN WG1 #118bis,"Hefei, China",RAN WG1,Channel Modeling Enhancements for 7-24 GHz
RAN WG1 #118bis,Hybrid (3F rooms + 2F Breakout #2),RAN WG1,5G Advanced Feature Finalization
RAN WG1 #116,"Athens, Greece",RAN WG1,NCJT CSI-IM Restriction
RAN WG1 #118,"Maastricht, NL",RAN WG1,Ambient IoT Waveform Characteristics
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,LP-WUS/WUR standardization
RAN WG1 #118,,RAN WG1,UL enhancement through asymmetric DL and UL
RAN WG1 Meeting #117,"Fukuoka, Japan",RAN1,AI/ML for NR Air Interface
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR Sidelink Enhancements
3GPP TSG-RAN WG1 Meeting #116b,"Changsha, China",TSG-RAN WG1,Positioning Enhancements
3GPP TSG RAN WG1 #119,"Orlando, US",RAN WG1,Agenda Item 8.1: Sidelink enhancements
3GPP TSG-RAN WG1 Meeting #116bis,"Changsha, China",RAN WG1,ISAC channel model deployment scenarios
RAN WG1 #118bis,"Hefei, China",RAN WG1,On-demand SIB1 procedures for network energy saving
RAN WG1 #116,"Athens, Greece",RAN WG1,Maintenance on MBS for RedCap
3GPP TSG RAN WG1 #bis,"Hefei, China",RAN1,NR enhancements
RAN WG1 Meeting #116-bis,"Changsha, China",RAN WG1,Maintenance issues on Rel-18 Network Energy Savings (NES)
3GPP TSG-RAN WG1 Meeting #119,"Orlando, US",RAN WG1,NR FeMIMO Enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,Further NR Mobility Enhancements Maintenance
3GPP TSG RAN WG1 #119,"Orlando, US",RAN WG1,Physical Layer Design for NR-based Ambient IoT
TSG RAN WG1 #117,"Fukuoka city, Fukuoka",RAN WG1,NR Mobility Enhancements
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Physical layer protocol enhancements
RAN WG1 #116,"Athens, Greece",RAN WG1,NR Sidelink Evolution Maintenance
RAN WG1 #119,"Orlando, US",RAN WG1,Ambient IoT Waveform Characteristics
RAN WG1 #118,"Maastricht, NL",RAN WG1,NR sidelink enhancements
TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",TSG-RAN WG1,AI/ML for NR Positioning Enhancements
3GPP TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,NR-NTN Phase 3 Work Item Discussion
3GPP TSG-RAN WG4 Meeting #110-bis,"Changsha, China",RAN WG4,NR_NTN_enh-Core Work Item Discussion
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Radio interface physical layer specifications
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Positioning Enhancements
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,Radio Access Network Specifications
TSG-RAN WG1 Meeting #118b,"Hefei, China",RAN WG1,Physical layer specifications and enhancements
3GPP TSG RAN WG1 #117,"Fukuoka City, Japan",RAN WG1,Ambient IoT physical layer aspects
RAN WG1 #118bis,"Hefei, China",RAN WG1,Physical layer protocol maintenance
3GPP TSG RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,LP-WUS/WUR Standardization
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR XR Phase 3 Enhancements
3GPP TSG RAN WG1 Meeting #116bis,"Changsha, Hunan Province, China",RAN WG1,Maintenance of Rel-18 IoT NTN
RAN WG1 #118bis,"Hefei, China",RAN WG1,5G NR enhancements
3GPP TSG-RAN WG1 Meeting #118bis,"Hefei, China",RAN WG1,NR MIMO Evolution Agenda Item
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR mobility enhancements and CSI reporting
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Rel-19 NR duplex evolution
TSG RAN WG1 #116,"Athens, Greece",RAN WG1,Network Energy Savings
