name,aliases
Tejas Networks Pvt. Ltd.,Tejas Networks Ltd
FGI,FGI
CMCC,China Mobile Communications Corporation
Samsung,Dalin Zhu|Sa Zhang
SPRD,
China Telecom,RAN1
WILUS Inc.,
Qualcomm Inc.,Qualcomm
Apple Inc.,Moderator
xiaomi,
Jiayi Yang,
Yitao Mo,vivo
Ericsson,Henrik Ryden
Nordic Semiconductor ASA,Nordic
Pengcheng Laboratory,
"Indian Institute of Tech (M), IIT Kanpur",
Institute for Information Industry,III
NTT DOCOMO,Ad-Hoc Chair
Eutelsat Group,Eutelsat
ETSI MCC,ETSI Mobile Competence Centre
TCL,TCL Communication
China Academy of Telecommunications Technology (CATT),CATT
HiSilicon,Huawei
Lockheed Martin,Lockheed
"Moderator(ZTE), Samsung",ZTE|Samsung
CICT CI,
Qualcomm,Wooseok Nam
"MediaTek, Inc",MediaTek
Qualcomm,FL|Qualcomm
CMCC,Yan LI
vivo,Rapporteur
BT,
IIT Kharagpur,IIT-KGP
Moderator (Fujitsu),Fujitsu
3GPP RAN WG1,RAN WG1
Apple Inc.,Moderator (Apple Inc.)
"Huawei Technologies Co., Ltd.",Huawei|HiSilicon
Qualcomm,
HiSilicon,"HiSilicon Semiconductor Co., Ltd."
Huawei,"Huawei, HiSilicon"
CEWiT,Centre of Excellence in Wireless Technology
ETRI,ETRI
Moderator (AT&T),
Wiliot Ltd,Wiliot
Transsion Holdings,
Google,Google Inc.
vivo,Rakesh Tamrakar
TCL,[13]
Google Inc.,
Ericsson,[17]
Nordic Semiconductor ASA,[23]
"Nokia, Nokia Shanghai Bell, CATT, Ericsson",
MediaTek Inc.,Moderator (MediaTek)
3GPP Organizational Partners,3GPP
"Nokia, Nokia Shanghai Bell",Nokia|Nokia Shanghai Bell
Qualcomm,Qualcomm
Samsung,RAN2
Indian Institute of Technology (Madras),IIT Kanpur
UNISOC,UNISOC
Moderator (vivo),
Intel Corporation,RAN1
RAN2 Working Group,RAN WG2
Vodafone,
Fujitsu,RAN1
"Huawei, HiSilicon",Huawei Technologies|HiSilicon
vivo,TSG RAN WG1
Vodafone Group Plc,
Min Zhu,
ASUSTek,
"CATT, CICTCI",China Academy of Telecommunications Technology|CICT
LG Electronics,Moderator (LG Electronics)
Docomo,NTT DOCOMO
Unknown Contributor,
Fei Dong,Dong Fei
Qualcomm,Moderator
Vivo,Qian Yang
3GPP RAN WG4,RAN4
Pei LIN,
Transsion Holdings,Transsion Holdings
Lenovo,Haipeng (Lenovo)
Spreadtrum,Unisoc
Docomo,
Indian Institute of Technology Kanpur (IITK),IIT Kanpur
Samsung,Samsung Electronics
NVIDIA,NVIDIA Corp
Lenovo,Lenovo Group Limited
Sanechips,"Sanechips Technology Co., Ltd."
Tejas,
"Huawei, Hisilicon",Huawei
Tongji University,Tongji University
3GPP RAN1,RAN WG1
Deep Shrestha,
Sequans,
NYU Wireless,NYU WIRELESS
RAN3,3GPP RAN Working Group 3
KT Corp.,KT Corporation
Panasonic,Khalid Zeineddine
BUPT,Spark NZ
Thales,Thales
CBN,CBN
"InterDigital, Inc.",
Chi-Hsuan Hsieh,CH.Hsieh@mediatek.com
Spreadtrum,Spreadtrum Communications
NTT DOCOMO,Ad-Hoc Chair (NTT DOCOMO)
RAN WG4,TSG-RAN WG4
Qualcomm Incorporated,[21]
Huawei,Huawei [RAN WG1]
ZTE,ZTE
Tejas Networks,
InterDigital Inc.,
KPN N.V.,KPN
"NTT DOCOMO, INC.",[19]
Xiaomi,Xiaomi [RAN1]
Johannes Hejselbaek,Nokia
3GPP TSG RAN WG1,RAN1
"Samsung Electronics Co., Ltd",Samsung
Huawei,"Huawei, Hisilicon"
Samsung,Moderator (Samsung)
Interdigital,Interdigital
ZTE,Gao Bo
New H3C,H3C Technologies
Huawei,Huawei Technologies
Xiaomi,Xiaowei Jiang|jiangxiaowei@xiaomi.com
5GAA,5G Automotive Association
Spreadtrum,
Lekha Wireless Solutions,Lekha Wireless
Huawei/HiSilicon,Keyvan Zarifi|Fanbo
Tejas Networks Ltd.,Tejas
Electronics and Telecommunications Research Institute,ETRI
China Mobile Communications Corporation (CMCC),CMCC|China Mobile
OPPO,"Guangdong OPPO Mobile Telecommunications Corp., Ltd"
Purple Mountain Laboratories (PML),PML
NEC,Peng Guan|Pravjyot Deogun
UNISOC,"Shanghai UNISOC Communications Technology Co., Ltd"
Spreadtrum,Yu Yang
vivo,Moderator (vivo)
"InterDigital, Inc.",Moderator
CICICI,
Ericsson,Claes Tidestav
MTK,MediaTek Inc.
Apple Inc.,Apple
Hisilicon,
3GPP RAN4,RAN4
IDT,"InterDigital, Inc."
Google,Moderator (Google)
Moderator (Futurewei),Futurewei
"Huawei, Hisilicon",
Junqiang Cheng,
ZTE Corporation,Sanechips
David,
Fraunhofer IIS,Fraunhofer HHI
Nokia,Nokia RAN1
"Orange, ZTE, BT",Orange|BT
RAN2,
Meta,"Meta Platforms, Inc."
3GPP,3rd Generation Partnership Project
InterDigital,Afshin Haghighat
EchoStar,
Tiami Networks,
Fraunhofer Institute for Integrated Circuits,Fraunhofer IIS
NTT DOCOMO,"NTT DOCOMO, INC."
InterDigital,interdigital.com
Spreadtrum,Moderator
Futurewei,Futurewei Technologies
CMCC,Yi Zheng Jiazhen Zhang
"InterDigital, Inc.",IDCC
3GPP RAN WG2,RAN2
Huawei,Huawei|Moderator (Huawei)
Google,RAN1
CCL,CCL
OPPO,Kevin Lin
Nokia/NSB,Nokia Shanghai Bell
ZTE,Moderator (ZTE)
Kookmin University,
Sanechips,
NTT DOCOMO INC,DOCOMO
"NTT DOCOMO, INC.",RAN WG1
HiSilicon,HiSilicon Technologies
Continental Automotive Technologies GmbH,Continental
DoCoMo,NTT DOCOMO
Fujitsu Limited,
vivo,Vivo
NTT DOCOMO,Moderator (NTT DOCOMO)
Southeast University,"Southeast University, Purple Mountain Laboratories, China Telecom"
Yanping Xing,xingyanping@catt.cn
Eutelsat,
Sanechips,Sanechips Tech
Moderator (Qualcomm),
Xiaomi,Mingju LI
Apple,RAN1
Rakuten Mobile,Rakuten
"IIT KANPUR, Indian Institute of Technology Madras (IITM)",IITK|IITM
Xiaomi,Moderator (Xiaomi)
Intel,Yizhi Yao
Thales,Thales Alenia Space
Fraunhofer,Fraunhofer IIS|Fraunhofer HHI
Samsung,Eko Ong
Alexandros Manolakos,Qualcomm
CATT,China Academy of Telecommunications Technology
Huawei Technologies,HiSilicon
Thales,Mohamed (Thales)
HONOR,[15]
Ad-hoc Chair (CMCC),
Daniel Lönnblad,
MediaTek Inc,MediaTek
Meta,Facebook
Fujitsu,Yosuke Akimoto
Xiaomi,Xiaomi
Ericsson,RAN1
CMCC,Moderator (CMCC)
Google,Google
Moderator (Lenovo),Lenovo
Lenovo,Lenovo Group
Continental Automotive,
LG Electronics,LG|LGE
III,III
NICT,Kenichi Takizawa
Quectel,
"ZTE, Samsung, Ericsson, vivo, Xiaomi, New H3C",
Indian Institute of Technology Kanpur,IIT KANPUR
Qualcomm,QC
"New H3C Technologies Co., Ltd.",
NTT DoCoMo,NTT Docomo
FUTUREWEI,Huawei
Steven Chen,Apple
NTT DOCOMO,Haruhi
Continental Automotive,Continental Automotive
Qualcomm,qti.qualcomm.com
Tejas Networks Ltd,Tejas Networks
NTT,NTT Docomo
Nokia/NSB,Nokia|NSB
Tejas,Tejas Network Limited
MediaTek,mtk
OPPO,[14]
China Telecom,China Telecom Group
NTT DOCOMO INC,
CSCN,CSCN
AT&T,Moderators
Moderator (Apple),Apple
Rakuten Mobile Inc,Rakuten Mobile
QC,
DOCOMO,NTT DOCOMO
Langbo,R1
LG,LGe
Xiaomi,Xiaomi Corporation
Moderator (Fujitsu),
Huawei/HiSi,Huawei
Langbo,
"NTT DOCOMO, INC",DOCOMO
Nokia,Mihai Enescu|Youngsoo Yuk
China Mobile,CMCC
Futurewei Technologies,FUTUREWEI
Futurewei,Futurehuawei
"InterDigital, Inc",umer.salim@interdigital.com
"Huawei, HiSilicon",Huawei
MediaTek,Darcy Tsai
Motorola Mobility,
RAN WG1,3GPP RAN1
China Telecom,CT|China Telecom Group
"AT&T, NTT DOCOMO, INC.",Moderators
MediaTek,Mediatek Inc.
Huawei,Huawei/HiSilicon
QC,Qualcomm
ASUSTeK,ASUSTeK
Nokia Corporation,Nokia
BJTU,Beijing Jiaotong University
Southeast University,
MediaTek Inc.,MediaTek|MTK
Nokia/NSB,Nokia|Nokia Shanghai Bell
"Spreadtrum, UNISOC",[4]
vivo,vivo [RAN1]
3GPP RAN Working Group 1,RAN WG1|R1
3GPP RAN Working Group 4,RAN WG4|RAN4
Futurewei,FW
Ericsson,Johan Bergman
FGI,
Nokia Shanghai Bell,
Ericsson,claes.tidestav (at) ericsson.com
Ruijie Networks,Ke Zhong
Hans van der Veen,Hans.vanderVeen@neclab.eu
NTT DoCoMo,
Samsung Electronics,Samsung
Apple,Hong He
FUTUREWEI,
OPPO,oppo.com
NTT Docomo,
Futurewei,Moderator
OPPO,OPPO
Toyota ITC,
Ericsson,Ericsson Inc.
Nokia,RAN WG1
Qianxi Lu,
China Academy of Information and Communications Technology (CAICT),CAICT
Lekha Wireless,
"ZTE Corporation, Sanechips",
"Fujitsu, Ericsson, Google, Huawei, HiSilicon, Langbo, Lenovo, New H3C, Nokia, Samsung, ZTE",Moderator (Fujitsu)|Contributing Companies
TCL,Kai Liu
Indian Institute of Technology Madras,Sai Prasad Pirati
RAN WG2,
Huawei,jean.michel.cornily@huawei.com
Apple,Source: Apple
RAN,3GPP TSG RAN
"Huawei, Tongji Univ",Huawei
"NTT DOCOMO, Inc",DOCOMO
TCL,Pu Yuan
Nokia,Nokia.1
Rakuten Mobile,
"NTT DOCOMO, INC",
Huawei/HiSi,
Moderator (MediaTek),MediaTek
Beijing Jiaotong University,BJTU
FirstNet,
Gatehouse Satcom,
Qualcomm Inc.,Qualcomm|QTI
"Huawei, HiSilicon",
LG Electronics,LGe
Huawei,Moderator(Huawei)
Angelo Centonza,
Indian Institute of Technology Madras,
China Broadnet,China broadnet
"Nokia, NSB",
Indian Institute of Technology Kanpur,IIT Kanpur|IITK
Tejas Networks Pvt. Ltd.,Tejas Networks Ltd.
CATT,Moderator (CATT)
China Unicom,China Unicom
Viasat/Inmarsat,
Keysight,
Moderator (LG Electronics),
Ad-hoc Chair (CMCC),CMCC
Google,
Peter Hedman,
Fraunhofer IIS,IIS
Moderator (ZTE),ZTE
NTT DOCOMO Inc,DOCOMO
WILUS,
CATT,Moderator(CATT)
CCU,
Ericsson,E///
"OPPO, Huawei, HiSilicon, LG Electronics",OPPO|LG
SA2,
"InterDigital, Inc.",[6]
Fraunhofer HHI,Fraunhofer Heinrich Hertz Institute
RAN4,3GPP RAN WG4
Denso,DENSO CORPORATION
ZTE,Zhongxing Telecommunications Equipment
Na Li,vivo
Apple,
Ericsson,Ratheesh Kumar Mungara
Nokia,Nokia Shanghai Bell
3GPP RAN2,RAN2
LG Electronics,[9]
Huawei,Hw/HiSi
KRRI,
AT&T,FirstNet
Semtech,
"IIT Kanpur, Indian Institute of Tech (M)",IIT Kanpur|IIT-M
CICT,CI
Qualcomm,RAN1
RAN1 Chair,RAN1 Chair|3GPP RAN1 Chair
"Huawei, Tongji Univ",
DOCOMO,Haruhi (DOCOMO)
NSB,
BUPT,
"NTT DOCOMO, INC.",NTT DOCOMO
H3C,
Ericsson,Ericsson AB
MediaTek Korea Inc.,
TSG RAN2,RAN WG2
Nokia,Nokia[RAN1]
Wiliot,Wiliot
3GPP RAN Working Group 1,RAN WG1
TOYOTA InfoTechnology Center,
ASUSTeK,ASUS
QUECTEL,
SK Telecom,SKT
MediaTek,MTK
Hisilicon,HiSilicon Semiconductor
Tejas Networks,Tejas Networks
RAN4,3GPP RAN Working Group 4
China Academy of Information and Communications Technology,CAICT
Hyundai Motor Company,
COMPANY – FirstName,LastName
OPPO,Guo Li
China Mobile Communications Corporation (CMCC),CMCC
Sony,Moderator
Qiuge Guo,
China Telecom,CTC
Toyota,
Yosuke Akimoto,
Spreadtrum Communications,Moderator|Spreadtrum
3GPP RAN Working Group 1,RAN WG1|RAN1
Xiaodong,
ZTE/Sanechips,
Rakuten,"Rakuten Group, Inc."
Riki Okawa,NTT Docomo
"vivo Communication Technology Co., Ltd",vivo
"New H3C Technologies Co., Ltd.",New H3C
"ZTE, Sanechips",ZTE
"Moderator (Fujitsu), Huawei, Ericsson, Nokia, ZTE Corporation, Sanechips, HiSilicon, Lenovo, Apple",
Futurewei,Zhigang Rong
"Ericsson, Nokia, Google, Samsung",Moderator(Ericsson)|Nokia|Google|Samsung
CEWiT,
OPPO,OPPO/LG
Anritsu,
National Taipei University,NTPU
LG,Hyungtae Kim
Anritsu,Anritsu Corporation
MediaTek,MediaTek
Tejas Networks Ltd,Tejas
"Moderators (AT&T, NTT DOCOMO, INC.)",AT&T|NTT DOCOMO
Lenovo,Motorola Mobility
vivo,
InterDigital,Moderator
Spark NZ Ltd,Spark New Zealand Limited
Dell Technologies,Dell
LG Electronics,Moderator
"NTT DOCOMO, INC.",Moderator
Intel Corporation,Intel Corp
Wiliot Ltd,
ZTE,ZTE Corporation
ZTE Corporation,ZTE Corporation|Sanechips
Xiaomi,Yingyang
Qualcomm Incorporated,Qualcomm Inc.
Meta,Meta
RAN1 Chair,ETSI MCC
THALES,
Apple Inc.,
vivo,jizichao@vivo.com|liusiqi@vivo.com
Vodafone,"Vodafone, Ericsson"
Spreadtrum Communications,Moderator (Spreadtrum Communications)
QC,QC
Moderator (Nokia),Nokia Shanghai Bell
NVIDIA,NVIDIA
Continental Automotive Technologies GmbH,
SageRan,
ZTE Corporation,"ZTE Corporation, Sanechips"
NVIDIA,Xingqin Lin
Huawei/HiSilicon,Huawei
NEC,Peng GUAN|Yukai GAO
SK telecom,SKT
OPPO,Moderator (OPPO)
RUijie Networks,
Inmarsat,
Nokia,Nokia Bell Labs
Sony,Sony Corporation
"NTT DOCOMO, INC.",Docomo
Magister,Magister Solutions
CATT,[11]
Lenovo,MotM
Kyocera,
Intel,Debdeep Chatterjee
Huawei/HiSi,Huawei|HiSilicon
vivo,Moderator
Xiaomi,Mingju Li
Qualcomm,FL (Qualcomm)
vivo,[5]
"Huawei, HiSilicon",Huawei|HiSilicon
Qualcomm,Qualcomm|QC
NTT DOCOMO,Haruhi Echigo
OPPO,Li Guo
Lenovo/MotM,
Vivian Chong,Vivo
"Huawei Technologies Co., Ltd",Huawei
Huawei,Jinhuan Xia
RAN WG1,RAN1|R1
Toyota ITC,Toyota
Jie Cui,
NEC,Moderator
Jing-Rong Hsieh,Google|jinghsieh@google.com
SONY,Chen Sun|Yingshuang Bai
vivo,Hao Wu
Lenovo,Lenovo
MTK,
"NTT DOCOMO, INC.",Haruhi (DOCOMO)
Xiaomi,
Ericsson,Ericsson RAN1|Florent Munier
Fraunhofer IIS,Fraunhofer
Qualcomm,Moderator (Qualcomm)
Nokia,NSB
New H3C,New H3C Technologies
NEC Corporation,NEC
Quectel,Quectel
DENSO CORPORATION,DENSO
CATT CICTCI,
Baicells,Baicells Technologies
Shuaihua Kou,
ZTE Corporation,Zhongxing Telecommunications Equipment Corporation
Rakuten,Rakuten Symphony
Ericsson,Ericsson[RAN1]
vivo,"vivo, BUPT"
NICT,National Institute of Information and Communications Technology
Sharp,
Ericsson,RAN3
Docomo,NTT Docomo
Hiromasa Umeda,Nokia
Kevin Wanuga,
CATT,CATT|China Academy of Telecommunications Technology
MediaTek,Mediatek
IIT Kharagpur,
AT&T,Moderator
Vivo,Vivo
Fraunhofer IIS,Fraunhofer Institute for Integrated Circuits
"Huawei, HiSilicon, Samsung, Nokia, Nokia Shanghai Bell, New H3C, Ericsson, Vivo",
Sony,Sony Group Corporation
Transsion Holdings,Transsion
3GPP SA WG1,SA1
FirstNet,First Responder Network Authority
ZTE,ZTE|Sanechips
IIT KANPUR,
Moderator (China Telecom),
KAIST,Korea Advanced Institute of Science and Technology
CATT/CICTCI,China Academy of Telecommunications Technology
Indian Institute of Technology Kanpur and Indian Institute of Technology Madras,IIT Kanpur|IITM
Xiaomi,Moderator
CATT,Moderator
ETSI MCC,ETSI MCC
RUijie networks,RUijie
Beijing University of Posts and Telecommunications (BUPT),BUPT
IDC,Afshin Haghighat
TCL Communication,TCL
AT&T,AT&T
Vodafone Group,Vodafone
Qualcomm Incorporated,Qualcomm|QCOM
RAN WG4,
Apple,Apple
Antonino Orsino,
VIVO,
BUPT,"BUPT, CMCC"
Huawei,HW
Chunxuan Ye,
Vodafone,Vodafone
ZTE,Moderator(ZTE)
KDDI,Shunsuke Kamiwatari
ASUSTeK,Moderator
HiSilicon,
ETSI MCC,
H3C,New H3C
Vodafone,Vodafone Group
Unknown,
Mitsubishi Electric,
CMCC,Ad-hoc Chair
"Fraunhofer IIS, Fraunhofer HHI",Fraunhofer IIS|Fraunhofer HHI
Fujitsu,Moderator (Fujitsu)
Jingzhou Wu,
Rakuten Symphony Inc.,Rakuten Symphony Inc.
China Academy of Telecommunication Technology,CATT
Spreadtrum,UNISOC
Purple Mountain Laboratories,
Sharp,Liqing Liu
Deutsche Telekom,
3GPP TSG RAN WG1,RAN WG1
Nokia,Nokia/NSB
Xiaomi,Xiaomi Communications Co Ltd
T-Mobile USA,
TOYOTA InfoTechnology Center,Toyota
Nokia,Nokia
TSG RAN WG1,
ZTE,Pengcheng laboratory
Tejas Networks,Tejas
vivo,Zichao Ji
Huawei,Huawei
Moderator (InterDigital),InterDigital
TSG RAN WG2,RAN2
Nokia,Nokia1
Sony,Moderator (Sony)
Sony Group Corporation,Sony
"Moderators (AT&T, NTT DOCOMO, INC.)","AT&T|NTT DOCOMO, INC."
ZTE,"ZTE, Sanechips"
Qualcomm,FL|QC
Samsung,R1
Samsung,
MediaTek Inc.,MTK
Google,Google LLC|Alphabet Inc.
Nvidia,
ZTE corporation,ZTE
NIST,
China Mobile Communications Corporation (CMCC),CMCC|Moderator (CMCC)
Spreadtrum Communications,Spreadtrum
Deutsche Telekom,DT
Vivo,Chenli5g@vivo.com
NVIDIA Corporation,NVIDIA
Fraunhofer Heinrich Hertz Institute,Fraunhofer HHI
Intel Corporation,Daewon (Intel)
Sanjun Feng,vivo
NTT Docomo,Hiroki Harada
Company,Company
CEWiT,TSDSI
Huawei/HiSilicon,HW/HiSi
vivo,vivo[RAN1]
ZTE Corporation,Moderator (ZTE)|Sanechips
NICT,michi.nakamura@nict.go.jp
CEWiT,Pardh
"Rakuten Mobile, Inc",
RAN2,Radio Access Network Working Group 2
Xun TANG,
China Mobile,
AT&T (Moderator),Moderator
Spreadtrum Communication,
Xiaoran ZHANG,
Dell Technologies,
Nokia,Nokia Corporation
"Huawei, HiSilicon, China Unicom, ZTE, Sanechips, CATT",
MediaTek Inc.,MediaTek
"Huawei Technologies Co., Ltd.",HiSilicon
Indian Institute of Technology Kanpur,IITK
CEWiT,CEWiT
Huawei,"Huawei Technologies Co., Ltd."
Ralf Bendlin,AT&T Labs
Iridium,
Samsung,Moderator
"Orange, ZTE, BT",
Lenovo,Lenovo Group|Lenovo Inc.
China broadnet,
Huawei,
"NTT DOCOMO, INC.",Moderators
"InterDigital, Inc.",IDC
MediaTek Inc.,Moderator (MediaTek Inc.)
Oppo,
Sharp,"Sharp, Nokia"
SPRD,Spreadtrum
Huawei,Yinghao Guo
RAN WG1,R1
SONY,Moderator
"IIT Kanpur, Indian Institute of Technology Madras (IITM)",IIT Kanpur|IITM
China Information Communication Technologies Group Corporation,CICT
RAN WG1,
Qualcomm Incorporated,Qualcomm|Qualcomm Inc.
LG Electronics Inc.,LG
MediaTek,Moderator
Nokia,Nokia Siemens Networks
"Nokia, Nokia Shanghai Bell",Nokia
Orange,Orange
Moderator (Spreadtrum Communications),Spreadtrum Communications
Huawei/HiSilicon,Huawei|HiSilicon
Diana Pani,
CMCC,China Mobile
ESA,European Space Agency
Sharp,Sharp Corporation
Indian Institute of Technology Kanpur,IIT Kanpur
CATT,CATT
Honor,Honor
OPPO,Qianxi Lu
Futurewei,Huawei
China Telecommunications Corporation,China Telecom
"Moderator (InterDigital, Inc.)","InterDigital, Inc."
NEC,Moderator (NEC)
Huawei,Moderator
Nokia Corporation,
"Nokia, NSB",Nokia Shanghai Bell
Iridium Satellite LLC,
National Institute of Information and Communications Technology (NICT),NICT
Purple Mountain Laboratories,PML
New H3C,New H3C
Fujitsu,David Wang
IIT Kanpur,Indian Institute of Technology Madras (IITM)
Huawei,Huawei (TR editor)
China Telecom,Moderator
DoCoMo,
NTT DOCOMO,Mamoru Okumura
DOCOMO,DOCOMO
CMCC,China Southern Power Grid
"Huawei Technologies Co., Ltd",Huawei|HiSilicon
CableLabs,
DENSO CORPORATION,
Qualcomm Incorporated,Moderator
Ericsson,Moderator(Ericsson)
Indian Institute of Technology Kanpur (IIT Kanpur),IITK
Fujitsu,Fujitsu Limited
Fraunhofer IIS,FhG IIS
ATIS’ Next G Alliance (NGA),NGA|Next G Alliance
SEU,
UNISOC,UNISOC Communications
China Telecom,[12]
ZTE,Moderator
WILUS Inc.,WILUS
Hisilicon,Hisilicon
BJTU,
Spreadtrum,"Spreadtrum, UNISOC"
Interdigital,InterDigital
CATT,China Academy of Telecommunication Technology
Sharp,[20]
Toyota InfoTechnology Center,
"Moderator (Huawei), HiSilicon, Samsung, Ericsson, ZTE",
Interdigital,Interdigital|IDC
"MediaTek, Inc.",MediaTek Inc.|MediaTek
CATT,CICTCI
NTT Docomo,NTT Docomo
Fraunhofer HHI,Fraunhofer
Nokia/Nokia Shanghai Bell,Nokia/NSB
CMCC,Moderator
Orange,"Orange, ZTE, BT"
"Spreadtrum, UNISOC",Spreadtrum|UNISOC
Industrial Technology Research Institute,ITRI
3GPP RAN Working Group 2,RAN2
3GPP SA5,
RAN WG1,3GPP RAN WG1
Sharp Corporation,Sharp
"ZTE Corporation, Sanechips",ZTE
Huawei,HW/HiSi
Futurewei,
SK Telecom,
Not specified,
China Broadnet,
Xiaomi,Xiaomi Communications|Xiaomi Inc.
Terrestar,
HONOR,
"Nokia, Apple, Ericsson, MediaTek, NTT DOCOMO, Spreadtrum",
xiaomi,Xiaomi Corporation
ETRI,Cheulsoon Kim
NEC,NEC
Vivo,
AT&T Inc.,
Jari Lindholm,
Intel Corporation,Moderator
DOCOMO,
Fraunhofer HHI,
Indian Institute of Technology Madras,IIT Madras
Fujitsu,Moderator
Moderator (InterDigital),
AT&T,AT&T Inc.
vivo,RAN1
Keysight Technologies,Keysight
LG Electronics,LG Electronics
