id,name,description
RAN WG1,Radio Access Network Working Group 1,Responsible for radio interface architecture and protocols.
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio layer specifications including physical layer protocols
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for the definition of the physical layer of radio interfaces
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer specifications including physical layer protocols and resource allocation mechanisms.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer protocols and UE capabilities."
RAN WG3,Radio Access Network Working Group 3,Handles the overall UTRAN and E-UTRAN architecture and interfaces.
TSG-RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for physical layer specifications of NR and LTE
RAN WG2,Radio Access Network Working Group 2,Handles radio interface architecture and protocols in NR.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer specifications (L1/L2)
RAN WG1,Radio Access Network Working Group 1,"Responsible for defining the physical layer of 3GPP radio interfaces, including channel modeling and RF requirements."
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in NR.
RAN WG1,Radio Access Network Working Group 1,Responsible for NR physical layer specifications
RAN WG1,Radio Access Network Working Group 1,"Responsible for defining radio access network specifications, including physical layer protocols and RF requirements."
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of the radio interface.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer architecture and protocol specifications
RAN WG1,Radio Access Network Working Group 1,"Responsible for physical layer specifications including channel structures, coding schemes, and physical layer procedures"
RAN1,TSG-RAN Working Group 1,Responsible for physical layer specifications
RAN WG1,Radio Access Network Working Group 1,Focuses on physical layer specifications for NR air interface.
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for physical layer specifications of radio access technologies, including NR and Ambient IoT."
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of the radio interface
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in NR systems.
RAN WG1,Radio Access Network Working Group 1,Specifies physical layer protocols for NR.
RAN2,Radio Access Network Working Group 2,Focuses on NR layer 2/layer 3 radio interface protocols.
RAN4,Radio Access Network Working Group 4,Focuses on RF conformance and performance testing.
RAN WG1,Radio Access Network Working Group 1,Responsible for NR physical layer specifications.
RAN WG1,Radio Access Network Working Group 1,Responsible for specifying the radio layer 1 (physical layer) of 3GPP NR.
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of radio interfaces for 3GPP systems.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer protocols and procedures."
RAN4,Radio Access Network Working Group 4,Deals with RF parameters and conformance testing
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of 3GPP radio technologies including NR and NTN.
TSG-RAN WG1,3GPP RAN Working Group 1,Responsible for the definition of the physical layer of 3GPP radio interfaces.
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including coverage enhancements."
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer 1 specifications, including physical layer design."
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer specifications of the radio interface.
RAN WG1,Radio Access Network Working Group 1,"Responsible for RF, physical layer, and MAC layer specifications"
RAN WG4,Radio Access Network Working Group 4,Handles radio performance and protocol aspects of NR and LTE.
RAN4,Radio Access Network Working Group 4,"Handles radio performance and protocol aspects, including RF requirements."
RAN WG1,Radio Access Network Working Group 1,"Responsible for physical layer specifications including channel structures, modulation, and coding"
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical channel structures and adaptation mechanisms."
RAN WG1,Radio Access Network Working Group 1,Responsible for the physical layer specifications of radio interfaces
RAN1,Radio Access Network Working Group 1,Responsible for physical layer specifications of 3GPP radio access technologies
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including physical layer structures and NR-NTN enhancements."
RAN WG1,Radio Access Network Working Group 1,"Responsible for physical layer specifications in 3GPP, including NR sidelink."
RAN WG1,Radio Access Network Working Group 1,Responsible for defining physical layer specifications for LTE and NR.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications including channel structures and modulation schemes
RAN WG1,Radio Access Network Working Group 1,Specifies physical layer protocols for NR/5G systems.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in 5G-NR.
SA2,Service and System Aspects Working Group 2,Addresses architecture and signaling aspects for AI/ML in 5GC
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio layer 1 specifications including physical channels and mobility procedures
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR radio layer 1 specifications, including physical layer protocols and positioning."
RAN WG1,Radio Access Network Working Group 1,Responsible for 3GPP physical layer specifications and radio interface protocols.
RAN WG1,Radio Access Network Working Group 1,Responsible for 5G NR physical layer specifications.
RAN2,Radio Access Network Working Group 2,Focuses on radio interface architecture and protocols.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications including physical channels, modulation, and coding"
RAN WG1,Radio Access Network Working Group 1,Responsible for defining physical layer specifications for NR.
RAN WG2,Radio Access Network Working Group 2,Responsible for radio layer 2/3 specification development
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer specifications, including physical layer and MAC protocols."
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer 1 specifications, including physical layer protocols and MIMO enhancements."
RAN WG4,Radio Access Network Working Group 4,Handles radio performance and protocol aspects of 3GPP radio access technologies.
RAN WG3,Radio Access Network Working Group 3,Responsible for radio access network interfaces and OAM
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of NR Air Interface.
RAN WG4,Radio Access Network Working Group 4,Responsible for radio performance and protocol aspects of radio interfaces
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications including physical channels/modulation.
SA5,Service and System Aspects Working Group 5,"Manages telecom management, network orchestration, and OAM specifications"
RAN2,Radio Access Network Working Group 2,"Focuses on radio layer 2 and layer 3 specifications, including RRC protocols."
RAN WG1,Radio Access Network Working Group 1,Responsible for radio interface architecture and protocols specification
RAN WG1,Radio Access Network Working Group 1,Responsible for radio access physical layer standardization
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of radio access networks
RAN WG4,Radio Access Network Working Group 4,Handles RF conformance testing and RRM requirements.
RAN4,Radio Access Network Working Group 4,Focuses on RF/radio performance requirements
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specification development
RAN WG1,Radio Access Network Working Group 1,Responsible for 5G NR physical layer specifications
RAN WG1,Radio Access Network Working Group 1,Responsible for the physical layer specifications of 5G NR.
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio access layer specifications, including physical layer and MAC protocols"
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in 5G-NR
RAN WG3,Radio Access Network Working Group 3,Responsible for architecture and interfaces specifications
RAN WG1,Radio Access Network Working Group 1,Focuses on the physical layer specifications for NR radio access.
RAN WG1,Radio Access Network Working Group 1,Responsible for defining NR physical layer specifications and radio access protocols.
RAN3,Radio Access Network Working Group 3,Handles overall UTRAN/E-UTRAN/NR architecture and interfaces.
RAN WG4,Radio Access Network Working Group 4,Responsible for radio performance and protocol aspects
RAN4,Radio Access Network Working Group 4,Responsible for radio performance and protocol aspects of NR and LTE.
RAN WG1,Radio Access Network Working Group 1,Responsible for defining physical layer specifications in 3GPP systems.
SA5,Service and System Aspects Working Group 5,Focuses on telecom management and orchestration.
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer specifications including physical layer protocols
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of the NR air interface.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer specifications (physical layer).
RAN WG4,Radio Access Network Working Group 4,Defines radio performance and protocol aspects
RAN WG1,Radio Access Network Working Group 1,Focuses on physical layer specifications for LTE/NR.
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for physical layer specifications.
RAN WG4,Radio Access Network Working Group 4,Responsible for radio performance and protocol aspects of 3GPP specifications.
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including beam management and AI/ML air interface enhancements."
RAN WG1,Radio Access Network Working Group 1,Focuses on the physical layer specifications of NR.
RAN WG1,Radio Access Network Working Group 1,"Responsible for physical layer specifications including channel coding, modulation, and RF characteristics."
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer 1 specifications, including physical layer protocols and beam management."
RAN WG1,Radio Access Network Working Group 1,Responsible for 5G-NR physical layer specifications and radio resource management.
RAN WG3,Radio Access Network Working Group 3,Focuses on UTRAN overall architecture and interfaces
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in 3GPP systems.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of NR.
RAN4,Radio Access Network Working Group 4,Radio performance and protocol aspects
RAN WG1,Radio Access Network Working Group 1,Responsible for 3GPP radio layer 1 specifications (physical layer).
RAN WG1,Radio Access Network Working Group 1,"Focuses on the physical layer specifications for NR radio access, including AI/ML enhancements for air interface."
RAN WG2,Radio Access Network Working Group 2,Responsible for radio interface architecture and protocols (Layer 2/3)
RAN WG1,Radio Access Network Working Group 1,Focuses on the physical layer specifications of NR (New Radio) and LTE.
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of NR and LTE standards.
RAN WG1,Radio Access Network Working Group 1,"Responsible for the physical layer specifications of NR, including radio interface protocols and channel structures."
RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer 1 specifications, including physical layer enhancements for NR."
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in NR/UTRA systems.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio access network specifications, including physical layer protocols."
RAN WG1,Radio Access Network Working Group 1,Responsible for NR and LTE physical layer specifications.
RAN WG1,Radio Access Network Working Group 1,Responsible for 5G/NR physical layer specifications including radio interface protocols and channel modeling.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications, including IoT NTN enhancements."
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications and SBFD symbol configuration.
RAN WG1,Radio Access Network Working Group 1,Responsible for defining the physical layer specifications of NR.
RAN WG4,Radio Access Network Working Group 4,Responsible for RF and RRM conformance testing.
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including AI/ML air interface enhancements."
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specification development including physical channels and modulation
RAN WG1,Radio Access Network Working Group 1,Focuses on physical layer specifications for NR/5G systems.
RAN4,Radio Access Network Working Group 4,Focuses on radio performance and protocol aspects
RAN1,Radio Access Network Working Group 1,Responsible for physical layer specifications
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of NR and LTE radio interfaces.
RAN WG2,Radio Access Network Working Group 2,Handles higher-layer procedures and signaling for IoT-NTN TDD.
RAN WG4,Radio Access Network Working Group 4,Responsible for RF and radio resource management.
RAN WG1,Radio Access Network Working Group 1,Responsible for defining physical layer specifications for radio access technologies.
RAN WG1,Radio Access Network Working Group 1,"Responsible for defining the physical layer of 3GPP radio interfaces, including waveform and resource allocation."
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of NR.
RAN2,Radio Access Network Working Group 2,Responsible for layer 2/layer 3 radio interface specifications
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in 3GPP
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer specifications of radio interfaces.
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications for radio access
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the radio interface physical layer and protocol aspects.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in 3GPP NR and LTE.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer specifications (PHY, MAC, RRM)"
RAN WG4,Radio Access Network Working Group 4,Deals with radio performance and protocol aspects
RAN WG2,Radio Access Network Working Group 2,"Focuses on radio interface architecture and protocols, including UE state management."
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio layer 1 specifications including physical layer protocols.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in NR standards
RAN WG3,Radio Access Network Working Group 3,Addresses radio access network integration.
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of NR and LTE.
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio layer specifications
RAN WG1,Radio Access Network Working Group 1,Responsible for NR physical layer specifications and radio resource management.
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer of the radio interface in 3GPP standards.
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications including physical layer protocols
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer specifications for NR
RAN WG4,Radio Access Network Working Group 4,Responsible for radio performance and protocol aspects of 3GPP radio access.
RAN WG1,Radio Access Network Working Group 1,Responsible for NR physical layer specifications and MIMO enhancements.
RAN WG1,Radio Access Network Working Group 1,Responsible for defining the physical layer specifications of NR and LTE.
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including positioning enhancements."
RAN WG1,Radio Access Network Working Group 1,Responsible for NR physical layer specifications and AI/ML air interface studies.
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including UL/DL channel structures and coding."
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the radio layer 1/layer 2 aspects of UTRA and E-UTRA.
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio layer 1 specifications in 3GPP, including physical layer protocols."
RAN4,Radio Access Network Working Group 4,Addresses RF and RRM requirements for NR and LTE.
RAN WG2,Radio Access Network Working Group 2,"Focuses on protocol layers (MAC, RLC, PDCP) and radio interface architecture."
SA5,Service and System Aspects Working Group 5,"Responsible for telecom management, orchestration, and OAM standardization."
RAN WG1,Radio Access Network Working Group 1,Responsible for defining physical layer specifications for 3GPP technologies.
RAN WG1,Radio Access Network Working Group 1,Responsible for radio access architecture and protocols.
RAN WG2,Radio Access Network Working Group 2,Responsible for radio interface architecture and protocols in NR.
RAN WG2,Radio Access Network Working Group 2,Handles layer 2 and layer 3 radio interface specifications.
RAN WG2,Radio Access Network Working Group 2,Focuses on NR layer 2/layer 3 radio interface protocols.
SA5,Telecom Management Working Group,Responsible for management architecture and protocols
RAN WG1,Radio Access Network Working Group 1,Responsible for specifying the physical layer of NR radio interfaces.
TSG-RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer 1 specifications including physical layer procedures
RAN WG1,Radio Access Network Working Group 1,Responsible for the physical layer (L1) specifications of NR.
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including AI/ML integration into air interface."
RAN WG2,Radio Access Network Working Group 2,"Focuses on MAC, RLC, and PDCP layer specifications."
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio layer specifications including physical layer protocols and RF characteristics.
RAN2,Radio Access Network Working Group 2,Focuses on NR layer 2/layer 3 protocols and radio interface architecture.
TSG-RAN WG1,3GPP TSG Radio Access Network Working Group 1,Responsible for the definition of the physical layer of the radio interface.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in 5G/NR.
RAN WG4,Radio Access Network Working Group 4,Handles radio performance and protocol aspects
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications of NR and LTE.
RAN WG1,Radio Access Network Working Group 1,Responsible for physical layer specifications in NR/UMTS systems.
5GAA WG4,5GAA Working Group 4,5GAA group focusing on spectrum & technology
RAN WG4,Radio Access Network Working Group 4,Responsible for radio performance and protocol aspects of 3GPP radio access technologies
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for physical layer standardization
RAN WG1,Radio Access Network Working Group 1,Responsible for definition of the physical layer specifications
TSG-RAN WG1,Radio Access Network Working Group 1,"3GPP group responsible for radio layer 1 specifications, including physical layer procedures."
RAN WG1,Radio Access Network Working Group 1,Responsible for radio layer specifications including physical layer and radio resource management
RAN WG2,Radio Access Network Working Group 2,"Focuses on radio interface architecture and protocols, including UE behavior and measurement procedures."
SA5,System Architecture Working Group 5,Responsible for 5G network management architecture and OAM standards
RAN WG1,Radio Access Network Working Group 1,"Responsible for radio access network layer 1 specifications, including physical layer protocols."
RAN WG2,Radio Access Network Working Group 2,Focuses on radio interface architecture and protocols (Layer 2/3).
RAN WG4,Radio Access Network Working Group 4,Addresses RF and radio performance aspects.
RAN WG1,Radio Access Network Working Group 1,Responsible for the specification of the physical layer of NR and LTE
RAN WG1,Radio Access Network Working Group 1,3GPP group responsible for radio layer 1 specification development
RAN WG1,Radio Access Network Working Group 1,Responsible for the definition of the physical layer specifications for radio access technologies in 3GPP systems.
RAN WG1,Radio Access Network Working Group 1,"Responsible for NR physical layer specifications, including LP-WUS and LP-SS design."
RAN WG2,Radio Access Network Working Group 2,Focuses on the radio interface architecture and protocols.
