doc_id,entity_name,context,frequency
R1-2400349,Timing Advance,Common TA modeling requirements analysis,8
R1-2400220,UE,Procedures for reporting multiple UCI types with sub-configurations,8
R1-2401809,PDCCH,Hashing function calculation for CSS candidates,28
R1-2401839,SCell,Derivation of virtual PHR parameters for unconfigured SCells,15
R1-2402548,beamManagement,Multi-panel transmission scenarios,12
R1-2400986,SL-U,Congestion control measurement procedures,4
R1-2400087,Backscattering,UL transmission mechanism requiring external CW source,9
R1-2409442,Fraunhofer Distance,Threshold for planar vs spherical wavefront determination,2
R1-2405378,qam64LowSE,Missing MCS table case in TS 38.214 specifications,7
R1-2409747,SRS port grouping,Fixed grouping for 6/8Rx UEs with even/odd port distribution across codewords,12
R1-2401345,TS 38.331,Parameter name reference alignment,4
R1-2406612,Dynamic PO,Alternative paging occasion triggered by LP-WUS,12
R1-2405397,Cell DRX,Timing adjustment for NTN large propagation delays,12
R1-2404909,LMF,Label generation for training data,5
R1-2402691,UL WUS,Uplink trigger signal for SIB1 request,12
R1-2403024,SCell,Energy-efficient activation/operation using configurable SSB,19
R1-2400143,HARQ-ACK,Fallback Type-1 codebook generation for unicast/multicast configurations,
R1-2404711,STxMP SDM/SFN,Multi-panel transmission scheme requiring SRS configuration constraints,7
R1-2406779,PUSCH Repetition Type B,Key enabler for symbol-wise OCC with minimal specification changes.,18
R1-2400091,CRC,Proposed for error detection in DL/UL transmissions,12
R1-2401618,Unified TCI,Beam management framework for intra/inter-cell multi-TRP configurations,18
R1-2400159,SSB,Association between PRACH occasions and SSB indexes,8
R1-2408385,CIR,Complex-valued channel impulse response reporting for AI/ML model inputs,8
R1-2403847,CSI-RS,Port extension to 128 antennas,27
R1-2404910,BWP,Active DL BWP configuration for measurements,12
R1-2402081,SRS,Configuration alternatives for 3TX channel sounding,15
R1-2401789,Ambient IoT,Discussed throughout the document as the primary technology focus.,45
R1-2407106,TR 38.901,Baseline for channel model validation,4
R1-2409368,CORESET,Scheduling resource determining PDSCH QCL assumptions,19
R1-24xxxxx,CDL channels,Angle-scaling issue resolution,8
R1-2402313,SL Channel Access,Dynamic channel access mode features including Type 1/2 LBT procedures,15
R1-240xxxx,PSFCH,Power control in multi-transmission scenarios,8
R1-2405938,TDL-A Channel Model,Used for R2D and D2R links in InF-DH scenarios,4
R1-2404333,SIB1,Energy-saving through adaptive transmission scheduling,42
R1-2406419,Model Identification Type B,Analysis of MI-Options 1-5 for model consistency management,12
R1-2404484,SL Type 1 Channel Access,Proposal for UE capability signaling for shared spectrum operations,5
R1-2403913,TR 38.858,Baseline document for CLI handling mechanisms,8
R1-2400127,UAV,Example sensing target with single-scattering center modeling in simple backgrounds.,4
R1-2403017,CSI-RS,Enhancements for CSI measurement in SBFD symbols,8
R1-2404055,CSI Prediction,Temporal/spatial compression techniques,22
R1-2408849,Ambient IoT,Main technology under evaluation throughout the document,42
R1-2410165,Type 3 PHR,Supported for serving cells with two SRS CLPC states,3
R1-2406483,UAV,Primary sensing target with 3D mobility up to 160 km/h,15
R1-2402622,LEO,LEO-600 satellite parameter analysis,22
R1-2404523,RRC_INACTIVE,Support for multicast PDSCH reception in inactive state,8
R1-2402797,HARQ,Not required for AIoT devices,3
R1-2402729,HD-FDD,Collision handling in NTN environments,15
R1-2400341,ISAC,Main focus of document discussing deployment scenarios and performance requirements,28
R1-2400837,EIRP Density,Beam power allocation analysis,8
R1-2403898,Case 3b,NG-RAN node assisted positioning with LMF-side model,12
R1-2404753,L1-L2 Triggered Mobility,Core mobility procedure being analyzed,15
R1-2402843,LSTM,Used in temporal-spatial-frequency compression models,3
R1-2409097,RRC_INACTIVE,State for SP-SRS activation,6
R1-2402016,Single-Tone Unmodulated Sinusoid,Proposed as baseline waveform for carrier-wave implementation,15
R1-2402836,DCI,Dynamic MG adjustment signaling,8
R1-2410241,TDD,Carrier configuration for SBFD operation,12
R1-2406986,Cell DRX,Activation timing correction for NTN networks,8
R1-2405579,3GPP TS 38.214,Cited as a specification using '10 or 11' codepoint expressions.,2
R1-2401155,Multivendor Training,Key challenge being addressed,15
R1-2404564,eDRX,Interaction with extended DRX cycles,12
R1-2409498,NPUSCH,Format 1 transmission characteristics,12
R1-2409657,SBFD,Operation scenario for full duplex communication,15
R1-2410344,CSI-RS,Resource configuration for Set A/Set B beams,9
R1-2410386,SBFD,Random access operation in SBFD symbols,42
R1-2406645,SRS,Port grouping for low-complexity UE receivers,12
R1-2405506,OCC,Main enhancement technique discussed for uplink capacity improvement,217
R1-2400395,L1-SINR,Reported metric for Type 1 CSI compression,4
R1-2402306,TS 38.213,Reference for UE capability parameters,1
R1-2406654,CP-OFDM,Waveform design discussion with Method Type 1/2 for CP handling,27
R1-2403604,Cell DTX,CSI report dropping conditions during inactive periods,
R1-2408978,HARQ,Clause 5.1 details HARQ process management for PDSCH,7
R1-2405900,CSI prediction,Core technical discussion throughout document,45
R1-2410706,CBR,Alignment of CBR range definitions between RAN1 and RAN2,25
R1-2409017,PMI,Precoder selection considering UE antenna groups,12
R1-2403313,TS 38.212,Referenced tables 7.3.1.1.2-3A/5A for precoding information,15
R1-2404958,Large Frequency Shifter,"Studied for shifting D2R signals to UL bands, with focus on power consumption and image suppression.",8
R1-2405179,Physical Random Access Channel,Temporal resource adaptation with SSB-RO mapping considerations,7
R1-2401093,TCI State,Configuration/activation for candidate cells,9
R1-2400182,PRACH,Time/spatial domain resource allocation optimization,19
R1-2403139,NTN,Main subject of coverage enhancement proposals,15
R1-2409821,TR 38.901,Baseline channel model requiring updates for 7-24 GHz validation,8
R1-2409428,Hybrid Beamforming,Multi-beam measurement and reporting optimizations,15
R1-240XXXX,TS36.212,RRC parameter alignment,3
R1-2405594,PT-RS,Coherence conditions for 8Tx configurations,15
R1-2406027,MAC-CE,Candidate beam activation mechanism,8
R1-2409651,TA mismatch,Cause of DL/UL scheduling collisions,10
R1-2406186,CP Handling,Evaluated Type 1 (Alt-1+Alt-2) and Type 2 (zero CP) methods.,25
R1-2402929,SBFD,Random access procedure enhancements in SBFD symbols,35
R1-2403147,AI/ML,Enhancements for NR air interface in Rel-19,10
R1-2403726,3GPP TS 38.212,Base specification being modified,12
R1-2403060,OFDM,Waveform design for R2D transmissions,12
R1-2400861,SIB1,Proposed for on-demand transmission to reduce energy consumption,8
R1-2408509,MAC CE,Activation mechanism for SP-SRS,4
R1-2408693,LP-WUS,Proposals for PDCCH monitoring configurations,25
R1-2403232,Beam Management,Spatial/temporal prediction of DL Tx beams,45
R1-2402622,SSB,SSB periodicity extension proposal for coverage enhancement,15
R1-2403079,GNSS,Impact of positioning errors on timing advance,9
R1-2403210,Measurement Gaps,Interruptions to XR traffic due to integer-periodicity measurement gaps,15
R1-2405012,XR,Enhancements for XR-specific capacity issues during RRM measurements,8
R1-2401111,Model Transfer,Analyzed for cases z1-z5 with pros/cons compared to over-the-top delivery (case y).,15
R1-2409262,TS 38.331,RACH configuration parameters,2
R1-2401390,DCI 2_3,Current limitations in single-DCI triggering,8
R1-2408807,CSI Compression,AI/ML-based techniques for reducing feedback overhead,15
R1-2404684,CSI-RS,Configuration requirements for ML-based prediction input,15
R1-2409985,TCI State,Unified framework for beam indication,15
R1-2408609,TS 38.215,Timing reference definitions for measurements,4
R1-2404842,Co-channel coexistence,Required support in exceptional resource pools for ITS band,5
R1-2406389,SGCS,Primary evaluation metric for prediction accuracy,9
R1-2400630,OOK,Proposed for basic downlink data/signaling transmissions,4
R1-2400398,PUSCH,Transmission associated with multiple SRS resources,7
R1-2408607,PRACH,Resource overlap avoidance and DCI-based activation,22
R1-2400223,DCI format 0_3/1_3,Core scheduling mechanism for multi-carrier operations,15
R1-2400889,XR,XR traffic characteristics and enhancement proposals,15
R1-2403970,TDD,Unpaired spectrum collision scenarios,7
R1-2405043,RFID,Existing RFID FM0 encoding as baseline for small frequency shift feasibility,2
R1-2407099,TS 38.214,SRS-PosResource configuration,2
R1-2408395,CSI,Enhancements for Rel-19 MIMO systems,15
R1-2401262,Downlink Synchronization,UE synchronization with target satellite's DL,1
R1-2406394,Sample-based Measurement,Time-domain channel response sampling with configurable granularity,15
R1-2400442,UL WUS,Triggering method using preamble signals,15
R4-2416920,TA-Common,Discussion about minimum value constraints,4
R1-2403714,LP-WUS,Core Rel-19 WI objective for connected/idle mode operation,142
R1-2405674,TS 38.133,Referenced for time duration definitions,2
R1-2402195,LP-WUS,Power saving mechanism for connected mode UEs,42
R1-2408557,PUCCH,Repetition procedure in Clause 9.2.6,4
R1-2408056,LP-WUS,Core mechanism for triggering UE wake-up with reduced power consumption,45
R1-2403562,TCI,Association with TAGs and coresetPoolIndex for DL timing,10
R1-2403229,SL-CA,Carrier aggregation for sidelink with power control,12
R1-2406883,C-DRX,Integration with wake-up signal procedures,15
R1-2405470,L1-SRS-RSRP,New measurement quantity for UE-UE CLI reporting,9
R1-2409457,LP-RSRP,New measurement metric for OFDM-based wake-up signals,8
R1-2409205,PSFCH,Resource mapping procedures for feedback channels,8
R1-2406411,SSB,Time-domain periodicity adaptation for energy saving,28
R1-24xxxxx,maxRank,Table heading vs DCI field contradictions,12
R1-2401570,Functionality-Based LCM,Baseline LCM approach using feature/functionality granularity,15
R1-2402649,TCI States,Beam indication mechanisms,12
R1-2407525,MsgB-RNTI,MsgB scheduling,2
CR-Form-v12.1,PSBCH,Slot format indication in shared spectrum,4
R1-2410204,L1-RSRP,Quantization enhancements for differential reporting in AI/ML beam prediction,15
R1-2400519,UL Codebook,Configuration parameters for 8Tx codebooks in 38.214,8
R1-2407646,Manchester coding,Suggested for FDMA-based random access in Msg.1 transmissions,2
R1-2407716,LP-WUS,Procedures for triggering PDCCH monitoring in connected mode,42
R1-2401886,HARQ-ACK,Codebook generation procedures in PUCCH/PUSCH,28
R1-2406057,TR 38.843,Referenced for performance evaluation assumptions,6
R1-2401344,TS 38.213,Parameter name correction in Clause 9.3.1,8
R1-2403221,DCI Format 4_1,Scheduling constraints for multicast MBS in RRC_INACTIVE,8
R1-2410471,MAC Layer,Event evaluation handling,12
R1-2400651,PRACH,Resource configuration and validation in SBFD symbols,15
R1-2406049,MAC CE,Activation signaling,18
R1-2405101,SIB17,Legacy system information block for TRS configuration,3
R1-2403868,Associated ID,Used to align data collection configurations between UE and NW.,15
R1-2403916,TR 38.901,Used as baseline scenario for UAV/human outdoor deployments,4
R1-2405273,OFDM,R2D transmission waveform requiring symbol-level synchronization,4
R1-2406168,PRS,Parameter naming inconsistencies in carrier phase positioning,5
R1-2408103,AI/ML Model,UE-side and NW-side models for beam prediction,35
R1-2404322,TS 38.213,Referenced for PDCCH handling procedures,3
R1-2409892,SBFD,Proposals for subband configuration and transmission procedures,58
R1-2406362,OCC2,Prioritized for NPUSCH format 1 due to better performance over OCC4.,8
R1-2400771,UCI,Proposed container for beam reports,5
R1-2402732,PSFCH,Timing calculation for feedback occasions,15
R1-2403927,CG-PUSCH,Discusses power control parameters for first UL transmission after cell switch.,8
R1-2403790,FR2-NTN,"Clauses 2, 3.3, 4.4.4.2, 6.3.3.2, 7.4.3.1 updated for FR2-NTN support.",5
R1-2403540,TS 38.213,Beam indication procedures for NCR,5
R1-2409844,PRACH,Preamble repetition rules and valid RO determination,8
R1-2405930,DCI 0_3,Antenna port mapping and DMRS bundling enhancements,15
R1-2410727,SRS,Antenna switching configurations for DL CSI acquisition,12
R1-2405375,PRACH,Resource allocation and validation in SBFD symbols,89
R1-2410614,SL PRS,Resource pool configuration parameters,8
R1-2401635,SSB,Synchronization signal block used for CLI measurements,8
R1-2405581,DCI format 2_9,Activation/deactivation command carrier,5
R1-2407639,R2D,Synchronization patterns and timing boundaries,47
R1-2403124,SIB1,On-demand transmission mechanism analysis,22
R1-2401366,CSI Feedback Enhancement,Target use case for AI/ML-based compression and prediction improvements,8
R1-2407424,Uplink-PowerControl,Parameters excluded from configuration in TCI state framework,4
R1-2406490,5G Advanced,Rel-19 evolution target,4
R1-2410403,QCL Type-D,Beam management configurations for candidate cells,12
R1-2408396,NTN,Satellite communication timing management,8
R1-2407103,SIB1,Core mechanism for on-demand system information delivery,42
R1-2400887,M-QAM Modulation,Proposed for backscatter-based passive transmitters,2
R1-2402956,Extended Reality (XR),Prioritization of XR traffic during RRM measurement gaps,22
R1-2400243,CLI,Discussed throughout document as primary interference mechanism in SBFD systems,42
R1-2404097,STx2P,Multi-panel transmission schemes in Rel-18 MIMO,8
R1-2404827,DL-AoD,Forwarding PRU DL-AoD measurements to UEs,8
R1-2405555,PSSCH,Resource allocation and CPE duration determination,12
R1-2408190,TCI states,Association with PL offsets in unified TCI framework,5
R1-24xxxxx,URLLC,Rel-16 corrections for maximum number of layers parameters,3
R1-2409385,UL TCI State,Determination of spatial filters for PUSCH/PUCCH/SRS,15
R1-2409987,CSI-RS,Channel estimation and prediction input processing,8
R1-2407636,Ambient Internet of Things,Main technology being evaluated throughout the document,42
R1-2410304,RP-241659,RANP#104 update on uplink objectives,1
R1-2405357,DCI 2_9,Activation/deactivation signaling mechanism,22
R1-2400510,TCI,Unified TCI framework discussions,22
R1-2400738,NB-IoT,Existing cellular IoT technology insufficient for ambient IoT requirements,2
R1-2400209,SIB1,On-demand transmission for energy savings in idle/inactive UEs,
R1-2404806,OCC,Main enhancement technique discussed throughout document,28
R1-2402958,LMF,Central node for model management and data collection coordination,12
R1-2404675,OFDM,R2D transmission alignment with NR OFDM symbol boundaries,3
R1-2400485,CSI,Multi-CSI report configurations and adaptation mechanisms,28
R1-2405408,UE Tx chains,Discussion about 1T vs 2T configurations,8
R1-2407885,Associated ID,NW-side additional condition representation,12
R1-2406600,PRB,Bandwidth allocation unit for R2D,6
R1-2402328,Ambient IoT,Proposals for coverage/latency evaluation,42
R1-2407643,Ambient IoT,"Coverage evaluations, link budget, and modulation schemes",25
R1-2406004,LEO Satellite,Propagation delay analysis for 600km LEO constellation,12
R1-2406211,TR 38.901,Referenced for existing channel model components and blockage models,4
R1-2404347,AI/ML Positioning,Proposed for enhancing UE localization accuracy,
R1-2402280,CSI Compression,Reference use case for standardized reference models (MI-Option 4),3
R1-2410796,TS38.213,Clause 16.2.4.3.1 prioritization procedures,5
R1-2403871,PRACH,Spatial/time-domain resource allocation optimizations,22
R1-2409097,MAC CE,Spatial relation activation mechanism,4
R1-2406042,SRS,Simultaneous transmission from multiple resource sets,15
R1-2408605,LTM,Event-triggered reporting mechanisms and TCI state activation,28
R1-2406125,Timing Advance,Pre-compensated TA for RRC Idle UE Msg3 transmission,
R1-2404517,SBFD,Core technology for duplex enhancement in Rel-19,42
R1-2402281,Type1 Codebook,Extension proposals for 128-port support,15
R1-2403037,C-DRX,Integration with LP-WUS for power-saving during active timers,18
R1-2400643,SBFD,Core technology for simultaneous UL/DL operation,58
R1-2407899,TPMI,Transmitted Precoding Matrix Indicator for 3Tx codebook,3
R1-2400239,3Tx Codebook,Codebook design methods discussion,15
R1-2407830,NR-NTN,Work Item NR_NTN_Ph3-Core,3
R1-2405649,Type-2 HARQ-ACK Codebook,Codebook construction rules during BWP changes,8
R1-2409759,Slotted Aloha,Msg1 collision mitigation,8
R1-2405009,TR 38.901,Channel model baseline for communication scenarios,15
R1-2402420,Msg3 PUSCH,Prioritization over other uplink channels in overlapping scenarios,25
R1-2401133,DMRS,Impact on OCC design across OFDM symbols,3
R1-2403041,Beam Management,AI/ML-enhanced beam prediction and reporting,42
R1-2401065,TR 38.848,Coverage requirements reference,3
CR-Form-v12.2,DM-RS bundling,Impact of repetition dropping on phase continuity,5
R1-2402257,CAP antennas,Comparison with SPD antennas for near-field modeling,8
R1-2401978,PDRCH,Data channel for D2R transmission without control information,18
R1-2408311,SSB,Synchronization and measurement reference for SCell operation,48
R1-2402390,UL WUS,Triggering mechanism for SIB1 requests,28
R1-2400384,Pathloss Offset,Proposal 2: PL-offset in TCI-UL-State for UL transmissions to UL-only TRPs,5
R1-2400122,Cell DRX,UL multiplexing rules and transmission behavior during non-active periods,12
R1-2400392,SSB/CSI-RS Repetition,Proposed method to improve measurement accuracy for ML-based beam prediction,4
R1-2406778,Koffset,Scheduling offset configuration for UL/DL alignment,10
R1-2404133,TA Reporting,Proposed enhancement for NTN timing synchronization,12
R1-2407567,RRC_INACTIVE,UE state configuration for multicast reception,3
R1-2404028,OFDM,Waveform design for R2D transmission,15
R1-2400568,SSB,Adaptation in time domain for energy savings,58
R1-2407472,SL PRS,"Power control, resource mapping, and scheduling via DCI format 3_2",8
R1-2407091,FDD Base Station,Regulatory challenges in DL spectrum reception,3
R1-2405115,TR38.901,Channel model reference for indoor scenarios,2
R1-2408317,MAC-CE,Proposals for MAC-CE-based updates of new-beam RS configurations,8
R1-2402461,non-coherent codebook,Core focus of Rel-19 enhancements,15
R1-2400911,Layer 1/Layer 2 Mobility (LTM),Maintenance aspects of Rel-18 mobility enhancements,12
R1-2410529,NPUSCH,Uplink channel capacity enhancement using OCC,28
R1-2405966,IoT Devices,Primary target for LP-WUS technology,12
R1-2407389,LTE,UE feature enhancements for Rel-18,8
R1-2408283,CDL Model,Angle-scaling issues in MIMO simulations,8
R1-2401720,CapabilityIndex,Panel capability reporting parameter,5
R1-2407543,MAC CE,Preferred signaling method for SCell activation with OD-SSB triggering,28
R1-2400698,PSFCH,HARQ feedback handling in shared resource pools,7
R1-2406231,OCC,Proposed for PUSCH transmission to enhance uplink capacity,28
R1-2408646,EPC Gen-2 UHF RFID,Referenced as a baseline for passive backscatter communication in Device 1 architectures.,3
R1-2405455,PRS,Bandwidth aggregation across positioning frequency layers,15
R1-2401284,Type 2 CG-PUSCH,Main subject of ambiguity discussion,15
R1-2400529,ISAC,Deployment scenario modelling for sensing/communication coexistence,12
R1-2408531,SBFD,Proposals for PRACH configuration and resource selection in SBFD-aware UEs.,15
R1-2402501,Codebook1,Incompatibility with TDMed SRS configurations,7
R1-2406975,UAV,Omnidirectional RCS modeling for drone detection,12
R1-2400250,SCell,Activation procedures and synchronization requirements,28
R1-2403171,DCI Format 1_3,HARQ-ACK handling during BWP changes,8
R1-2409012,K_SSB,"Used for NES cell identification (FR1:30, FR2:14)",12
R1-2402256,TR38.901,Channel model under validation,15
R1-2401008,TRS,Proposed as CMR for time/frequency offset measurements,8
R1-2409500,PRS,Positioning Reference Signals used for DL measurements,8
R1-24xxxxx,Beam Management,Agreements on UE-side model monitoring and CSI-RS configurations,28
R1-2405505,Qualcomm,Advocated for cell-specific associated IDs as baseline,5
R1-2407152,PDSCH,Clarification of overlapping receptions,15
R1-2405103,CSI-RS,Tracking resource configuration,10
R1-2406385,TR38.901,Baseline channel model for enhancements,15
R1-2402787,Sample-based Measurements,Discussed as preferred model input method for channel fingerprint consistency,15
R1-2400150,MU-MIMO,Field test scenario with 7 UEs in dense urban environment,4
R1-2407339,Kalman Filter,Used as non-AI benchmark for CSI prediction,4
R1-2400288,G-RNTI,Multicast scheduling configuration,5
R1-24000352,HARQ,Disabled feedback mechanism for IoT-NTN,3
R1-2406196,TR38.901,Baseline channel model reference,8
R1-2409108,MAC-CE,Supported for on-demand SSB activation/deactivation in Scenarios #2/2A.,22
R1-2404689,SSB,On-demand transmission mechanisms for SCell activation and beam management,42
R1-2404760,ZC sequence,Preferred sequence for overlaid OFDM due to correlation properties,12
R1-2410074,OD-SSB,Transmission timing determination and deactivation mechanisms,42
R1-2410177,TDD-UL-DL-ConfigDedicated,Link direction determination for SBFD symbols,8
R1-2409231,Timing Advance (TA),TA calculation methodology modification for ATG,1
R1-2405987,TDL Channel Model,Used for link-level simulations with 30ns delay spread,8
R1-2408327,UL WUS,Triggering method using PRACH for SIB1 requests,12
R1-2405790,TS 38.306,UE capability definitions,3
R1-2410624,NZP-CSI-RS,Active resource counting methodology,28
R1-2404130,TR38.901,Baseline channel model for enhancements,15
R1-2402799,TS 38.215,UL-RTOA and gNB RX-TX measurement definitions,4
R1-2410488,MAC-CE,Activation/deactivation mechanism for LP-WUS configurations,8
R1-2408738,Type-1 CG PUSCH,UL signaling medium container,15
R1-2402708,TR 22.837,Feasibility study for ISAC,1
R1-2407695,CSI Framework,Configuration framework for associated IDs,7
R1-2405702,TRS,Configuration for idle/inactive UEs,8
R1-2402106,LNA,Used in Device 2a receivers for sensitivity improvement.,1
R1-2400353,DMRS bundling,Conflict resolution with timing adjustments,9
R1-2406900,PDCCH,Coverage enhancement via repetition and aggregation level increases.,8
R1-2406276,NTN,Network architecture being addressed,9
R1-2402206,TS 38.214,Resource selection procedure in clause 8.1.4,2
R1-2403123,MAC CE,Activation signaling mechanism,15
R1-2410556,LP-WUS,Payload design and subgrouping considerations,28
R1-2401139,3GPP TS 38.133,SCell activation/deactivation requirements,3
R1-2410864,TS38.214,Main specification being modified by the CR,8
R1-2408387,AI/ML,Use case study on object localization using channel impulse response data,8
R1-2403667,SL-U,Operation with shared spectrum channel access,3
38.213 CR (DRAFT),TS 38.321,Defines power ramping procedures for PRACH transmissions.,3
R1-2401138,AI/ML Model,Model training data collection and identification,35
R1-2400427,NPUSCH Format 1,Slot-level OCC evaluation for single-tone/multi-tone configurations,12
R1-2404477,TR 38.901,Baseline for ISAC channel modeling methodology.,4
R1-2410193,L1-RSRP,Beam measurement metric for NW-sided model inference,15
R1-2407084,CSI-RS,Impact on measurement framework and reporting procedures,22
R1-2408656,C-DRX,Integration with legacy DRX configurations,28
R1-2400365,Backscattering,UL transmission method for Ambient IoT devices in Topology 1,7
R1-2400348,LPP,Signaling protocol between UE and LMF,8
R1-2406390,C-DRX,Integration with LP-WUS for power saving,12
R1-2406650,PRACH Repetition,Rel-18 feature adaptation for SBFD resource utilization,12
R1-2407773,MAC-CE,Dynamic update mechanism for RS resource sets,15
R1-2408905,TS 37.355,Specifies nr-NTN-UE-RxTxMeasurementsRequest parameter,2
R1-2400543,AI/ML,Core technology for beam prediction in spatial and temporal domains,42
R1-2401837,Manchester coding,Mandatory for LP-WUS to improve detection robustness.,15
R1-2405166,DCP,Rel-16 reference functionality,15
R1-2402404,PRACH,Configuration across SBFD/non-SBFD symbols,35
R1-2410271,On-demand Synchronization Signal Block,Proposed for dynamic transmission during SCell activation,27
R1-2409009,BWP,Active DL BWP compatibility challenges with SSB positioning,12
R1-2403972,SL PRS,Sidelink positioning signal transmission/reception capabilities,27
R1-2401559,TR 38.843,Referenced as the Rel-18 Technical Report for AI/ML studies,6
R1-2402658,OCC Multiplexing,Core technical solution for UE multiplexing,18
R1-2408553,SIB19,Collision resolution with UL transmissions,12
R1-2400101,DL-PRS,Reuse existing DL-PRS configurations for AI/ML model inputs,
R1-2408437,LSTM,Temporal compression architecture,3
R1-2405245,Frequency Division Duplex (FDD),Regulatory challenges for BS/UE receiving in opposite spectrum,6
R1-2405906,FeMIMO,R19 FeMIMO WID scope,3
R1-2407565,SSB,On-demand SSB transmission mechanisms and timelines,15
R1-2407096,Device 2a,Feasibility analysis for large frequency shift implementation,8
R1-2401528,8T8R UE Capability,UE capability proposals for antenna switching configurations,12
R1-2406217,PSSCH,Decoding procedure enhancement in sidelink communication,15
R1-2408825,SBFD,Discussed throughout the document as the main focus of TX/RX procedure enhancements,42
R1-2400343,SMTC,Measurement window configuration analysis,18
