doc_id,wg_name,role_in_group
R1-2407315,RAN WG1,Discussion document
R1-2409278,RAN WG1,Discussion Document
R1-2404241,RAN WG1,Contribution on 3Tx UL enhancements
R1-2405605,RAN WG1,Specification Maintenance
R1-2402311,RAN WG1,Contribution
R1-2404259,RAN WG1,Specification contributor
R1-2410646,RAN WG1,Discussion document
R1-2400264,RAN WG1,Contribution on AI/ML air interface enhancements
R1-2406583,RAN WG1,Technical contribution
R1-2407077,RAN WG1,Contribution
R1-2403325,RAN WG1,Specification Development
R1-2404506,RAN WG1,Technical Contribution
R1-2401163,RAN WG1,Contribution on FR2-NTN aspects
R1-2410026,RAN WG1,Contribution on Physical Layer Design
R1-2400835,RAN WG1,Technical Contribution
R1-2400446,RAN WG1,Technical Proposal
R1-2404243,RAN WG1,Discussion on PH reporting specifications
R1-2403057,RAN WG1,Specification Development
R1-2402570,RAN WG1,Contribution on Physical Layer Aspects
R1-2410763,RAN WG1,Feature Lead Summary
R1-2410461,RAN WG1,Technical Contribution
R1-2401628,RAN WG1,Discussion lead
R1-2409075,RAN WG1,Contribution
R1-2409941,RAN WG1,Contribution on Physical Layer Aspects
R1-2402365,RAN WG1,Technical Contribution
R1-2400989,RAN WG1,Contribution
R1-2406114,RAN WG1,Change Request
R1-2401007,RAN WG1,Contribution
R1-2407734,RAN WG1,Contribution
R1-2400157,RAN WG1,Contribution
R1-2401313,RAN WG1,Contribution
R1-2407879,RAN WG1,Technical contribution on NTN enhancements
R1-2404214,RAN WG1,Technical Contribution
R1-2403539,RAN1,Technical Specifications
R1-2410559,RAN WG1,Technical Discussion
R1-2400384,RAN WG1,Technical Proposal
R1-2406736,RAN WG1,Contribution on LP-WUS specifications
R1-2409237,RAN WG1,Discussion Document
R1-2407965,RAN WG1,Contribution
R1-2409263,RAN WG1,Change Proposal
R1-2410403,RAN WG1,Technical Contribution
R1-2407782,RAN WG1,Technical contribution
R1-2408962,TSG-RAN WG1,CR Submission
R1-2402509,RAN WG1,Technical contribution
R1-2402031,RAN WG1,Contribution to Physical Layer Specifications
R1-2404618,RAN WG1,Study Item Contribution
R1-2408910,RAN WG1,Agenda Item 9.5.2
R1-2400063,RAN WG1,Contribution
R1-2401442,RAN WG1,Technical contribution on physical layer enhancements
R1-2406961,RAN WG1,Contribution
R1-2401192,RAN WG1,Contributor
R1-2410813,RAN WG1,Discussion Summary
R1-2406209,RAN WG1,Contribution
R1-2405403,RAN WG1,Source
R1-2403386,RAN WG1,Contribution to channel modeling standards
R1-2406449,RAN WG1,Contribution
R1-2406916,RAN WG1,Contribution
R1-2408259,RAN WG1,Contribution on physical layer procedures
R1-2401849,RAN WG1,Discussion/Decision for Agenda Item 9.4.2.2
R1-2406041,RAN WG1,Contribution
R1-2406526,RAN WG1,Technical Contribution
R1-2403492,RAN WG1,Discussion Summary
R1-2401234,RAN WG1,Technical Contribution
R1-2402190,RAN WG1,Contribution
R1-2405511,RAN WG1,Specification Lead
R1-2408491,RAN WG1,Contribution
R1-2402579,RAN WG1,Discussion Document
R1-2408198,RAN WG1,Change Request Proposal
R1-2403237,RAN WG1,Technical Contribution
R1-2404602,RAN WG1,Technical Discussion
R1-2401773,RAN WG1,Discussion Summary
R1-2409749,RAN WG1,Technical Specification
R1-2400493,RAN WG1,Contribution
R1-2400890,RAN WG1,Contribution
RAN1#119-Schedule,RAN WG1,Meeting Organization
R1-2409486,RAN WG1,Technical Specification Development
R1-2401264,RAN WG1,Contribution on Physical Layer Design
R1-2408445,RAN WG1,PHY layer specification discussion
R1-2409164,RAN WG1,Discussion and Decision Document
R1-2407426,RAN WG1,Contribution
R1-2402205,RAN WG1,Discussion
R1-2407393,RAN WG1,Change Proposal
R1-2410317,RAN WG1,Technical Contribution
R1-2400123,RAN WG1,Physical Layer Specification Development
R1-2410413,RAN WG1,Technical Contribution
R1-2403257,RAN WG1,Discussion lead on physical layer solutions
R1-2405483,RAN WG1,Specification maintenance
R1-2400754,RAN WG1,Contribution
R1-2410891,RAN WG1,Discussion Summary
R1-2409340,RAN WG1,Agenda Coordination
R1-2402895,RAN WG1,Contribution for LP-WUS Standardization
R1-2407628,RAN WG1,Physical layer specification development
R1-2404335,RAN WG1,Contribution
R1-2400717,RAN WG1,Contribution
R1-2401581,RAN WG1,Discussion & Decision
R1-2409886,RAN WG1,Contribution
R1-2410162,RAN WG1,Contribution on physical layer aspects
R1-2402298,RAN WG1,Contribution
R1-2400473,RAN WG1,Contribution on Physical Layer Design
R1-2403391,RAN WG1,Contribution
R1-2405887,RAN WG1,Technical Contribution
R1-2401512,RAN WG1,Discussion Document
R1-2404515,RAN WG1,Technical Contribution
R1-2400772,RAN WG1,Contribution
R1-2406343,RAN WG1,Change Request
R1-2406333,RAN WG1,Specification Maintenance
R1-2407129,RAN WG1,Contribution
R1-2407093,RAN WG1,Contribution
R1-2401076,RAN WG1,Contribution
R1-2400986,RAN WG1,Technical Contribution
R1-2405897,RAN WG1,Contribution on NTN enhancements
R1-2405676,RAN WG1,Specification maintenance
R1-2402945,RAN WG1,Discussion Document
R2-2403924,RAN WG2,Liaison Statement Source
R1-2408297,RAN WG1,Contribution
R1-2405138,TSG-RAN WG1,Specification contribution
R1-2409722,RAN WG1,Discussion
R1-2402480,RAN WG1,Contribution
R1-2407740,RAN WG1,Contribution on physical layer enhancements
R1-2404641,RAN WG1,Specification Maintenance
R1-2400315,RAN WG1,Technical Contribution
R1-2410258,RAN WG1,Technical Contribution
R1-2407014,RAN WG1,Contribution
R1-2401839,RAN WG1,Contribution
R1-2406216,RAN WG1,Technical Specification Contribution
R1-2409244,RAN WG1,Discussion/Decision Document
R1-2400144,RAN WG1,Technical contribution
R1-2408258,RAN WG1,Contribution
38.212,RAN WG1,Specification Maintenance
R1-2407150,TSG-RAN WG1,Specification Contributor
R1-2400237,RAN WG1,Contribution
R1-2401225,RAN WG1,Contribution
R1-2404870,RAN WG1,Discussion Document
R1-2410661,RAN WG1,Discussion Summary
R4-2403632,RAN WG4,LS Reply Coordination
R1-2403297,RAN WG1,Specification Amendment
R1-2405150,RAN WG1,Contribution
R1-2402975,RAN WG1,Contribution on NES enhancements
R1-2410257,RAN WG1,Discussion Document
R1-2410902,RAN WG1,Discussion Document
R1-2403942,RAN WG1,Contribution to Rel-19 Network Energy Savings Work Item
R1-2410812,RAN WG1,Discussion Document
R1-2405379,RAN WG1,Discussion summary for agenda item 9.4.2.2
R1-2409049,RAN WG1,Moderator Summary
R1-2402640,RAN WG1,Contribution on multi-carrier enhancements
R1-2406223,RAN WG1,Contribution
R1-2403265,RAN WG1,Technical contribution
R1-2407124,RAN WG1,Technical Specification Development
R1-2406290,RAN WG1,Contribution on Physical Layer Design
R1-2408453,RAN WG1,Contribution
R1-2408322,RAN WG1,Discussion Document
R1-2402366,RAN WG1,Technical Contribution
R1-2406938,RAN WG1,Technical contribution
R1-2406099,RAN WG1,Contribution
R1-2404921,RAN WG1,Contribution
R1-2401202,RAN WG1,Technical Contribution
R1-2405562,RAN WG1,Response to RAN2 LS on parameter applicability
R1-2404091,RAN WG1,Specification Contributor
R1-2403567,RAN WG1,Specification Development
R1-2401490,RAN WG1,Discussion coordination for Rel-19 MIMO enhancements
R1-2408170,RAN WG1,Contribution
R1-2408816,RAN WG1,Contribution
R1-2404016,RAN WG1,Technical Contribution
R1-2400812,RAN WG1,Contribution
R2-2409360,RAN WG2,LS Source
R1-2409444,RAN WG1,Contribution
R1-2410563,RAN WG1,Contribution
R1-2403480,RAN WG1,Moderator
R1-2410333,RAN WG1,Contribution
R1-2402849,RAN WG1,Technical Contribution
R1-2407979,RAN WG1,Contribution
R1-2405200,RAN WG1,Technical Contribution
R1-2406619,RAN WG1,Change Proposal
R1-2404088,RAN WG1,Technical Specification Contribution
R1-2410774,RAN WG1,Discussion Document
R1-2407961,RAN WG1,Discussion Document
R2-2403968,RAN WG2,Contribution
R1-2402681,RAN WG1,Discussion/Decision Document
R1-2410791,RAN WG1,Discussion lead
R1-2407034,RAN WG1,Technical Contribution
R1-2406084,RAN WG1,Contribution
R1-2408042,RAN WG1,Discussion Document
R1-2408311,RAN WG1,Technical Contribution
R1-2402691,RAN WG1,Technical Contribution
R1-2400490,RAN WG1,Contribution
R1-2409109,RAN WG1,Discussion moderator
R1-2406170,RAN WG1,Change Request
R1-2409245,RAN WG1,Discussion coordination
R1-2408584,RAN WG1,Discussion/Decision
R1-2400115,RAN WG1,Contribution
R1-2405164,RAN WG1,Specification of physical layer procedures
R4-2321741,RAN4,Source
R1-2400966,RAN WG1,Specification Amendment
R1-2408677,RAN WG1,Feature Specification
R1-2408224,RAN WG1,Technical Contribution
R1-2410119,RAN WG1,Discussion Document
R1-2401214,RAN WG2,Procedural Specification
R1-2407395,RAN WG1,Change proposal
R1-2408846,RAN WG1,Technical Contribution
R1-2406764,RAN WG1,Contribution
R1-2408031,RAN WG1,Contribution to AI/ML standardization
R1-2402176,RAN WG1,Contribution
R1-2402024,RAN WG1,Discussion/Decision Document
R1-2407407,RAN WG1,Change Request
R1-2403932,RAN WG1,Contribution
R1-2404142,RAN WG1,Contribution
R1-2402490,RAN WG1,Contribution
R1-2403246,RAN WG1,Contribution
R1-2402413,RAN WG1,Response to RAN2 LS
R1-2402030,RAN WG2,Impact Analysis
R1-2405410,RAN WG1,Discussion summary for MC enhancements agenda item
R1-2404429,RAN WG1,Contribution
R1-2405650,RAN WG1,Change Request Proposal
R1-2400955,RAN WG1,Contribution
R1-2400909,RAN WG1,Contribution
R1-2406819,RAN WG1,Contribution
R1-2405873,RAN WG1,Contribution
R1-2402004,TSG-RAN WG1,Contribution
R1-2410203,RAN WG1,Contribution
R1-2403429,RAN WG1,Moderator Summary for Discussion
R1-2401302,RAN WG1,Contribution
R1-2409781,RAN WG1,Positioning specification development
R1-2408545,RAN WG1,Contribution on positioning enhancements
R1-2402722,RAN WG1,Contribution
R1-2406220,RAN WG1,Technical Contribution
R2-2401644,RAN2,Technical Contribution
R1-2410406,RAN WG1,Technical Contribution
R1-2400941,RAN WG1,Discussion document
R1-2404010,RAN WG1,Contribution
R1-2408317,RAN WG1,Discussion lead for UEIBM agenda item
38.214,RAN WG1,Specification maintenance
R1-2408872,RAN WG1,Contribution
R1-2404374,RAN WG1,Specification Maintenance
R1-2404407,RAN WG1,Technical Contribution
R1-2404266,RAN WG1,Contribution on SSB-TimeOffset reference point
R1-2408529,RAN WG1,Discussion/Decision Proposal
R1-2404322,RAN WG1,Change Request for Physical Layer Specifications
R1-2405591,RAN WG1,Specification Maintenance
R1-2407797,RAN WG1,Contribution
R1-2402730,RAN WG1,Technical Specification Development
R1-2410901,RAN WG4,Recipient of LS
R1-2405361,RAN WG1,Discussion Document
R1-2406134,RAN WG1,Discussion lead for SBFD work item
R1-2401401,RAN WG1,Technical Contribution
R1-2410648,RAN WG1,Channel Modeling Contribution
R1-2403588,RAN WG1,Specification Development
R1-2407671,RAN WG1,Technical Contribution
R1-2403361,RAN WG1,Discussion and Decision
R1-2404604,RAN WG1,Technical Contributor
R1-2407855,RAN WG1,Contribution
R1-2401985,RAN WG1,Contribution
R1-2408383,RAN WG1,Technical contribution
R1-2408758,RAN WG1,Contribution
R1-2405258,RAN WG1,Technical Contribution
R1-2410343,RAN WG1,Contribution to AI 9.11.3
R1-2405044,RAN WG1,Contribution on Ambient IoT physical layer design
R1-2403758,RAN WG1,Change Request
R1-2408516,RAN WG1,Change Proposal
R1-24xxxxx,RAN WG1,Discussion Coordination
R1-2410742,RAN WG1,Discussion Document
R1-2407276,RAN WG1,Discussion Lead
R1-2407174,TSG-RAN WG1,Change Request
R1-2406620,RAN WG1,Technical Specification Contributor
R1-2407202,RAN WG1,Discussion/Decision
R1-2409070,RAN WG1,Discussion and decision
R2-2405986,RAN WG2,NR_pos_enh2-Core Work Item Contributor
R1-2405009,RAN WG1,Contribution
R1-2406280,RAN WG1,Contribution
R1-2407695,RAN WG1,Technical Contribution
R1-2405507,TSG-RAN WG1,Feature Lead Summary
R1-2403482,RAN WG1,Discussion document
R1-2400100,RAN WG1,Contribution
R1-2408078,RAN WG1,Contribution
R1-2400269,RAN WG1,Contribution
R1-2401143,RAN WG1,Work Item Planning
R1-2404494,RAN WG1,Contribution
R1-2404998,RAN WG1,CR Submission
R1-2405708,RAN WG1,Discussion Moderator
R1-2401910,RAN WG1,Specification Maintenance
R1-2400892,RAN WG1,Technical Specification Contribution
R1-2400610,RAN WG1,Contribution
R1-2404878,RAN WG1,Discussion Document
R1-2404394,RAN WG1,Discussion Document
R1-2402169,RAN WG1,Contribution
R1-2404036,RAN WG1,Contribution to LP-WUS standardization
R1-2400470,RAN WG1,Contribution
R1-2401168,RAN WG1,Technical contribution
R1-2400667,RAN WG1,Contribution
R1-2407157,RAN WG1,Contribution
R1-2401793,RAN WG1,Discussion lead
R1-2400684,RAN WG1,Technical Contribution
R1-2404615,RAN WG1,Technical contribution
R1-2409326,RAN WG1,Specification Maintenance
R1-2406787,RAN WG1,Contribution
R1-2401748,RAN WG1,Technical Specification Contribution
R1-2407190,RAN WG1,Discussion document for MIMO enhancements
R1-2400120,RAN WG1,Contribution on physical layer aspects
R1-2400886,RAN WG1,Technical contribution
R1-2410740,RAN WG1,Discussion and decision
R1-2409934,RAN WG1,Discussion Document
R1-240XXXX,RAN WG1,Study Item Documentation
R1-2406873,RAN WG1,Discussion Summary
R1-240XXXX,RAN WG1,Sidelink Maintenance Discussion
R1-2409271,RAN WG1,Change Request Proposal
R1-2407831,RAN WG1,Contributor
R1-2408771,RAN WG1,Contribution
R1-2401766,RAN WG1,Discussion Summary
R1-2409224,RAN WG1,Discussion Document
R1-2405706,RAN WG1,Change Request
R1-2400069,RAN WG1,Contribution
R1-2404442,RAN WG1,Technical contribution
R1-2410677,RAN WG1,Discussion coordination
R1-2410100,RAN WG1,Discussion Document
R1-2410346,RAN WG1,Technical Contribution
R1-2410344,RAN WG1,Discussion Document
CR rev,RAN WG1,Specification Maintenance
R1-2401338,RAN WG1,Contribution
R1-2410664,RAN WG1,Liaison Statement to RAN WG2/RAN WG4
R1-2404195,RAN WG1,Technical Contribution
R1-2409146,RAN WG1,Discussion document
R1-2402838,RAN WG1,Technical Contribution
R1-2410502,RAN WG1,Contribution
R1-2401013,RAN WG1,Contribution
R1-2410808,RAN WG1,Moderator
R1-2409726,RAN WG1,Contribution
R1-2410186,RAN WG1,Discussion summary
R1-2406875,RAN WG1,Discussion Document
R1-2402154,RAN WG1,Contribution
R1-2401385,RAN WG1,Change Request
R1-2409977,RAN WG1,Discussion/Decision
R1-2408359,RAN WG1,Feature Lead Summary
R1-2403694,RAN WG1,Discussion coordination
R1-2405493,RAN WG1,Feature Lead Summary Document
R1-2403026,RAN WG1,Work Item contributor for Rel-19 NES
R1-2410569,RAN WG1,Contribution on physical layer design
R1-2410039,RAN WG1,Technical Contribution
R1-2401815,RAN WG1,Specification Development
R1-2405948,RAN WG1,Contribution
R1-2407568,TSG-RAN WG1,Specification maintenance
R1-2403650,RAN WG1,LS Originator
R1-2409063,RAN WG1,Discussion Summary
R1-2403673,RAN WG1,Specification Maintenance
R1-2401206,RAN WG1,Contribution
R1-2409454,RAN WG1,
R1-2410898,RAN WG2,Liaison Recipient
R1-2406690,RAN WG1,Technical Contribution
R1-2409683,RAN WG1,Technical Contribution
R1-2407004,RAN WG1,Contribution
R1-2405235,RAN WG1,Discussion Document
R1-2409952,RAN WG1,Contribution
R1-2404379,RAN WG1,Change Request
R1-2405622,RAN WG1,Moderator Report
R1-2407775,RAN WG1,Contribution
R1-2407430,RAN WG1,Contribution
R1-2405094,RAN WG1,Contribution
R1-2400293,RAN WG1,Discussion Document
R1-2301714,RAN WG1,Session Chair
R1-2403041,RAN WG1,Specification Proposal
R1-2407663,RAN WG1,Technical Contribution
R1-2403586,RAN WG1,Technical Specification Development
R1-2409464,RAN WG1,Discussion and Decision Document
R1-2401856,RAN WG1,Discussion summary for Rel-19 NES work item
R1-2401160,RAN WG1,Contribution
R1-2407287,RAN WG1,Discussion Document
R1-2404629,RAN WG1,Contribution
R1-2402847,RAN WG1,Contribution
R1-2401700,RAN WG1,Discussion document
R1-2409660,RAN WG1,Discussion Lead
R1-2404399,RAN WG1,Technical Proposal
R1-2403775,RAN WG1,Technical Contribution
R2-2401814,RAN WG2,Contribution
R1-2406519,RAN WG1,Contribution
R1-2410381,RAN WG1,Discussion Document
R1-2404826,RAN WG1,Contribution
R4-2403086,RAN WG4,Source contribution
R1-2405498,RAN WG1,Discussion document for agenda item 9.5.1
R1-2405307,RAN WG1,Specification maintenance
R1-2408137,RAN WG1,Technical Contribution
R1-2407241,RAN WG1,Specification maintenance
R1-2410538,RAN WG1,Contribution
R1-2407585,RAN WG1,Proceedings Documentation
R1-2407811,RAN WG1,Contribution
R1-2407997,RAN WG1,Discussion Document
R1-2410238,RAN WG1,Contribution
R1-2410678,RAN WG1,Contribution
R1-2400529,RAN WG1,Contribution
R1-2402899,RAN WG1,Contribution
R1-2403015,RAN WG1,Contribution
R1-2408242,RAN WG1,Contribution
R1-2408551,RAN WG1,Contribution on physical layer procedures
R1-2405064,RAN WG1,Contribution on NW energy saving techniques
R1-2405212,RAN WG1,Technical Discussion Contribution
R1-2401426,RAN WG1,Contribution on Physical Layer Enhancements
R1-2403652,RAN WG1,Discussion Document
R1-2400522,RAN WG1,Technical Contribution
R1-2409230,RAN WG1,Discussion Document
R1-2404852,RAN WG1,Discussion Document
R1-2405340,RAN WG1,Technical Proposal
R1-2404909,RAN WG1,Reply to SA2 inquiry
R1-2400338,RAN WG1,Technical Specification Development
R1-2407781,RAN WG1,Contribution
R1-2405864,RAN WG1,Change Request
R1-2404181,RAN WG1,Contribution
R1-2405910,RAN WG1,Contribution on Physical Layer Evaluation Methods
R1-2407616,RAN WG1,Contribution
R1-2409593,RAN WG1,SBFD specification contributor
R1-2406424,RAN WG1,Technical Proposal
R1-2404039,RAN WG1,Contributor
R1-2400467,RAN WG1,Contribution
R1-2408578,RAN WG1,Technical Contribution
R1-2403599,RAN WG1,Discussion coordination
R1-2405021,RAN WG1,Technical Specification
R1-2406699,RAN WG1,Contribution
R1-2409892,RAN WG1,Discussion Document
R1-2400057,RAN WG1,Discussion Document
R1-2407585,RAN WG1,Meeting Agenda
R1-2408134,RAN WG1,Discussion and Decision
R1-2408013,RAN WG1,Contribution
R1-2401229,RAN WG1,Contribution
R1-2401266,RAN WG1,Contribution
R1-2406439,RAN WG2,Mobility and signaling
R1-2401457,RAN WG1,Contribution
R1-2410673,RAN WG1,Contribution
R1-2408343,RAN WG1,Contribution
R1-2402247,RAN WG1,Technical Contribution
R1-2404657,RAN WG1,Contribution on MIMO Work Item
R1-2406621,RAN WG1,Discussion lead
R1-2403352,RAN WG1,CR submission
R1-2405522,RAN WG1,Change Proposal
R1-2408523,RAN WG1,Contribution
R1-2408770,RAN WG1,Contribution
R1-2403591,RAN WG1,Specification Maintenance
R1-2409812,RAN WG1,Contribution
R1-2403425,RAN WG1,Contribution for MIMO work item
R1-2406666,RAN WG1,Contribution
R1-2407766,RAN WG1,Technical contribution
R1-2408582,RAN WG1,Technical contribution
R1-2408890,RAN WG1,Contribution
R1-2406573,RAN WG1,Contribution
R1-2408373,RAN WG1,Contribution
R1-2409062,RAN WG1,Discussion Summary
R1-2404698,RAN WG1,Contribution to Energy Saving Work Item
R1-2405808,RAN WG1,Discussion Contributor
R1-2409212,RAN WG1,Discussion moderator
R1-2407451,RAN WG1,Change Request for TS 38.211
R1-2403930,RAN WG1,Discussion Document
R1-2405192,RAN WG1,Discussion/Decision
R1-2403085,RAN WG1,Contribution
R1-2402920,RAN WG1,Contribution
R1-2402215,RAN WG1,Contribution on Physical Layer Enhancements
R1-2406851,RAN WG1,Contribution
R1-2404359,RAN WG1,Source
R1-2405182,RAN WG1,Contribution to network energy saving enhancements work item
R1-2401326,RAN WG1,Contribution
R1-2401286,RAN WG1,Specification Revision
R1-2405724,RAN WG1,Discussion and Decision Document
R1-2400505,RAN WG1,Discussion Document
R1-2400671,RAN WG1,Discussion Document
R1-2409430,RAN WG1,Contribution
R1-2410759,RAN WG1,Discussion moderator
R1-2401602,RAN WG1,Specification Change Proposal
R1-2400748,RAN WG1,Discussion and decision
R1-2400114,RAN WG1,Contribution
R1-2402166,RAN WG1,Contribution
R1-2402860,RAN WG1,Technical Specification Development
R1-2409957,RAN WG1,Technical Contribution
R1-2406468,RAN WG1,Technical contribution on CSI enhancements
R1-2410195,RAN WG1,Study Item Contribution
R1-2409153,RAN WG1,Contribution
R1-2402008,RAN WG1,Contribution
R1-2404253,RAN WG1,Technical Contribution
R1-2405034,RAN WG1,Contribution
R1-2401683,RAN WG1,Discussion and Decision
R1-2408109,RAN WG1,Technical Contribution
R1-2409119,RAN WG1,Evaluation Methodology Definition
R1-2404180,RAN WG1,Contribution
R1-2403247,RAN WG1,Technical Contribution
R1-2405018,RAN WG1,Contributor
R1-2405472,RAN WG1,Discussion Moderator
R1-2402927,RAN WG1,Contribution on Physical Layer Enhancements
R1-2408699,RAN WG1,Contribution
R2-2407853,RAN WG2,LS Initiator
R1-2401642,RAN WG1,Contribution
R1-2406915,RAN WG1,Contribution
R1-2408625,RAN WG1,Technical Contribution
R1-2409020,TSG-RAN WG1,Feature Lead Summary
R1-2402314,RAN WG1,Technical contribution
R1-2406976,RAN WG1,Contribution to AI/ML Standardization
R1-2405454,RAN WG1,Discussion lead
R1-2405461,RAN WG1,Discussion moderator
R1-2408841,RAN WG1,Technical Contribution
R1-2407756,RAN WG1,Contribution
R1-2403928,RAN WG1,Contribution
R1-2401914,TSG-RAN WG1,Change Request
R1-2407873,RAN WG1,Contribution
R1-2402928,RAN WG1,Contribution for discussion/decision
R1-2410623,RAN WG1,Specification enhancement proposal
R1-2407664,RAN WG1,Contribution
R1-2402921,RAN WG1,Discussion Document
R1-2400664,RAN WG1,Contribution
R1-2405692,RAN WG1,Discussion/Decision
R1-2403459,RAN WG1,Discussion document
R1-2409325,RAN WG1,Specification Maintenance
R1-2400422,RAN WG1,Technical Contribution
R1-2402354,RAN WG1,Source
R1-2400129,RAN WG1,Contributor
R1-2402952,RAN WG1,Contribution
R1-2404764,TSG-RAN WG1,Contribution
R1-2405722,RAN WG1,Specification maintenance
R1-2409580,RAN WG1,Discussion and decision
R1-XXXXXX,RAN WG1,Technical Contribution
R1-2400039,RAN WG1,Contribution
R1-2401821,TSG-RAN WG1,Discussion Document
R1-2410530,RAN WG1,Contribution
R1-2409199,RAN WG1,Technical Contribution
R1-2401042,RAN WG1,Positioning specification development
R1-2407110,RAN WG1,Change Proposal
R1-2409864,RAN WG1,Technical Contribution
R1-2409985,RAN WG1,Contribution
R1-2400961,RAN WG1,Contribution
R1-2410448,RAN WG1,Channel modeling contribution
R1-2400274,RAN WG1,Contribution
R1-2406712,RAN WG1,Discussion Document
R1-2410807,RAN WG1,Contribution for HD-FDD NTN Enhancement Discussion
R1-2409269,RAN WG1,Discussion Document
R1-2403044,RAN WG1,Technical Contribution
R1-2406478,RAN WG1,Contribution
R1-2408421,RAN WG1,Contribution
R1-2410132,RAN WG1,Contribution
R1-2408710,RAN WG1,Contribution
R1-2410667,RAN WG1,Technical Contribution
R1-2408312,RAN WG1,Contribution
R1-2401112,RAN WG1,Technical contribution on physical layer enhancements
R1-2404503,RAN WG1,Contribution
R1-2403348,RAN WG1,Contribution
R1-2403994,RAN WG1,Contribution on Physical Layer Aspects
R1-2406995,RAN WG1,Specification Correction
R1-2407247,RAN WG1,Specification lead
R1-2410669,RAN WG1,Feature Proposal
R1-2400983,RAN WG1,Source
R1-2410750,RAN WG1,Discussion document
R1-2409614,RAN WG1,Contribution
R1-2407911,RAN WG1,Contribution
R1-2402543,RAN WG1,Technical contribution
R1-2403542,TSG-RAN WG1,Discussion Document
R1-2403007,RAN WG1,Change Request
R1-2405004,RAN WG1,Contribution
R1-2403601,RAN WG1,Contribution
R1-2409606,RAN WG1,Contribution
R1-2403135,RAN WG1,Contribution
R1-2402360,RAN WG1,CR proposal
R1-2403752,RAN WG4,Recipient
R1-2409340,RAN WG1,Chair's meeting notes
R1-2406841,RAN WG1,Contribution to physical layer standardization
R1-2402885,RAN WG1,Contribution
R1-2401191,RAN WG1,Contribution on physical layer procedures
R1-2407534,RAN WG1,Specification Development
R1-2407087,RAN WG1,Evaluation Methodology Proposal
R1-2407013,RAN WG1,Specification maintenance
R1-2408248,RAN WG1,Contribution
R1-2402260,RAN WG1,Technical Contribution
R1-2403084,RAN WG1,Discussion Moderator
R1-2400240,RAN WG1,Contribution
R1-2408546,RAN WG1,Technical Contribution
R1-2404492,RAN WG1,Technical Contribution
R1-2401451,RAN WG1,Contribution
R1-2402913,RAN WG1,Contribution on AI/ML positioning framework
R1-2400521,RAN WG1,Contribution
R1-2405800,RAN WG1,Contribution
R1-2402828,RAN WG1,Discussion Document
R1-2403274,RAN WG1,Discussion Document
R1-2410081,RAN WG1,Discussion Contributor
R1-2407754,RAN WG1,Physical Layer Specification Contribution
R1-2404963,RAN WG1,Contribution
R1-2408933,RAN WG1,Discussion Document
R1-2401518,RAN WG1,Discussion Document
R1-2402461,RAN WG1,Technical contribution
R1-2402557,RAN WG1,Contribution
R1-2409001,RAN WG1,Discussion Document
R1-2407225,RAN WG1,Feature Lead Summary
R1-2405728,RAN WG1,Specification Maintenance
R1-2407585,RAN WG1,Meeting Documentation
R1-2405029,RAN WG1,Discussion Contributor
R1-2407727,RAN WG1,Contribution
